ich; مَن، بَنده، اینجانب
- imitierter Diamant; اَلماس ِ بَدَل، ـ ساختِگى
immanent;
- systemimmanent; دُرون نِظام
- Immanenz Gottes; هَمگامى و حُضور ِ دائِم ِ خُدا
immateriell; مَعنَوى
immer; هَمیشه
- und immer noch; و هَنوز که هَنوز است
- versteht er immer noch nicht; آیا هَنوز هَم نِمى فَهمَد
- das war immer schon so; از قَدیم و نَدیم هَم چِنین بود
- immer wieder; مُکَرَر دَر مُکَرَر
- immer & immer; هِى، يِکریز
Immergrün (Pflanze); گُل ِ هَمیشه بَهار، بى خَزان
immerwährend; هَمیشِگى، دَمادَم
immerzu; دَمبِدَم
- immerzu saß er da; بام تا شام می نِشَست
Immission; تَجاوُز به حُقوق ِ کِسى، ـ به مَرز ِ مُجاوِر
- Bundesimmissionsschutzgesetz; قانون ِ حِراسَت ِ مُحیط ِ کِشوَر
Immobilien; اَموال ِ غِیر ِ مَنقول، عَقار، آثاثیه
Immobilienbüro; بُنگاه ِ اِجاره و مُعامِلات ِ مِلکى
immun; مَصون
- er ist gegen die Krankheit immun; او مَصون دَر مُقابِل ِ مَرَض است
Immunität ( auch: polit.); مَصونيَت
Imperativ; وَجه ِ اَمرى
- imperatives Mandat; وِکالَت ِ آمِرانه، وِکالَت تَحت ِ اَوامِر ِ حِزب
Imperfekt; ماضى
Imperium; فَرمانرَوائى
impfen; مایه کوبى کَردَن، واکسُن زَدَن
Impfstoff; واکسُن
Impfung; مایه زَنى، مایه کوبى
Implantation; نِشاندَن ِ بافت دَر بافت ِ دیگَر
Implementierung; پیاده سازی
impliziert; ضِمنى، حاکى است
implizit;
- implizites Lernen; یادِگاری با رَعایَت قاعِدهٔ شِناخته وَلی بَیان نَشُده
imponieren; خودرا دَر مُقابِل ِ کِسى بُزُرگ نِشان دادَن
Import; تورید، وارِدات
- Export & Import; صادِرات و وارِدات
importieren; .تورید کَردَن، وارِد ک
imposant; پُر سَطوَت، هِیبَت اَنگیز، تَوَجُه ِ مَردُم را جَلب میکُنَد، جَلب ِ تَوَجُه کُنَنده
impotent; عَقیم
Impotenz; سُستى ِ کَمَر، عُقم
imprägnieren; اِشباع کَردَن
imprägniert; مُشبَع
Imprägnierung; اِشباع
- Imprägnierung von Holz; اِشباع ِ چوب، نِگَهدارى ِ ـ
Imprägnierungsmittel; جِلوگیرى کُنَنده از فِساد
Impressum; نِشانى ِ مَطبَعه و تاریخ ِ طَبع ِ کِتاب
Improvisateur (als Sänger); بَداهه نَواز
Improvisation (Singen, Sprechen, Musizieren); اِرتِجال، بَدیهه، بَداهه (ـ نَوازى، ـ گوئى، ـ سازى
improvisieren; بَدیهه نَوازى کَردَن
improvisiert; بَدیهَتاً
- improvisiert sprechen; با بَداهه سُخَن گفتن، بَدیهه گو
Impuls; سائِق، تَکانه، اَنگیزه، قُوهٔ آنى، ضَربه
- sexueller Impuls; سائِق ِ جِنسى
impulsiv; تُندرو
imstande; قادِر
- dazu bin ich nicht imstande; این کار از مَن بَر نِمى آيَد، بَراى ِ این کار ساخته نَشُده اَم
- zu dieser Arbeit nicht imstande sein; کَلهٔ این کاررا نَداشتَن، بَراى ِ این کار مُستَعِد نَبودَن
- er ist zu allem imstande; او بِهَر جِنايَتى تَن دَر مى دَهَد
- er war nicht imstande, zu stehen; ناى ِ ایستادَن نَداشت، قادِر نَبود تا بِیستَد
in;
- das Schwert in der Hand; شَمشیر به دَست
- in den Ferien; دَر اَیام ِ تَعَطیل
- in die Menschenmenge treiben; به دِل ِ جَمعيَت زَدَن
- in Erinnerung an ...; به پاس ِ بُزُرگداشت ِ فِلان
- in meiner Kraft; به نیروى ِ مَن
- in seinem Innersten; دَر ضَمیر ِ خود
- der ihm in die Hände fällt, ...; که دَم ِ دَستَش مى اُفتَد
- rückwirkend in Kraft treten; با عَطف بِماسَبَق ِ اِعتِبار ِ قانونى یافتَن
- und in der Tat, jetzt passiert das; که هَمانا دارَد رُخ میدَهَد
inaktiv; مُعَطَل، از فَعاليَت اَنداخته
Inanspruchnahme; اِستِفاده
Inauguration; مَراسِم ِ اِفتِتاح، مَراسِم ِ اِنتِصاب به مَقامى
Inbegriff;
- er ist ein Inbegriff von ...; او عِین ِ.. است، او نِمونهٔ ... است
inbegriffen;
- Trinkgeld inbegriffen; دَر قِیمَت ِ سِرویس مَنظور شُده است
- Getränke sind inbegriffen; مَشروبات جُزو ِ حِساب است
- Essen & Trinken inbegriffen; مُتَضَمِن ِ خورد و خوراک، به اِنضِمام ِ ـ
Inbesitznahme; تَصاحُب
Inbusschraube; پیچ ِ آلِن
indem;
- indem er ...; هَمینطور که ...، هَنگامیکه
- indem er sie nicht beachtet ...; ... او با به هیچ گِرِفتَنِشان آنهارا
Index; فِهرِست
- Index der Lebenshaltungskosten; شاخِص ِ هَزینهٔ زِندِگى
Indianer; سُرخ پوست
Indien; هِندوستان
Inder; هِندى
indifferent; بى تَفاوُت
Indigo; وَسمه
Indikativ; وَجه خَبَرى
Indikator; شاخِص، نِشانه
indirekt; غِیر ِ مُستَقیم
- indirekt reden; کِنایه دار صُحبَت کَردَن، غِیر ِ مُستَقیم ـ
Indiskretion; اَفشاى ِ راز
Individualbedürfnis; نیاز ِ فَردى
Individualismus; تَکرَوى، فَردیگَرى، فَرديَت گِرائى
Individualität; فَرديَت
Individualrecht; حُقوق ِ فَردى
individuell; فَردى، مُنحَصِر به فَرد
Individuum; فَرد
Indiz; اَثَر، اِشاره، بَيَنه، قَرینه، دَلیل، عَلائِم، نِشان، دَلالَت
Indizienbeweis; اِثبات بَر مَبناى ِ واقِعِیات
Induktion;
- Induktion (philos.); اِستِقراء، قیاس
- Induktion (phys.); اِلقاء، اَندوکسیون
induktiv;
- induktive Methode (philos.); رَوِش ِ اِستِقرائى
- induktiver Widerstand; مُقاوَمَت ِ اِلقائى
Industrialisierung; صَنعَتى کَردَن
Industrialisierungsbemühungen; تَلاشهاى ِ صَنعَتى
Industrie; (pl.) صَنايِع (صَناعَت)، صَنعَت
- Grundstoffindustrie; صَنایعِ ِ اِستِخراجى
- Leichtindustrie; صَنايِع ِ سَبُک، صَنَعت ِـ
- Rüstungsindustrie; صَنايِع ِ جَنگى
- Industrie- & Handelskammer; اُتاق ِ صَنایع ِ و بازَرگانى
Industrieviertel; مَحَل ِ مَخصوص ِ کارخانِجات
induzieren; اِلقاء کَردَن
induziert; مُلقى
ineinander; توى ِ هَم
- ineinander gesteckt; مُتَداخِل، توى ِ هَم رَفته
- er fügt die Bretter gut ineinander; او تَخته هارا خوب به هَم می اَندازَد
Infanterist; سَرباز پیاده نِظام
infantil; کودَکانه، کودَکى
Infektion; واگیرى، عُفونَت
Infektionskrankheit; بیمارى ِ مُسرى
infektiös; واگیر، مُسرى، عُفونى، سَرايَت کَردَنى
Infiltration; نُفوذ
Infinitiv; مَصدَر
infizieren; .کِسى را مُسرى کَردَن، ـ مَریض ک.، ـ مُبتَلا ک.، ـ سَرايَت ک
Inflation; تَوَرُم ِ مالى
- Inflation der Begriffe; فُروپاشی ِ مَعنا
- inflationärer Preisauftrieb; جَهِش ِ تَوَرُمى ِ قِیمَتها
Influenza; اِنفلوانزا
Information; (pl.) (اِطِلاع (اِطِلاعات
- in Bezug auf Information von ...; ... ِ دَر اَمر ِ اِطِلاع رِسانى
Informationsnetz; شَبَکهٔ اِطِلاعات
Informationsquelle; مَنبَع ِ اِطِلاعاتى
Informationsreise; سَفَر ِ کَسب ِ اِطِلاعات
Informationsstand; غُرفهٔ اِعتِلاع رِسانی
informieren; خَبَر دادَن، اِطلاع د.، مُطَلَع کَردَن
- s. informieren; کَسب ِ اِطِلاع کَردَن
- informiert sein über; .بَر چیزى واقِف بودن، خَبَردار ب .، مُطَلَع ب
- gut informiert; سَر ِ حِساب
- jem. wird darüber informiert, dass ...; از کِسى به اِستِحضار میرِسَد که
- informierte Kreise; مُحافِل ِ مُطَلَع
- entsprechend gut informierter Kreise; به گفتهٔ مَنابِع مُطَلَع
Infothek; اِعتِلاع رِسانی، بَخش ِاِطِلاعات
Infrarot; مادون ِ قِرمِز، فُرو ِ سُرخ
Infrastruktur; زیر بَناى ِ اِقتِصادى، زیر ساخت ِ ـ
Infusion; تَزریق ِ سِرُم
ingangsetzen; بِحَرَکَت اَنداختَن، بِکار ـ
Ingenieur; مُهَندِس
Ingwer; زَنجَبیل
Inhaber; صاحِب
inhaftieren; .زِندانی کَردَن، حَبس ک
- inhaftiert sein; زِندانى کِشیدَن
inhalieren; .اِستِشمام کَردَن، اِستِنشاق ک
Inhalt; مَضمون، مُحتَویات
inhaltsarm; کَم مايِع
inhaltslos; سَخیف، بى مُحتَوى
Inhaltsverzeichnis; فِهرِست
Initiative;
- Initiative ergreifen; دَر کارى پیشقَدَم شُدَن، اِبتِکار ِ عَمَل بِدَست گِرِفتَن
- Bürgerinitiative; جُنبِش ِ مَردُم
- Privatinitiative ergreifen; اِبتِکار ِ شَخصى بِخَرج دادَن
Initiator; مُبتَکِر، پیشقَدَم، مُحَرِک
Injektion;
- Injektion geben; سوزَن زَدَن، تَزریق کَردَن
injizieren; آمپول زَدَن
Inkarnation; تَجَسُم، حُلول
inkarnieren;
- s. auch in anderen Menschen inkarnieren; خودرا دَر اَفراد ِ دیگَرى نیز حُلول کَردَن
inklusive ...; ... ِ به انِضِمام
inkognito; نام ِ مُستَعار، اِسم ِ رَمز، مَجهول اُلهُویه، نامَعلوم اُلِمکان
inkompatibel; مُتَضاد، به چیزی نِمی خورَد
Inkompatibilität; ناسازگارى
Inkompitenz; عَدَم ِ صَلاحيَت
- Inkompetenz bei ...; عَدَم ِ صَلاحيَت دَر
inkonsequent;
- er ist inkonsequent; او ثابِت نیست، ـ پایدار ـ
Inkonsistenz;
- Inkonsistenz als Falschheitskriterium (philos.); اِبطال پَذیرى
Inkontinenz; عَدَم ِ قُوهٔ ماسِکه
inkraftsetzen; بِه اِجرا دَر آوَردَن
inkrafttreten; بِه اِجرا دَر آمَدَن
Inkubationszeit; زَمان بِین ِ سَرايَت و پَدید آمَدَن ِ مَرَض
inmitten;
- inmitten der Entscheidung; گَرم ا گَرم ِ نَتیجه گیرى
- inmitten des Kampfes; دَر بُحبوحهٔ مُبارزه، دَر وَسَط ِ ـ
innehaben; .بَر عُهده داشتن، دَر اِختیار د
innehalten; مَکث کَردَن
- ich habe innegehalten; مُچ ِ خودَم را گِرِفتَم
innen; دَرون، داخِل
- innere Unruhe; غوغاى ِ دَرونى
- inneres Wesen; دَرونَمایه
Innenraum; فَضاى ِ داخِلى
Innerweltlichkeit;
- Innerweltlichkeit Gottes; هَمِگامى و حُضور ِ دائِم ِ خُدا
Innerei; دِل و جِگَر، دِل و روده
innerhalb;
- innerhalb 1 Jahres; دَر ظَرف ِ ۱ سال، دَر عَرض ِ ـ
innerlich;
- ich habe mich innerlich darauf eingestellt; دِلَم را صابون زَدَم، شِکَمَم را صابون زَدَم
- innerlich & äusserlich; دَر باطِن و ظاهِر
innerparteilich; دُرون ِ حِزبى
Innerst;
- das Innerste des Menschen; (pl.) (بَطن ِ اِنسان، ضَمیر ِ اِنسان (ضَمايِر
- ... hat sein Innerstes so erfüllt, dass ...; چیزى بِطورى دَر رَگ و پِى او ریشه دَوانیده بود که
innig; پُر اِخلاص
Innovation; نو آوَری
Insasse; سَرنِشین
insbesondere; عُمدَتاً، بخُصوص، به ویژه، خُصوصاً
- insbesondere für die Gesellschaft; به دِلیل ِ خاص ِ جامِعه
Inschrift; کَتیبه
Insekt; (pl.) (حَشَره (حَشَرات
- lästige Insekten sein (Schimpfwort); جَک و جولاد بودَن
Insektizide; داروهاى ِ ضِد ِ حَشَرات
Insel; جَزیره
Inselgruppe; مَجمعَ اُلجَزايِر
Inserat; آگَهی
insgeheim; دَر اِخفاء
insgesamt; روى ِ هَم رَفته، جامِع، قاطِبَتاً، دَر کُل
- insgesamt 7 Jahre; هَفت سال آزگار، ۷ سال تَمام
Insgesamtheit; قاطِبه
Insolvenz; تَفلیس
Inspekteur; بازرِس
Inspektion; بازرِسى، سَرکِشى
- Autoinspektion; سِرویس
Inspiration; اِلهام اِلهى
Inspirator; مُشَوِق
- Inspirator zu sein; اِمکان ِ مُلهِم شُدن
Inspizierung; تَفتیش، بازرِسى، سَرکِشى
instabil; بى ثَبات، بى ثابِت
Instabilität; بى ثَباتى
Installateur; لوله کِش
- Elektroinstallateur; سیم کِش
Installation;
- Installation, Befestigung; نَصب
- Elektroinstallation; سیم کِشی ِ بَرق
- Wasserinstallation; لوله کِشی ِ آب
- Programminstallation (Computer); نَصب ِ بَرنامه
installieren;
- installieren (Leitung); .لوله کِشیدَن، سیم ک
- installieren, anbringen; نَصب کَردَن
Instandhaltung; حِفظ و نِگَه دارى
inständig;
- Ich bitte Sie inständig; مَن مُصِرانه از شُما تَقاضا مى کُنَم
Instanz;
- erste Instanz (jurist.); بِدائَت
- oberste Instanz; مَرجَع ِ نَهائى
- Parteiinstanz; مَرجَع ِ حِزب
Instinkt; غَریزه
instinktiv; غَریزى
Institut; اِنستیتو
Institution; (pl.) مؤِسِسه (مؤِسِسات)، تأسیس، (تأسیسات)، نَهاد
institutionalisieren; سازِمان دَهی کَردَن
- ein Gegner des institutionalisiertes Christentums; مُخالِف ِ مَسیحيَت ِ سازِمان یافته
Institutionalisierung; نَهاد گَردانیدَن، سازِمان دَهى
institutionell; نَهادى، مُؤِسِسه اى
Instruktion; اِرشاد، راهنَمائى
Instrument; اَسباب، آلَت، دَستگاه
- Musikinstrument; ساز
inszenieren; روى ِ صَحنه آوَردَن
- grossen Aufstand inszenieren; جار و جَنجال به راه اُفتادَن، سَر به شورِش گُذاشتَن
Inszenierung; نَمايِش، اِجراء
Intarsie; مُنَبَت کارى
integer; دُرُستکار، اَمین
Integral; اِنتِگرال، تابِع ِ اَوَلیه
Integration; اِنضِمام، اِدغام، يِکپارچه سازى، يِگانه سازى، اِتِحاد، هَمپِیوَند کَردَن
- Rassenintegration; يِگانه سازى ِ نِژادها
Integrationsprozess; رَوَند ِ يِگانه سازى
integrieren; پِیوَند کَردَن
- jem. in die Gesellschaft integrieren; کِسى را به جامِعه پِیوَند کَردَن
Integrität; تَماميَت، بى عِیبى
Intellekt; هوش و دِرايَت، عَقل
intellektuell; فِکرى، با قُوهٔ دَرک، روشَن فِکر
intelligent; فَهام، فاضِل، هوشمَند، زِرَنگ
Intelligenz; حَرايَت، اَندیشمَندى، هوش
- künstliche Intelligenz; هوش ِ مَصنوعى
Intelligenzquotient; ضَریب ِ هوشی
Intensität; شِدَت
intensiv;
- intensiv glänzen; بِشِدَت میدِرَخشَد
- intensive Erziehung; پَروَرِش ِ دامَنه دار
- sie waren intensiv mit dem Essen beschäftigt; آنها سَرگَرم ِ خوردَن شُدَند
intensivieren; تَشدید کَردَن
Intensivkurs; دورهٔ فِشُرده
interessant; جالِب و مَلیح، عَجیب و غَریب
- interessante Gründe; دَلائِل دَر خور ِ تَوَجُه
Interesse; عَلاقه
- Interesse, Lust; هَوَس، مِیل، طَبع، عَلاقه
- Interesse an Jagd haben; عَلاقه به شِکار داشتَن
- Vereinsinteresse; مَصلَحَت ِ کانونى
- gegensätzliche Interessen; مَصالِح ِ مُتَضاد
- die Interessen seiner Freunde vertreten; هَوای ِ دوستهايَش را داشتَن
Interessenabstimmung; هَماهَنگ کَردَن ِ مَصالِح
Interessengleichheit; يِکسانى ِ مَصالِح
Interessenkollision; بَرخورد ِ مَصالِح، اِصطِکاک ِ مَنافِع
Interessenkonvergenz; هَمگِرائى ِ مَصالِح، تَقارُن ِ ـ
Interessent; آدَم ِ ذى نَفع، عَلاقِمَند
interessieren;
- er interessiert s. nur für ...; به ... سَرگَرم میشَوَد، ـ کِشِش دارَد
- sie waren nicht an ... interessiert; آنها پابَند ِ ... نَبودَند
- sie sind am Dienst unter Iranern interessiert; آنها بِخِدمَت به ایرانیان عَلاقِمَند هَستَند، ـ عَلاقه دارَند
- interessierter Mensch; آدَم ِ ذى نَفع
- Interessierte werden eingeladen, teilzunehmen; از عَلاقِمَندان به شِرکَت دَعوَت مى شَوَد
Interferenz; تَداخُل
interkontinental; میان قاره اى
- interkontinentale Rakete; موشَک ِ قاره پیما
intern; دَرون، داخِل
- parteiintern; دَرون ِ حِزبى
Internat; آموزِشگاه توأم با خوابگاه
international; بِین اُلمِلَلى
- Internationaler Währungsfond; صَندوق ِ جَهانى ِ پول
Internet; اینتِرنِت، شَبَکه اینتِرنِت
internieren; توقیف کَردَن
Internierungslager; اُردوگاه ِ توقیف
Interpellationsrecht; حَق ِ اِستیضاح، ـ بازخواست
Interpret; مُفَسِر
Interpretation; تَفسیر
- bei der Interpretation; ِ دَر تَفسیر ِ، ـ تأویل ِ، ـ تَعبیر
Intervall;
- im Intervall von ...; ... ِ دَر خَلال
Intervention; مُداخِله، دِخالَت
Interview; مُصاحِبه
- ein Interview geben; مُصاحِبه دادَن
Interviewer; مُصاحِبه کُنَنده
Interviewter; مُصاحِبه شَوَنده
Inthronisation; جُلوس، تاج گزارى
intim; مُحرَمانه، خِیلى نَزدیک
- alle kennen seine intimsten Details; از سیر و پیازَش را هَمِگى خَبَر دارَند
Intimbeziehung;
- ich hatte Intimbeziehungen mit jem.; با کِسى سَر و سِر داشتَم
Intimität; مُحرَميَت، صَمیميَت
intolerant; بی مَدارا، مُتَعَصِب
- eine intolerante Aussage; اِظهارات ِ باریک بَیانه و اِنحِصارى، اِظهارات ِ مُتَعَصِب
Intrigant; مُشتَبِه کار، دَسیسه باز
Intrige; بَند و بَستها، دَسیسه، توطئه، پُشت ِ هَم اَندازى، مُشتَبه کارى، اَسباب چینى، جُفت و کَلَک
intrigieren; .موش دَوانى کَردَن، دَسیسه ک
introvertiert; کَم جوش، رو بِباطِن
Invalide; ناقِص اُلعُضو، آدَم ِ فَلَج
Invasion; تَهاجُم، اِستیلاء، تاخت و تاز
Invasor; اِستیلا جو
Inventar; اَسباب، اَموال
- Inventarliste anlegen; سیاهه بَر داشتن، صورَت ِ کالا، فِهرِست ِ اَموال
Inventur; سیاهه بَردارى، فِهرِست بَردارى، صورَت ِ موجودى، ثَبت ِ موجودى
investieren; سَرمایه گُذاری کَردَن
- investiere dich in Leute, die bereit sind mitzumachen; سَر قَبری گِریه کُن که مُرده توش باشَد
Investition; حُصول، سَرمایه گُذارى، خَرج
- Fehlinvestition; سَرمایه گذارى ِ غَلَط
- gute Investition (billig, aber im Ergebnis gut); سَنگ مُفت گُنجِشک مُفت
- Rationalisierungsinvestition; سَرمایه گُذارى بَراى ِ کِفايَت ِ اَفزايِش
Investitionsanreiz; تَشویق ِ سَرمایه گُذارى
Investitionskosten; مَخارج ِ حُصول، مَخارج ِ خَرید
Investor; سَرمایه گُذار
inwiefern; به چه حالَت، تا چه حَد
Inzest; زِناى ِ خویشاوَندان، زِناى ِ مُحارَم، وِصلَت ِ اَفراد ِ هَمخون
inzwischen; دَر این میان
- inzwischen kam ich zu dem Ergebnis; دَر این میان به نَتیجه نائِل آمَدَم
Ion; یون
Iran; ایران
Iraner (- in); (ایرانى (زَن ِ ـ
irgendein;
- auf irgendeine Weise; به نَحوى از اَنحاء
- wenn irgendeine Aussage ...; هَر گونه اِظهار ِ نَظَرى که
- sein Blick fiel auf irgendeinen von uns; چِشمَش به يِک کُدامِمان اُفتاد
irgendwann;
- irgendwann stirbt jeder; اَلان این دَم آن دَم است که تَمام کُنَد
irgendwie;
- das Zimmer war irgendwie auch Lager; اُتاق يِک جور اَنبارى هَم بود
irgendwo;
- er kommt von irgendwo da draussen; از آن ِ بیرونها میايَد
Iris;
- Iris (Auge); عِنَبیهِ
- Iris (Blume); سوسَن، زَنبَق
Ironie; بَذله گوئى، طَعنه، کِنایه
ironisch; طَعنه آمیز
- mit ironischer Miene; با قیافهٔ طَعنه آمیز
- sie versuchte, nicht ironisch zu werden; سَعی می کَرد طَعنه نَزَنَد
irrational; غِیر ِ مَنطِقى، نامَعقول
irreal; غِیر ِ واقِعى
irreführen; مُنحَرِف کَردَن، گُمراه کَردَن، به گُمراهى اَنداختَن، به بیراهه ا.، بِآب راندَن
irreführend; اِغفال کُنَنده
Irreführung; تَضلیل، اِغفال
irregeleitet, verirrt; ضَلیل، بِضِلالَت اُفتاده
irregulär; غِیر ِ مُنَظَم، بى قاعِده
irren; اِشتِباه کَردَن، چیزى را قََر و قاطى دیدَن
- s. irren ist menschlich; اِنسان جايِِز اُلخَطا است، اِنسان شیر ِخام خورده است
- wenn ich mich nicht irre, ...; اَگَر اِشتِباه نَکُنَم
- ich irrte mich in ...; .مَن ... را اِشتِباه گِرِفتَم، ـ عَوَضى گ
- von Haus zu Haus irren; این دَر ِ حَسَن و آن دَر ِ حُسِین، این خانه و آن خانه رَفتَن
irrend; ضَلیل
Irrer; مَجنون، دیوانه
- warum schlägst du wegen ... wie ein Irrer?; واسهٔ هَوائى ِ ... میزَنى؟
irreversibel; غِیر ِ قابِل ِ باز گَشت، يِکجانِبه
irrig; اِشتِباه، غَلَط
- das ist eine irrige Meinung; عَقیدهٔ مَغلوط است
irritieren; .ذِهن ِ کِسى را مَشوب کَردَن، ـ گیچ ک.، ـ مَغشوش ک
irrlichtern; پَر و بال زَدَن، به خود پیچیدَن
irrsinnig; جُنون آمیز
Irrtum; ضَلَل، خَبط، خَطا، غَلَط، اِشتِباه، سَقَم
irrtümlich; اِشتِباهاً، سَهواً
Irrweg; کَژرَوى، بى راهه، گُمراهى
Ischias; سیاتیک
Islam; اِسلام
islamisch; اِسلامى
ismus;
- ismus (Anhängung von z.B. Fundamentalismus); گِرائى، گَرى (مثَلاًَُ: بُنیان گِرائى
Isobare; هَمفِشار
Isolation (phys.); عايِق
- in der Isolation; دَر تَفَرُد، دَر اِنزوا، دَر جُدائى
Isolierband; نَوار ِ عايِق کُنَنده
isolieren (s. -); .ایزوله کَردَن، مُنزَوى ک
Isolierschicht; روکِش ِ عاِیق
Isolierzelle; حُجرهٔ اِنفِرادى
Isomerie; هَم تَرکیبى
isometrisch (literat.); هَموَزنى
ist (*:sein, bin, war);
- er ist Schüler (*:befinden); او شاگِرد است
- es ist, wie es ist; این است که هَست
- jem. ist (als Anhängung von z.B. Fundamentalist); (گِرا (مَثَلاً: بُنیان گِرا
- was ist, ist; چيزی که شُده پاره وَصله بَر نِمی داره
- Ist - Menge; مِقدار ِ واقِعى
