Kaaba; کَعبه
Kanzel; (pl.) (مَنبَر (مَنابِر
Kanzler; صَدر ِ اَعظَم
Kanzleramt; مَقام ِ صِدارَت ِ اَعظَمى، دَفتَر ِ صَدر اَعظَم
Kapazität;
- Kapazität, Rauminhalt; ظَرفيَت، حَجم، گُنجايِش
- er ist eine Kapazität; او کارشِناس است، دَر این مورِد اَهل ِ فَن است
Kapern; کَوَر
kapieren; دَر یافتَن، فَهمیدَن، گِرِفتَن، دَستَش آمَدَن، سَر دَر آمَدَن
- ich habe es kapiert; شیرفَهم شُدَم
- ich muß diese Arbeit kapieren; مَن بايَد از چَند و چون ِ این کار سَر دَر آوَرَم
- er kapiert nichts; او چیزى دَستگیرِش نِمى شَوَد، دو زارى اش کَج است، دو زارى اش نِمى اُفتَد
Kapillare; موی ِ رَگ
Kapital; سَرمایه
Kapitalanlage; سَرمایه گُذارى
Kapitalflucht; فَرار ِ سَرمایه
Kapitalverbrechen; کَبیره
Kapitän; کَدخُدا
- Mannschaftskapitän; کاپیتان ِ تیم
Kapitel; (pl.) (باب (ابواب
Kapitulation; تَسلیم
- bedingungslose Kapitulation; تَسلیم ِ بِلاشَرط
kapitulieren; جِلوى ِ کِسى (یا کار) لُنگ اَنداختَن، مُستأمِن شُدَن، تَسلیم کَردَن
Kappe; کُلاه
- das nehme ich auf meine Kappe; مَسئوليَتَش را بَر عُهده مى گیرَم
kappen; بُریدَن
Käppi; عَرَقچین
Kapriole; خود کامى
kapriziös; خود کام
Kapsel; سَرپوش، کَپسول
kaputt; خَراب
- kaputt, erschöpft; لَهیده
- Müdigkeit machte uns kaputt; خَستِگى مارا از پا دَر آوَرد
- ich bin ganz kaputt; داغ و داغون هَستَم
- mach dich nicht kaputt; خودرا خَسته نَکُن
- das Auto ging kaputt; ماشین خُرد شُد
- kaputte Brille; عِینَک ِ شِکَسته پِکَسته
- was ich einfädle, machst du kaputt; آنچه رِشته بودَم پَنبه کَردى
- kaputte Beziehung (zwischen Mann & Frau); رابِطهٔ تیره
- mit kaputter Hand arbeiten; با دَست ِ عَلیل کار کَردَن
kaputtmachen; .خَراب کَردَن، سِه ک
- Arbeit von jem. kaputtmachen; کار کِسى را سیاه کَردَن
- das wird ihn kaputtmachen; این از پا دَرِش خواهَد آوَرد
Kapuze; باشلِق، کلاه ِ(بُزُرگ ِ) بارانی
- Kapuze (z.B. vom Henker oder KuKluxKlan); طِیلَسان
Karat; قِیراط
Karate; کاراته
Karawane; کارَوان
Karawanenroute; راه ِ کارَوانان
Kardanwelle; غِرغِره، میلهٔ گاردان
Kardiologe; قَلب شِناس
Karfreitag; جُمعهٔ تَصلیب
karg; کَم
- karges Gehalt; دَرآمَد ِ کَم مایه
- karges Licht; نور ِ کَم سو
kariert; چَهارخانه، شَطرَنجى، مُشَبَک
Karies; دَندان ِ کِرم خورده
Karikatur; کاریکاتور
Karikaturist; طَنز نِویس
karikierend; طَنز آمیز
- karikierende Verzerrung; مُطایِبه
kariös; رَمیم، کِرم خورده
Karotte; هَویج، زَردَک
Karriere; تَرفیع، مُوَفَقيَت ِ شُغل
- Karriere innerhalb ..; سِیر ِ اِرتِقاء ِ شُغلى دَر
- Karriere machen; تَرفیع گِرِفتَن
Karte;
- alles auf eine Karte setzen; خودرا به سیم  ِ آخَر زَدَن
- die Karten auf den Tisch legen; قِصه را پیش کِشیدَن
- mit falschen Karten spielen; آب دَر شیر کَردَن، غِش و دَغَل کَردَن دَر مُعامِله
- Eintrittskarte; کارت ِ وُرود
- Fahrkarte; بِلیت
- Karteikarte; فیش، بَرگه
- Straßenkarte; نَقشهٔ خیابان ِ شَهر
- Spielkarte; وَرَق
Kartellamt; اِدارهٔ کارتِل، ـ ضِد ِ اِنحِصار
Kartenspiel; گَنجَفه بازى، بازى با وَرَق، وَرَق بازى
- Trumpf; بَرگ ِ بَرَنده
- Kreuz; خَواج، گِشنیز
- Pik; پیک
- Herz; دِل
- Karo; خِشت
- Bube; سَرباز
- Dame; بى بى
- König; شاه
- As; تَک خال، آس
- ein Kartenspiel; وَرَق پاستور
Kartoffel (dari); (سیب زَمینى (کََجالو
Kartoffelpürre; پورهٔ سیب زَمینى
Karton; مُقَوا، جَعبه
Karusell; چَرخ ِ فَلَک
kaschieren; .مَستور کَردَن، پِنهان ک
Käse; پَنیر
- Weichkäse (best. Sorte); دَلمه
Kaserne; سَرباز خانه
Kaskade; شَلاله، آبشار
Kasper; دَلقَک
kaspern; مَسخَرِگی کَردَن
- kaspere nicht so herum; مَسخَرِگی نَکُن
Kasse; باجه، گیشه
- wir werden wegen .. zur Kasse gebeten; ما بَراى ِ .. بِخَرج مى اُفتیم
- knapp bei Kasse sein; دَست (و بال) ِ کِسی تَنگ است
- Kinokasse; گیشهٔ سینِما، باجهٔ ـ
Kassenprüfer; (pl.) بازرَس  ِ (ـ ان) حِسابها
Kassenschalter; باجهٔ پَرداخت
Kassenwart; خَزینه دار
Kassenzettel; قَبض  ِ خَرید
Kassette; نَوار ِ ضَبط ِ صوت، کاسِت
Kassettenrecorder; دَستگاه ِ ضَبط ِ صوت
kassieren; .دَریافت کَردَن، وُصول ک
- einkassieren, einsacken; اَملاک کِسی را بالا کِشیدَن، قَبضه کَردَن
Kassierer;
- Kassierer (bei Bank); تَحویل دار
- Kassierer (beim Verein); خَزانه دار
- Kassierer (im Geschäft an der Kasse); صَندوق دار
Kastanie; شاه بَلوط
- s. die Kastanien aus dem Feuer holen; سَر  ِ مار بِدَست  ِ غِیر کوبیدَن
Kasten; (pl.) جَعبه (جُعاب)، صَندوق
kastrieren; .اَخته کَردَن، عَقیم ک
kastriert; خایه کِشیده، اَخته شُده
Katalog; کاتالوگ، فِهرِست، بروشور
- Bücherkatalog; صورَت ِ کُتُب ِ مُنتَشره، فِهرِست ِ کُتُب
Katalysator; کاتالیزور، عامِل ِ فِعل و اِنفِعال ِ شیمیائى
Katapult; مَنجَنیق
katapultieren; پَرتاب کَردَن
Katarrh; نَزله، زُکام
katastrophal;
- in katastrophaler Weise; به نَحو ِ فاجِعه، ـ فَجیع
Katastrophe; (pl.) فاجِعه (فَواجِع)، مُصیبَت (مَصائِب)، فَلاکَت
- absolute Katastrophe; بَلاى ِ جان
Katechet; مُعَلِم دینی
- Katechetin (im Islam); مُلاباجى
Katechismus; کِتاب آموزشی ِ مَذهَبی
Kategorie; (pl.) مَقوله، نوع (اَنواع)، صَنَف (صُنوف)، قِسم
- Kategorie von Menschen bestimmter Art; زُمره
kategorisch; قَطعاً، قاطِعانه
- kategorisch verboten sein; .اَکیداً مَمنوع بودَن، قَطعاً مَمنوع ب
Katharsis; طَهارَت، طُهور
Katheder; (کُرسى ( ِ تَدریس
Kathete; (pl.) (ضِلع (اَضلاع
Katheter; میل
Kathode; قُطب ِ مَنفى
katholisch; کاتولیک
- katholische Kirche; کِلیساى ِ کاتولیک
Katze; گُربه
- Katz & Maus spielen mit jem.; نَرد ِ عِشق باختَن، کِسی را بازی دادَن
- in der Nacht sind alle Katzen grau; شَب گُربه سَمور می نَمايَد
Katzenjammer; خُمار
Katzensprung; چَهار اَنگُشت
- bis ... ist es nur ein Katzensprung; تا ... چَهار اَنگُشت بیشتَر نیست
Kauderwelsch; حَرفهای ِ بی مَعنی، - بی رَبط
- er kauderwelschte s. was zurecht; از این زَبان بَسته هارا لوله کَرد توى ِ ...، حَرفَش قابِل ِ فَهم نَبود
kauen; (präs.) خائیدَن، جَویدَن (مى جَوَد)، مَفخ کَردَن
- Brot (oder Trockenes) kauen; نان سَق زَدَن
- Tabak kauen; تَنباکو جَویدَن
kauern; .چُمباتِمه زَدَن، چُندَک ز.، کِز کَردَن، قوز ک
- gegenüber von .. kauern sie; روبِروى ِ .. کِز میکُنَند
Kauf; خَرید، اِبتیاع
- beim Kauf bis zu ... Rial ...; تا سَقف ِ خَرید ِ ... ریال
- etwas (unangenehmes) in Kauf nehmen; پیه چیزی را به تَن ِ خود مالیدَن
- Vorkauf;  (پیش خَرید (کَردَن
- Kaufbestellung trifft ein; سِفارِش ِ خَرید رِسید
Kaufbrief; قَباله
kaufen; .خَریدَن، خَرید کَردَن، اِبتیاع ک
- etwas kaufen, was jem. nützt; يِک چیز بَرای ِ دَردخوری ِ کِسی خَریدَن
- haben Sie es neu gekauft?; تازه اِبتیاع نِموده اید؟
Käufer; خَریدار، مُشتَرى
Kaufkraft; قُدرَت ِ خَرید
Kaufmann; (pl.) (تاجِر (تُجار
Kaufvertrag; مُعاهِده، قَرار داد ِ خَرید
Kaugummi; آدامس
Kaukasus; قَفقاز
kaum;
- kaum dass ..; به مُجَرَد ِ..، به مُجَرَد ِ اینکه
- kaum 5,- Euro; به زور ۵ یورو
- man lernt ihn kaum kennen durch ..; اورا از طَریق ِ ... مُشکِل مى شَوَد شِناخت
- ich bin kaum angekommen; هَنوز نَرِسیدَم
- kaum waren sie da, ...; که زورِشان آمَده بود
- kaum, dass er draussen war; به مُجَرَد ِ اینکه بیرون رَفت
- was kaum jem. erfahren hat; که کَمتَر کِسى تَجرُبه کَرده است
- kaum hatte er das gesagt, als ..; تا آمَد حَرف بِزَنَد
- kaum erschwinglich für mich; بَراى ِ مَن بِسَختى مُهَیا است، ـ به دُشوارى ـ
- es gab kaum einen Tag, wo wir nicht Zeugen wurden; کَمتَر روزى مى شُد که شاهِد نَباشیم
kausal; سَبَبى، عِلَتى
Kausalgesetz; قانون مَبنى بَر عِلَت و مَعلول
Kaution; وَدیعِه، وَجه ِ اِنضِمانه، ضَمانَت
- gegen Kaution frei werden; با قِید ِ کَفیل آزاد شُدَن، ـ وَثیقه ـ
Kautschuk; کائوچو
Kavallerie; سَوارى ِ نِظامى
Kavallerist; سَوار نِظام
Kaviar; تُخم ِ سَگ ماهى، خاویار
keck; زیرَک، پُر رو
Kegel; مَخروط
kegelförmig; مَخروطى
kegeln; بازى ِ بولینگ کَردَن
Kehle; حُلقوم، گَلو گاه
- die Kehle schmieren, etwas trinken; گَلو تازه کَردَن
- etwas schnürte ihm die Kehle zu; بُغض بیخ ِ گَلويَش را گِرِفت
Kehlkopf; ناى ِ گَلو، خُشک ناى، حَلق، خِرخِره
Kehlkopfkrebs; سَرَتان ِ گَلو
Kehrblech; خاک اَنداز
kehren; .روبیدَن، رُفت و روب کَردَن، جارو ک
- s. ins Gegenteil kehren; نَعَل وارونه زَدَن
Kehricht; خار و حاشاک، خاکروبه، نُخاله
Kehrmaschine; دَستگاه ِ رُفتگَر
Kehrseite; - ضَعفِش دَر این است، عِیبِش
keifen; جیغ زَدَن
keifig; پَتاره، جیغ زَنَنده، جیغو
Keil; چوب شِکاف، گاوه، گوه
Keilriemen; تَسمهٔ پَروانه
Keilschrift; خَط ِ میخى
Keim;
- Keim, Ursprung; مَنشأ
- Keim (*: Keimling); نُطفه
- etwas im Keime ersticken; چیزى را در نُطفه خَفه کَردَن
- den Aufstand im Keim ersticken; فِتنه را قَلع و قَمع کَردَن، ـ دَر نُطفه کُشتَن، ـ از گیشه بَراَنداختَن
keimen; جوانه زَدَن
Keimling; جِنین، گیاهَک، جَوانه، نُطفه، تُخم، دانه
Keimung; جَوانه زَدَن
Keimzüchtung; پَروَرِش ِ جِنین و حِفاظَت ِ آن
kein;
- ich habe kein Geld; مَن پول نَدارَم
- der Saal hat keinen Notausgang; سالُن ِ فاقِد ِ خُروج ِ اِضطِرارى است، ـ هیچ خُروج نَدارَد
- es war kein ganzer Tag mehr bis ...; يِک روز نیز بیشتَر به ... نَمانده بود
- diesmal wirklich keinen Fehler machen; دیگَر دَست از پا خَطا نِمى کُنیم
- auf keinen Fall; به هیچ وَجه
- Keiner macht ...;  اَحَدى ... نِمى کُنَد، هیچکَس نِمى کُنَد، يِکى نیست که
keinerlei; اصلاً و اَبَداً، هیچ
- keinerlei Wunsch verspüren, herauszukommen; به رَهائى از آن چَندان عَلاقه اى نَداشتَن
keinesfalls; حاشا و کَلا، به هیچ وَجه
Kelch; کاسه، پیاله، جام
Kelchblatt; کاسِبَرگ
Kelim; گِلیم
- kelimähnlicher Teppich; جاجیم
Kelle;
- Maurerkelle; ماله
- Suppenkelle; آبگَردان
Keller; زیرزَمین
Kellner; پیشخِدمَت، گارسُن
kellnern; .گارسُنى کَردَن، خِدمَت ک
Kelter; (pl.) مِعصَر (مَعاصِر)، چَرخُشت
keltern; دَر چَرخُشت پایمال کَردَن
kennen; شِناختَن
- ich kenne da jemand; با کِسى آشنا هَستَم، کِسى را سُراغ دارَم
- kennst du einen Arzt?; سُراغ ِ پِزِشک را دارى؟
- welchen Flecken (Platz) kennt er nicht?; چه جاها که دَستَش بَند نَبود
- eine Sache kennen; چیزی را فوت ِ آب بودَن
- wenn man ihn besser kennt; اَگَر به روحيَت ِ او آشنائى حاصِل شَوَد
- wenn man uns nicht kennt; اَگَر آشنا دَر نِمی آمَدیم
- ich kannte mich vor Freude nicht mehr; از شِدَت ِ خوشحالى سَر از پا نِمى شِناختَم
- wenn sie was erreicht haben, kennen sie die Leute nicht mehr; آنهایی که خَرِشان از پُل گُذَشت دیگَر آدَم را نِمی شِناسَند
- sie tun so, als ob sie s. nicht kennen; آنها بِفَهمی نَفَهمی با هَم شُتر دیدی نَدیدی می کُنَند
kennenlernen; مَعرِفَت کَردَن، شِناسائى ک.، آشنا شُدَن
- etwas vom Leben kennenlernen; مَزهٔ چیزى را چِشیدَن
- es hilft, jem. kennenzulernen; این به شِناخت ِ کِسى کُمَک مى کُنَد
Kenner;
- politische Kenner; آگاهان ِ سیاسى
Kenntnis; کاردانى، آگاهى، شِناخت، وُقوف
- zur Kenntnis nehmen; مُلاحِظه کَردَن، تَوَجُه کَردَن
- jem. in Kenntnis setzen; کِسى را به اطِلاع رِسانیدَن
- jem. wird in Kenntnis gesetzt, dass ..; از کِسى به اِستِحضار مى رِسَد که
- jemandem zur Kenntnis bringen; به رويَت ِ کِسى رِساندَن، به اِستِحضار رِساندَن
- die Grundkenntnis, die wir von .. haben; اَساس ِ مَعرَفَتى که از .. داریم
Kenntnisnahme; مُلاحِظه
Kennwort; شُعار
Kennzeichen;
- besondere Kennzeichen; عَلامَت ِ فارِقه، نِشانهٔ خُصوصى
- Autokennzeichen; شُمارهٔ ماشین
- Wesenskennzeichen; عَلائِم ِ ذاتى
kennzeichnen;  .عَلامَت گُذاشتَن، نِشانه گ
kennzeichnend; فارِق
kentern;  .وارونه شُدَن، چَپه ش
Keramik; سُفالینه، ظَرف ِ سُفالین
Kerbe; کُنگره، آج، بُریدِگى
Kerker; سیاه چال، هُلُفدونى، دَخمه
Kerl; مَتیکه، مَردَک، یارو
- er war ein Kerl; او آتَش پاره بود
- dieser Scheißkerl (popul.); این گور به گور
Kern; هَسته
- Kern (philos.) (kohn); کنه
Kernaussage; لُب ِ مَطلَب
Kernenergie; اِنِرژی ِ اَتُمی، - هَسته ای
Kernreaktor; راکتُر ِ اَتُمى
Kernwaffe; اََسلحهٔ اَتُمی
- kernwaffenfreie Zone; مَنطَقهٔ عارى از سَلاحهاى ِ اَتُمى
Kerze; شَمع
- Kerze anzünden; شَمع روشَن کَردَن
- Zündkerze; شَمع ِ بَرقى
kerzengerade;
- s. kerzengerade hinstellen; سیخ واایستادَن
Kerzenständer; شَمعِدان
kess; پُر رو
Kessel; دیگ، کِترى
- Wasserkessel; کِتری ِ آب
Kesselstein; تَه گیرى، جِرم، رُسوب
Ketchup; کِچاپ
Kette;
- Kette, Spannseil; شِکیل، شِنیل، قِید، زَنجیر
- Kette & Einschuss; تار و پود
- eine Kette von Ereignissen; يِک سِلسِلهٔ پَدیده ها
- jem. in Ketten legen; کِسی را به زَنجیر کِشیدَن
- Schneekette; زَنجیر ِ چَرخ
Kettenreaktion; فِعل و اِنفِعال ِ زَنجیره اى
ketzen; کُفر گُفتَن
Ketzer; (pl:) زِندیق (زَنادیق)، کافَر، کَفور، بِدعَت
Ketzerei; کُفر، بِدعَت
- jem. wegen Ketzerei verurteilen; کِسى را به صورَت ِ بِدعَت مَحکوم کَردَن
keuchen; نَفَس زَدَن، هو کِشیدَن
- er keuchte; نَفَسَش به شُمار اُفتاده بود
keuchend; نَفَس زَنان
- keuchend sagte er ...; نَفَس نَفَس زَنان گُفت
Keuchhusten; سُرفهٔ سیاه، سیاه سُرفه، خُروسَک
Keule;
- Keule, Knüppel; گُرز، چُماق، تُپُز
- Hammelkeule; ران ِ گوسفَند
keusch; مَعصوم، پاکدامَن
Keuschheit; نِجابَت، عِصمَت، حِصانَت، پاکدامَنى
kH (Frequenz); کیلو هِرتز
Kichererbse; نُخود ِ سِفید
kichern; .نُخودى خَندیدَن، کِرکِر خ
Kick;
- einer Sache einen Kick geben; چیزى را تاب دادَن
Kidnapper; آدَم رُبا، - دُزد
Kidnapping; آدَم رُبایی
Kiebitz; شانه بِسَر، هُدهُد
kiebitzen; با کُنجکاوى نِگاه کَردَن، چَپ چَپ ـ
Kiefer;
- Kiefer (Baum); دِرَخت ِ کاج
- Kiefer; آرواره، فَک
- Oberkiefer; فَک ِ اَعلىٰ، فَک ِ بالائى
- Unterkiefer; فَک ِ اَسفَل، حَنَک
Kieferhöhle; حُفرهٔ فَکى
Kiel; تَه ِ کِشتى
Kiemen; آبشُش، برانشى، دَستگاه ِ تَنَفُس ِ اَکثَر ِ حِیوانات ِ آبزى
Kiemendeckel; سَرپوش ِ آبشُش
Kies; ریگ، سَنگریزه
Kilogramm; کیلوگرام
Kilometer; کیلومِتر
Kilowatt; کیلووات
Kind; (pl.) فَرزَند، وَلَد (اولاد)، بَچه
- ein kleines Kind; کودَک ِ خُرد
- ein Kind bekommen; بَچه دار شُدَن
- Kinder & Kindeskinder; اولاد و اولاد ِ اولاد، فَرزَندان و نَوه ها
-  für ihn ist das Tier wie sein eigen Kind; او اِنگار این حِیوان پارهٔ جِگَرِش است
- nach 2 Kindern wollten wir keine Kinder mehr; بَعد از دو تا بَچه دَر ِ اِزا بِزايِمان را گُذاشتیم
Kindererziehung; پَروَرِش ِ اولاد، ـ فَرزَندان
Kinderfrau; دَده، لَله
Kindergarten; کودَکِستان
- Vorschulkindergarten; مَحد ِ کودَکان
Kindergärtner; پَرَستار ِ کودَکان، مُرَبى ِ ـ
kinderleicht; مِثل ِ آب خوردَن
kinderlos (- sein); نازاد بودَن، بى اولاد ب.، فَرزَندى نَبودَن، بی تُخم و تَرَکه ماندَن
- jem., der kinderlos ist; کِسى که بَچه نَدارَد و اُجاقَش کور است، اُجاقَش خاموش شُده
kinderreich; پُر تُخم و تَرَکه
Kindesbein;
- von Kindesbeinen an; از اَوان ِ کودَکى، از بَچِگى
Kindheit; وِلادَت، صَباوَت، طُفوليَت، بَچِگى
- von seiner Kindheit an; از اَوان کودَکى اَش، از بَچِگى اَش
kindisch; بَچهِوَرانه
- sei nicht kindisch; بَچِگى نَکُن، بَچه تَشو
- kindisches Wesen; خَرَف، بَچِگانه
kindlich; ساده دِل
- er wurde ein Gefangener seiner Kindlichkeit; او اَسیر ِ ساده دِلى ِ کودَکانه اَش شُد
kinetisch;
- Kinetische Energie; اِنِرژى ِ سینِتیک، اِنرِژى ِ چِرم ِ مُتَحَرِک
Kinn; چانه
- Doppelkinn; غَبغَب
Kinngrübchen; چاه ِ زَنَخ
Kino; سینِما
Kiosk; بَساط، دَکه، دُکان
- Zeitungskiosk; اُطاقَک ِ روزنامه فُروش، کیوسک ِ ـ
Kioskbesitzer; کیوسک دار، صاحِب ِ دُکان
kippen;
- das Fenster kippen; پَنجَره را يَله کَردَن
- ins Meer kippen; تو دَریا ریختَن
- die Sache kippt; قَضیه واژگون میشَوَد، به هَم میخورَد، آب آتَش می شَوَد، سُکونَت و آرامِشی به فِتنه و فِساد و آشوب سَخت بَدَل گَشتَن
- jem. vom Platz kippen;  .کِسی را مُعاف کَردَن، - بَر کِنار ک
Kirche; کِلیسا
Kirmes; شَهر بازی
Kirsche;
- Sauerkirsche; آلبالو
- Süsskirsche; گیلاس
- Tollkirsche; گیلاس ِ وَحشى
Kissen; زیر سَرى، بالِش
- s. gegen das Kissen lehnen;  .پُشت به پُشتى دادَن، به مُتَکا تِکیه د
- Kopfkissen; سَربالین، رو بالِش
- Rückenkissen; مِخَده
- Stützkissen; مُتَکا
Kiste;
- 1 Kiste Obst; یک لِنگه  بار
- Obstkiste; لِنگهٔ بار
Kitsch; اِبتِذال
kitschig; قُلُنبه، بى روح، بى مَزه، اِحساساتى
Kitt; بِتونه
Kittel; پیراهَن ِ راحَتى، روپوش
kitten; .بَطانه زَدَن، بِتونه ز
Kitzel;
- Nervenkitzel; خاطِره اَنگیز
kitzeln; قِلقِلَک دادَن
Kitzler; چوچوله
kitzlig;
- er ist kitzlig; قِلقِلَکى است
- eine kitzlige Angelegenheit; قَضیهٔ حَساسی
Kladde; مُسَوَده
Klage;
- Klage, Trauer; نوحه، فَغان، شَکوه، ناله
- Klage (über zugefügtes Unrecht); تَظَلُم
- Klage (jurist.); شِکايَت، دادخواست، دَعوا
Klagelied; مَرثیه
- Klagelieder Jeremia (Altes Testament); مَراثى ِ اِرِمیا
Klagemauer; دیوار ِ نُدبه
klagen;
- klagen (jurist.); بَر عَلَیه کِسى اِقامهٔ شِکايَت کَردَن
- klagen, kritisieren; گِلِگى کَردَن
- klagen, trauern; ناله کَردَن
Klagender; نوحه گَر
Kläger; شاکى، دادخواه، مُدَعی
Klageschrift; شِکايَت نامه
Klageweib; مویه گَر
Klamauk; مُضَحکات
Klammer; گیره
- in Klammer geschrieben; داخِل ِ پَرانتِز
- eckige Klammer; کُروشه
- Heftklammer; گیرهٔ کاغَذ، مَنگَنه
klammern;
- s. an etwas klammern; به چیزى مُتَمَسِک شُدَن، ـ چَنگ زَدَن، مُحکَم ِ چیزى را چَسبیدَن
- s. an die Macht klammern; به قُدرَت جَسبیدَن
Klamotte; مَسخَره بازى
Klamotten; کُهنه، خِنزِر و پِنزِر
Klang; صِدا
klanglos; بى صِدا، بى طَنین
