o (Vokal über Konsonant); عَلامَت ِ ضَمَه
- Objekt der Begierde (*: Gegenstand, *: Thema); مَطمَع
- Objekt der Kritik; آماج ِ اِنتِقاد
objektiv; عِينى، ظاهِرى
Objektiv (Foto-); عَدَسى
obligat; لازِم، اِجبارى، ضَرورى
Obligat (Beiname für Gott); واجِب اُلوُجود
obligatorisch; اِلزامى، اِجبارى، واجِب
Oboe; سُرنا
Obrigkeit; اُولياى ِ اُمور
obschon; گَر چَند
Observatorium; رَصَد خانه
Obst; (pl.)  (ميوه (ميوِجات
- Frühobst; نوبَر
- unreifes Steinobst; چَغاله
obszön; مُستَهجَن، زَنَنده، وَقيح
obwohl;
- obwohl er wusste, eingedenk der Tatsache, dass ...; با اينکه، با عِلم ِ
Ochse; گاو ِ نَر اَخته
- Zugochse; وَرزاو، وَرزگاو
Ocker; گِل زَرد
öde; موات، زَمين ِ بايِر
- öde, langweilig; خَسته کُنَنده
- total öde; بي آب و عَلَف
Ödem; وَرَم
oder; يا، يا اينکه
- entweder das, oder jenes; يا اين يا آن
Ödland; دَشت
Ödnis; زَمين ِ لَم يَزرَع، جاى ِ مَتروک
- welche Ödnis; چه تَک اُفتاده
OECD (Organisation für wirtschaftliche Zusammenarbeit); سازِمان ِ هَمکارى ِ اِقتِصادى و توسِعه
Ofen; اُجاق، بُخارى
- Backofen; تَنور
- Badeofen; تون
- Hochofen; کورة بُلَند
Ofenauskleidung; پوشِش ِ نَسوز ِ کوره
Ofenausmauerung; پوشِش ِ آجُرى ِ کوره
offen; روباز
- offen sein miteinander;  .با هَم رو راست بودَن، رُک و راست ب
- offen & ehrlich; بى غَل و غَش
- weit offen; مُنبَسِط
- die Augen offen halten; پِلکهايِشان را باز نِگَه دارَند
- das Land steht dir offen; تَمامى ِ زَمين پيش ِ تو است
- die Stadt liegt offen vor dir; شَهر لُخت و بَرهوت است
- Zeilen offen lassen in einer Urkunde; دَر مَدرَک سَطرهارا خالى گُذاشتَن
- die Fabrik hat offene Stellen; کارخانه اِحتياج دارَد به کارگَران
- Tag der offenen Tür; روزى که وُرود بَراى ِ هَمِگان آزاد است
- offenes Ende; آخَرَش مَعلوم نيست
- offene Ebene; دَشت ِ گُستَرده
- offener Brief; نامة سَرگُشاده
- offener Güterwagen; واگُن ِ روباز
- offener Meinungsaustausch; تَبادُل ِ نَظَر بى تَکَلُف
- offen gesagt; راستِش را بِخواهيد
- offene Verlegung von Kabeln; سيم کِشى دَر فَضاى ِ آزاد
offenbar;
- das ist offenbar eine ...; اِحتِمالاً ... است
- offenbar werden;  .مَکشوف شُدَن، ظاهِر ش.، مُنکَشِف ش.، عَيان ش
offenbaren; عَيان کَردَن
- s. jem. offenbaren; به کِسى مُظهِر شُدَن، خودرا به کِسى مُظهِر کَردَن
- Offenbarer der Geheimnisse (Gott); کاشِف اُلاِسرار
- dem Prophet offenbartes Wissen; لوح ِ ناخوانده
Offenbarung; وَحى، بُروز، مُکاشِفه
- Selbstoffenbarung; اَفشاء از خود
- verkörperte Offenbarung; وَحى ِ مُجَسَم
Offenbarungseid; سوگَند ِ راستين
Offenheit;
- in aller Offenheit; با صَراحَت ِ تَمام
offenherzig; بى لَفاف، بِدون ِ رياکارى
offenkundig;
- offenkundig werden; به مُشاهِده رِسيدَن، واضِح شُدَن
offenlegen; روی ِ داريه ريختَن، بَر مَلا کَردَن
- bis sie euch alles offenlegen; تا بَرايِتان سير تا پيازَش را بِگويَند
offensichtlich;
- es ist offensichtlich; بَديهى است، صَريح است، مُبين است، عَيان است
- das ist offensichtlich eine Lüge; اين دُروغ ِ شاخدار است
offensiv; تَهاجُمى
Offensive; تَهاجُم، تَعرُض، آفِند، حَمله، هُجوم
öffentlich; عَلَنى
- etwas öffentlich machen; بَر مَلا گُذاشتَن، آشکار کَردَن
- öffentlich sprechen; سُخَن گفتن دَر جَمع
- öffentliches Amt; اِدارة عُمومى
- öffentliche Ausgaben; هَزينه هاى ِ عُمومى
- öffentlicher Dienst; خَدَمات ِ عُمومى
- öffentliche Hand; مَقامات ِ عُمومى
- öffentliches Interesse; مُصالِح ِ عُمومى
- öffentliche Körperschaft; مؤِسِسة عُمومى
- öffentliche Meinung; عَقيده و اَراء ِ عُمومى
- unter dem Druck der öffentlichen Meinung; تَحت ِ فِشار ِ اَفکار ِ عُمومى
- öffentliche Mittel; وُجوه ِ عُمومى
- öffentliche Ruhe und Ordnung; آرامِش و نَظم ِ عُمومى
- jem. öffentlich hinrichten; کِسى را دَر اَنظار ِ مَردُم اِعدام کَردَن
- Mann des öffentlichen Lebens; رَجُل ِ اِجتِماعى
- Polarisierung der öffentlichen Meinung; قُطبى کَردَن ِ عَقايِد ِ عُمومى
- er hat X öffentlich blossgestellt; بَراى ِ فِلان دَردسَر ِ کَذائى را دُرُست کَرد
- öffentlich-rechtliche Körperschaft; مؤِسِسة تَخت ِ قانون ِ عُمومى
Öffentlichkeit;
- Öffentlichkeit des Verfahrens; عَلَنيَت ِ مُحاکِمه
- an die Öffentlichkeit kommen; شايِع شُدَن
- an die Öffentlichkeit bringen; به شُيوع رِساندَن
- in aller Öffentlichkeit; دَر مَلاء ِ عام، دَر اِنظار ِ عُمومى، جِلوى ِ چِشم ِ هَمِگان
Öffentlichkeitsarbeit; اُمور ِ رَوابِط ِ عُمومى
offerieren; عَرضه کَردَن
offiziell; رَسمى
- offiziell anerkennen; اين را به رَسميَت شِناختَن
- offizieller Status; رَسميَت
Offizier; سَرهَنگ، اَفسَر
- diensthabender Offizier; اَفسَر ِ کِشيک
- Anrede iranischer Offiziere; سَر کار
öffnen; گُشودَن، باز کَردَن
- das öffnet jem. das Herz; قَلب ِ کِسي را مى گُشايَد
Öffnung; مَنفَذ، دَهَنه، دَهانه
- politische Öffnung; گُشايش ِ سياسى
Öffnungsweite; پَهناى ِ اِتِصال ِ باز
Öffnungszeiten; ساعات ِ کار
oft; غالِباً، بارها، اَغلَب
- oft kommt es vor, dass ...;  بَسا مى شَوَد که
- wie oft habe ich gesagt, dass ..?; چَند بار گُفتَم که ..؟ بارها و بارها ـ
- des öfteren; مُکَرَر، بارها
ohne; بِدون ِ
- ohne dich; بى تو
- ohne jede ..;  خالى از
- ohne wirklich ..; بى هيچ
- ohne zu;  بى اينکه، بِدون ِ اينکه
- ohne zu zögern ..; بِلا دِرَنگ
- ohne Selbstverleugnung; بِدون ِ از خود گُذَشتِگي
ohnegleichen; عَديم اُلقَرين، بى نَظير، قابِل ِ مُقايِسه نيست
Ohnmacht; بي هوش
- Ohnmacht, Elend; سُتوه
- Wenn man sie erschreckt, fallen sie in Ohnmacht; اَگَر تو دِلِشان پَخ بِکُنى غِش مى کُنَند
ohnmächtig;
- ohnmächtig werden; مَدهوش شُدَن، بيهوش شُدَن
- ohnmächtig sein gegenüber ...; دَر مُقابِل ِ ... عاجِز بودَن، هيچ نُفوذ نَداشتَن
Ohr; گوش
- gelangte an sein Ohr; بِسَمع ِ او رِسيد، به گوش ِ ـ
- in ein Ohr rein, aus dem anderen raus; از يِک گوش شِنيدَن از گوش ِ ديگَر دَر کَردَن
- jem. übers Ohr hauen (*: betrügen); کِسى را خَر رَنگ کَردَن، آب به زيرِش می شَوَد، او را فَريفتَن، آب توی ِ گوش ِ کِسی کَردَن
- s. übers Ohr hauen lassen; غِش و ريسه رفتن
- ich lasse mich nicht übers Ohr hauen; از اين کُلاه سَرَم نِمى رَوَد
- jem. das Fell über die Ohren ziehen; سيرُم از پُشت ِ کِسى کِشيدَن
- der Hund hat große, abstehende Ohren; اين سَگ گوشهاي ِ بَلبَله دارَد
- mir brausen die Ohren; گوشهايَم صِدا مى کُنَد
- seine Ohren überall haben; بايَد گوش به زَنگ باشَد، کِسى هَمه جا ريشه دُوانده است
- sie waren ganz Ohr; آنها سَر و پا گوش شُدَند
- die .., die ihm zu Ohren kamen; او چيزى را که از فِلان سَر مى زَد
- Wände haben Ohren; ديوار موش دارَد، موش گوش دارَد
- die Ohren spitzen; گوش را تيز کَردَن، گوش به چيزى شُدَن
- noch grün hinter den Ohren; دَهَنَش هَنوز بوی ِ شير می دَهَد، تازه از تُخم دَر آمَده
- noch nicht trocken hinter den Ohren, aber schon grosse Töne spucken; آنها غوره نَشُده مَويز مى شَوَند
Ohrenschmalz; چِرک ِ گوش
Ohrfeige; کِشيده، سيلى، طَپانچه
- Ohrfeige einstecken;  .توسَرى خوردَن، تو دَهَنى خ
ohrfeigen;  .توسَرى زَدَن، به صورَت سيلى ز.، طَپانچه ز
Ohrgehänge; آويزة گوش
Ohrläppchen; پَرة گوش، نَرمة گوش
Ohrmuschel; لالة گوش
Ohrring; مَنگوش، گوشواره
ok; باشه
- so, das alles ok wird; که آب از آب تَکان نَخورَد
- ist bei dir alles ok?; حالا خوب حالیَت شُد؟
- die Arbeit ist ok; کار تَخت و تَبار است
okkult; جادو مِزاج
Okkultismus; جادوگَری
Okkupation; اِشغال، تَصاحُب
Ökologie; مُحيط ِ زيست شِناسى، بوم شِناسى
ökologisch; اِکولوژيک
- ökologische Bewegung; نِهضَت ِ مُحيط ِ زيست
- ökologisches Gleichgewicht; تَعادُل ِ اِکولوژيک
Ökonomie; اِقتِصاد
- Makroökonomie; اِقتِصاد ِ کَلان
- Mikroökonomie; اِقتِصاد ِ خُرد
Oktave; اُکتاو
Oktober; اُکتُبر
Oktopus; اَخطَبوط
Okular; عَدَسى ِ چِشمى
Okzident; غَرب، مَغرِب زَمين
Öl;
- Öl ins Feuer giessen; دامَن بَر آتَش زَدَن
- das geht wie Öl über unsere Lippen; مِثل ِ نَقل و نَبات بَر زَبان ِ ما جارى است
- Erdöl; نَفت
- Pflanzenöl; روغَن
Ölfarbe; رَنگ ِ روغَن
Ölgemälde; نَقاشى با رَنگ ِ روغَن
Oligarchie; مَعدود سالارى
Olive; زِيتون
olivenfarben; رَنگ ِ زِيتونى
Olivenöl; روغَن ِ زِيتون
oller;
- Je oller, je doller; هَرچه پيرتَر مى شَوَد حَريص تَر مى شَوَد
Ölofen; اُجاق ِ نَفتى
Ölwanne; وان ِ روغَن، کارتِل
Ölwechsel; تَعويض ِ روغَن
Olympiade; اُلِمپيک
- die olympischen Spiele; مُسابِقات ِ اُلِمپيک
Olympiasieger; قَهرَمان ِ اُلِمپيک، بَرَندة جايزة اُلِمپيک
Oma; نَنِه، مامان ِ بُزُرگ
Omelett; خاگينه، اُملِت
Omen; اَتَر، فال
- schlechtes Omen verkünden;  .اَتَر زَدَن، فال ِ بَد ز
Omnibus; اُتوبوس
Omnipotenz; اِقتِدار ِ مُطلَق
omnipräsent; حاضِر ِ مُطلَق
Omnipräsenz; حُضور ِ مُطلَق
Onanie; جَلق، اِستِمناء
onanieren; جَلق زَدَن، اِستِمناء کَردَن
Onkel;
- Onkel (mütterlicherseits); دايي
- Onkel (väterlicherseits); عَمو
- "Onkel Toms Hütte"; سَرگُذَشت ِ عَمو سام
Ontologie; هَستى شِناسى
Opa; بابا بُزُرگ
OPEC (Organisation der Erdölexportierenden Länder); سازِمان ِ کِشوَرهاى ِ صادِرکُنَندۀ نَفت
Oper; اُپِرا
- komische Oper; اُپراى ِ کُميک
Operation; عَمَل ِ جَراحى
- am Tag der Operation; دَر روز ِ عَمَل ِ جَراحى
- Operation (militär.); عَمَليات ِ نِظامى
Operationstisch; تَخت ِ جَراحي
operativ; از طَريق ِ جَراحى
Operette; موزيکال
operieren; عَمَل کَردَن، عَمَل ِ جَراحي کَردَن
- um ihn am Fuss zu operieren; تا پايَش را عَمَل کُنَند، - جَراحي کُنَند
Opfer; قُربان
- zum Opfer fallen; قُربانى شُدَن
- er ist das Opfer der Affaire; او سِپَر ِ بَلا است
- die Sache forderte ein Opfer; اين قَضيه قُربانى گِرِفت
- er ist ein Opfer seiner Leidenschaft; او دَستخوش ِ تَمايُلات ِ خود است
- Brandopfer; قُربانى ِ آتَشين، ـ سوختَنى
Opferbereitschaft; آمادِگى بَراى ِ فَداکارى، جانفِشانى
opfern; قُربانى کَردَن
- s. opfern; جان ِ خودرا نِثار کَردَن، جان ِ خودرا دادَن
- gesundes Essen wird der Pünktlichkeit geopfert; غَذاى ِ سالِم فَداى ِ وَقت شِناسى مى شَوَد
- s. aufopfern; جان فِشاني کَردَن
- aufopfernde Liebe; مُحَبَت ِ جانبارانه، ـ جان کَن
Opium; تِرياک، اَفيون
Opiumpfeife; وافور
Opiumraucher; اَفيونى، تِرياکى
Opportunismus; فُرصَت طَلَبى
Opportunist; فُرصَت طَلَب، دَم ساز، اِبن اُلوَقت، نان به نِرخ و روز خور
Opposition; اُپوزيسيون، مُخالِفَت، جِناح ِ مُخالِف، اَقَليَت ِ مَجلِس
- s. in Opposition befinden mit; دَر تَقابُل بودَن با ..، مُخالِف ِ کِسى بودَن
- ausserparlamentarische Opposition; اُپوزيسيون ِ بُرون ِ پارلِمانى
- in die Opposition gehen; عُهده دار ِ وَظيفة اَقَليَت شُدَن
Optik; نور شِناسى، تَجهيزات ِ نورى
Optiker; عِينَک ساز
optimal; عالى، از هَمه چيز بِهتَر است
optimieren; به حَد اَعلاء رِساندَن
Optimismus; خوشبينى
optimistisch; خوش بين
- er ist optimistisch; او خوش بين است
- er hatte eine optimistische Phase; اُميد ِ او گُل مى کَرد
Optimum; دَرَچة عالى
Option; اِختيار، خيار، اِنتِخاب
optisch; عِيني، بَصَري
- optische Geräte; آلات ِ بَصَرى
- optische Täuschung; اِشتِباه ِ بَصَرى
opulent; هَنگُفت
- opulentes Mahl; غَذاي ِ هَنگُفت
Orakel; وَحى ِ کاذِب، فال، اِستِخاره
- Orakel lesen; اِستِخاره کَردَن، سَر ِ کِتاب باز کَردَن
- nach dem Orakel handeln;  اِستِخاره راه دادَن
orakelhaft; مَرموز
oral; دَهَنى، از راه ِ دَهَن
Orang - Utan; اوران اوتان
Orange; پُرتُقال
orangefarben; رَنگ ِ نارَنجى، تُرَنجى
Orchester; اُرکِستِر
Orchidee; اَرکيده
Orden; نِشان، مِدال
- religiöser Orden; اَنجُمَن ِ مَذهَبى
ordentlich;
- ordentliche Sitzung; کُنفِرانس ِ عادى
- mach deine Arbeit ordentlich; کارَت را دُرُست و حِسابى اَنجام بِده
- ich hoffe, die Arbeit wird ordentlich erledigt; اُميدوارَم کار به خوبى اَنجام شَوَد
- das Essen muss ordentlich aufgetischt werden; سُفره بايَد دَقيق گُستَرده شَوَد
ordern; سِفارِش دادَن
ordinär; بي اَدَب، مُبتَذَل، رَکيک
Ordinate; رُست، عَرض
Ordinatenachse; مِحوَر ِ عَرضى
Ordination; اِنتِصاب، بَرگُزيدِگي
ordnen;  .رَده بَندى کَردَن، مُنَظَم ک.، مُرَتَب ک
- seine Angelegenheiten ordnen; خَر ِ خودرا از پُل گُذَراندَن
- ich brauche 2 Tage, um alles zu ordnen; دو روز بايَد مَشغول ِ تَرتيب دادَن ِ کارها باشَم
- Ordnen der Angelegenheiten; رِسيدِگى به کار
Ordner;
- Ordner, Akte; پَروَنده
- Ordner, Aufseher; ناظِم، مُبَصِر
Ordnung;
- Ordnung, Harmonie; نِظام، سيستِم، نَظم، اِنسِجام، هَمسازى، اِنتِظام
- völlig in Ordnung sein; بِسيار بِجا بودَن
- 1 Dollar ist in Ordnung; يِک دلار سَر ِ راست
- ist bei dir alles in Ordnung?; حالا خوب حالیَت شُد؟
- zur Ordnung rufen; به نَظم فَرا خوندَن
- das hat alles seine Ordnung; حِساب و کِتاب داشتَن
- sein Bett in Ordnung bringen;  .مَلافِه اَش را آنکادِر کَردَن، مُرَتَب ک
- mit dem Auto ist was nicht in Ordnung;  .ماشين را خَلَل هَست، ماشين عِيب دارَد، خَلاف د
- das Dokument ist nicht in Ordnung; سَنَد مَخدوش است
- die Kleidung in Ordnung bringen; لِباس را صاف و صوف کَردَن
- eine Sache in Ordnung bringen; به چيزى سَر و صورَت دادَن، چيزى را مُرَتَب کَردَن، ـ دُرُست ک.، ـ نَظم و تَرتيب دادَن
- indem man Organisationen eine Ordnung gibt; تَشکيلهائى با ساماندَهى
- Gemeindeordnung; آئين نامة بَخشدارى
- Neuordnung (der ..); (... ِ  ) نوسازِماندَهى
- Raumordnung; نَسق ِ اِنتِفاع از زَمين، آئين نامۀ انتفاع از مُلک و زَمين
Ordnungsamt; اِدارة ثَبت
ordnungsgemäss; بَر طِبق ِ قانون
Organ;
- beratendes Organ; نِهاد ِ مَشوَرَتى
- staatlichen Organe; مَقامات ِ دولَتى
- Körperorgan; اَندام، آلَت
- Geschlechtsorgan; آلَت ِ جِنسى
- Parteiorgan; اُرگان ِ حِذب
Organisation; سازِمان
- er ist für die ganze Organisation zuständig; تَدارُکات دَر دَست ِ اوست
- Mitglied einer (bestimmten) Organisation; عُضو ِ سازِمان
organisatorisch; تَشکيلاتي
- das ist ein organisatorisches Problem; اين مَسئَلة تَشکيلاتى است
organisch;
- organische Chemie; شيمى ِ آلى
- ein organischer Prozess; پروسه طَبيعي
organisieren; سازِمان دادَن
- Versammlung organisieren; تَشکيل ِ جَلَسه دادَن
- Widerstand organisieren; مُبارِزه را سازِمان دادَن
- organisierter Streik; اِعتِصاب ِ سازِمان يافته
Organisierung; سازِماندَهى
Organismus; موجود ِ زِنده، بَدَن
Organist; نَوازَندة اُرگ
Organspende; اِهداء ِ عُضو
Organtransplantation; پِيوَند ِ عُضو ِ بَدَنى
Organza; اُرگاندی
Orgasmus; اُرگاسم
Orgel; اُرگ
Orgie; عَياشى، عِيش و نوش، عِشرَت
- eine Orgie veranstalten; جَشن ِ خارِق ِ رُسوم گرفتن
Orient; مَشرِق زمين، شَرق
Orientalistik; شَرق شِناسى
orientieren;  .وانِگَريستَن، جَهَت دادَن، اِطِلاعات د
- eine Politik neu orientieren; به سياسَت جَهَت ِ نو دادَن
- linksorientiert; چَپ گِرا
- rechtsorientiert; راست رو، راستگِرا
Orientierung; جَهَت گيرى، اِرشاد، جَهات يابى، خَط ِ مَشق، تَشخيص ِ موقِعيَت
- jem. eine Orientierung geben; کِسى را راهنَمائى کَردَن
- jem. eine Orientierung geben (*: anleiten); کِسى را توجيه کَردَن
Orientierungsstufe (in der Schule); کلاس ِ راهنَمايى
Original; اَصل
Originalfassung; نُسخة اَصلى
Originalität; اِصالَت
- Originalität der Kultur; اِصالَت ِ فَرهَنگ
Originalverpackung; آكبَند، بَسته بَندي دَست نَخورده
originell; اَصلى، مَخصوص، بى سابِقه، بى نَظير
- originell, kreativ; خَلاق
- seine Bemerkung ist originell, lustig; حَرفَش با مَزه است
- ein origineller Typ; ياروى ِ خودزى
Orion; جَبار
Orkan; تُندباد، طوفان
Ornament; تَزئين
Ort; مَحَل، مَکان، جا، مَنطَقه
- von Ort zu Ort; کو بِکو
- etwas an Ort & Stelle legen; چيزى را دَر جا گُذاشتَن، ـ سَر ِ جا ـ
- Versammlungsort; ساحَت، مَحَل ِ مُلاقات
- aufs Örtchen gehen; بيرون رَوى کَردَن، رَفتَن به دَستشوئى
orten; تَعيين ِ مَحَل کَردَن
Orthopäde; اُستُخوان پِزِشک
örtlich; مَحَلي
- örtliche Zuständigkeit; صَلاحيَت ِ مَحَلى
Ortsanzeiger; مَکان نَما
Ortschaft; (pl.) دِهکَده، آبادى، قَريه (قَراء)، قَصَبه (قَصَبات)، بَلاد
ortsfest; ثابِت
Ortsgespräch (Telefon); صُحبَت ِ تِلِفُنى ِ مَحَلى
Ortskrankenkasse; بيمة مَحَلى ِ بيمارى
Ortswechsel; تَفيير ِ مَکان
- um einen Ortswechsel zu haben (popul.); تا آب به آب شَوَد
Ortung; جَهَت يابى، مَحَل ـ
Ortungsgerät; جَهَت ياب
Öse; حَلقه، گوش واره، چِشم
- Haken & Ösen; قَزَن ِ قُفلى
Osmose; اُسمُز
Osten; شَرق
- Ferner Osten; خاوَر ِ دور
- Mittlerer Osten خاوَر ميانه
- Naher Osten; خاوَر ِ نَزديک
- Ost-West-Entspannung; تَنِش زِدائى ِ شَرق و غَرب
- Ost-West-Konflikt; تِضاد ِ شَرق و غَرب
Osteoporose; زَوال ِ اُستِخوان، تَضعيف ِ ـ
Ostern; عِيد ِ رُستاخيز، عِيد ِ پاک
Österreich; اُتريش
Osthandel; بازارگانى با شَرق
Oszillation; نَوَسان
Ottomotor; موتور ِ کاربَراتور دار ِ اتو، ـ بِنزينى
oval; بِيضى شِکل
Ovation; هَلهَله
Overall; لَباده، لِباس ِ کارگر
Oxydation; اُکسيداسيون
Oxydationsmittel; مَواد ِ اُکسيد کُنَنده
oxydieren; اُکسيده شُدَن
Ozean; دَريا، اُقيانوس
- Atlantischer Ozean; اُقيانوس ِ آتلانتيک
- Indischer Ozean; اُقيانوس ِ هِند
- Pazifischer Ozean; اُقيانوس ِ آرام
Ozon; اوزون (دَر اَثَر اَشَعة ماوَراء ِ بَنَفش ِ آفتاب تَشکيل مى شَوَد
