Lab; خَمیر مایهٔ پَنیر
- lästiger Mensch; آدَم ِ سَمِج، آدَم ِ موذی، آدَمی که زَحمَت میدَهَد
Lastschrift (von Bank); یادداشت ِ پَرداخت
Lastwagen; ماشین ِ باری، کامیون
Lasur; لُعاب
lasurfarben (blau); لاجوَردی
lasziv; شَهوانی
Latein; زَبان لاتینی، لاتین
Lateinamerika; آمریکای ِ لاتین
lateinisch; زَبان لاتینی
latent;
- eine latente Gefahr; خَطَر ِ هَمیشِگی و پوشیده
lateral; کِناری، جانِبی
Laterne; فانوس
- Strassenlaterne; چِراغ ِ خیابان
Latrine; مُستَراح
Latrinenreiniger; مُتَصِدی ِ مُستَراح
latschen; تِلو تِلو راه رَفتَن
- jem. eine latschen (popul.); يِکی توی ِ گوش ِ کِسی خواباندَن
Latschen;
- Latschen (Hausschuhe); دَمپائی
- Latschen (Strauch); دِرَخت ِ کاج ِ کوهی
Latte; تَختهٔ باریک
Lätzchen; پیش بَند
lau; مُلايِم
- das Wetter ist lau; هَوا مُلايِم است
- das Wasser ist lau (i.S. lauwarm); آب وِلَرم است
- das ist für lau (popul.); این مُفته، بی اَرزِش
Laub; بَرگ ِ دِرَخت
- Herbstlaub; بَرگ ِ خَزان شُده
Laubbaum; دِرَخت ِ بَرگدار با بَرگهای ِ غِیر ِ سوزَنی
Laube; آلاچیق، سايِبان
Laubholz; چوب ِ دِرَخت ِ بَرگدار
Lauch; تَرهٔ فَرَنگی
Lauer;
- sie liegen auf der Lauer; آنها دَر کَمین هَستَند
lauern;
- sie lauern auf eine Gelegenheit; آنها مُتَرَصِد ِ... هَستَند
- er lauerte auf eine günstige Gelegenheit; گوشِش خواباند
- sie lauern hinter der Tür; آنها پُشت ِ دَر سَرَک می کِشَند
Lauern (n); اِستِراق ِ بَصر، دید زَدَن، دُزدَکی نِگاه کَردَن
Lauf; دُو
- Lauf der Geschichte; خَط ِ سِیر ِ تاریخ
- im Laufe der Zeit; به مُرور ِ زَمان
- den Tränen freien Lauf lassen; .گِریه را سَر دادَن، به اَشک راه د
- Gewehrlauf; لولهٔ تُفَنگ
- Rechtslauf (z.B. Motor); راست گِرد
Laufbahn; تَرفیع، سِیر ِ اِرتِقاء
Laufband; باند ِ رَوَنده
Laufbursche; پادو، پَرقِیچی
Laufeigenschaften (phys.); مُشَخَصات ِ حَرَکَت
laufen; دَویدَن
- er läuft 100 Meter; او ۱۰۰ مِتر می دُوَد
- Pferd laufen lassen (z.B.: ohne Zügel); اَسب را دَوانیدَن، - دَواندَن
- ohne dass wir Gefahr laufen; بی اینکه این خَطَررا دَر پیش داشته باشیم
- wenn bei mir alles gut läuft; اگر کار و بارَم خوب باشَد
- das Cafe läuft gut; قَهوه خانه خوب می چَرخَد
- er läuft als einer von ihnen, er gilt -;  او بِعُنوان ِ يِکی از آنها گُذَران می کُنَد
- er lässt den Motor laufen; می گُذارَد موتور روشَن باشَد
- das ist gelaufen (*: aus); کار از کار گُذَشته
- zum Laufen bringen; دايِر کَردَن
- zum Laufen gebracht werden; دايِر شُدَن
laufend;
- im laufenden Jahr; سال ِ جاری، سَنهٔ حالیه
- Leitung der laufenden Geschäfte; راندَن ِ اُمور ِ جاری
- jem. auf dem Laufenden halten; کِسی را دَر جَریان ِ این کار قَرار دادَن
- die Abrechnungen befinden s. auf dem Laufenden; سَر ِ حِساب
- auf dem Laufenden sein über; بَر چیزی واقِف بودَن
laufenlassen (jem. -); .کِسی را رَها کَردَن، ـ وِل ک
Läufer; دَوَنده
- Läufer, Teppich; زیر اَنداز، فَرش  ِ کِناره
- jem. den Roten Läufer ausrollen; پا اَنداختَن بَرای ِ کِسی
läufig; طَلَب آمَدَن، فَحل آ.، لاس زَدَن، لاسیدَن
- läufiger Hund; سَگ ِ لاس
Laufkatze; غَلتَک ِ بَرقگیر
Laufkran; جَر ِ ثَقیل ِ گَردان
Laufmasche; دَرزها از هَم باز می شَوَد، ریز ِ دَررَفته
Laufpass;
- Laufpass geben; کِسی را قال گُذاشتَن
Laufschritt;
- im Laufschritt; (be-dow) دَوان دَوان، بِه دو
- sie kamen im Laufschritt an; آنها بِدو بِدو آمَدَند
Laufsteg; گُذَرگاه
Laufwerk (bei Computer); دیسک ِ گَردان
Laufzeit; زَمان ِ عُبور، مُدَت ِ زَمان ِ اِعتِبار
Lauge; مَحلول ِ مَواد ِ قِلیائی دَر آب، مَحلول ِ بازی
Laune; خود کامی، بُلهَوَسی، خُلق، حالَت
- gute Laune haben; حال داشتَن
- das hebt seine Laune; این چیز خُلقَش را خوش می کُنَد، کِیفَش کوک می شَوَد
- schlechter Laune sein; خُلق ِ کِسی تَنگ است
- er war nicht in Laune; او توی ِ این حال و هَوا نَبود
- seine gelegentliche schlechte Laune; با هَمهٔ بَد قِلِقی های ِ گاه گاهی
- wenn er bei Laune war; اَگَر دِنگِش میگِرِفت، گاهی که سَر کِیف بود
- jem. die Laune nehmen; کِسی را پَکَر کَردَن
- das Geld für seine Launen ausgeben; پولهايَش را خَرج ِ دَنگ و فَنگ ِ خودِش می کُنَد
- in Bierlaune; دَر کِیف ِ شَراب
launenhaft; (gah-gir) خودکامه، بُلهَوَس، دَم دَمی مِزاج، گَهگیر
Launenhaftigkeit; دَمدَمی مِزاجی، بُلهَوَسی
launisch; (gah-gir) خودکامه، بُلهَوَس، دَم دَمی مِزاج، گَهگیر
Laus; شِپِش
lauschen; سَرَک کِشیدَن، اِستِراق ِ سَمع کَردَن
- sie lauschen auf die Klingel; آنها گوش به زَنگ می شَوَند
- von jem. etwas ablauschen; چیزی را از کِسی اِستِراق ِ سَمع کَردَن، به حَرف ِ کِسی پِنهانی گوش دادَن
Lauschen (n); اِستِراق ِ سَمع
Lauscher; (nijuschande) نیوشَنده
laut;
- laut sein; .رَسا بودَن، شُلوغ ب.، پُر سَر و صِدا ب
- mit lauter Stimme; با صِدای ِ رَسا، ـ بُلَند
- sein Bedauern gegenüber ... nicht laut werden lassen; رِسانه دَر مورِد ِ ... سُکوت کَردَن
- laut Mitteilung, schrieb ...; به نَقل از سُخَنگوی ِ ... نِوِشته
Laut (m); (pl.) آوا، صِدا، صوت (اَصوات)، آواز
Laute;
- Laute (arab., mit Ziegenhaut); مَزهَر
- Laute (iran., aus Holz); عود، بَربَط، لوت
lauten;
- die Adresse wird wie folgt lauten; آدرِس به شَرح ِ زیر خواهَد بود
läuten; زَنگ زَدَن
lauter;
- vor lauter Schwäche; از فَرط ِ ضَعَف، از زور ِ ضَعف
- vor lauter Schreien war mir ...; از بَس که جیغ و داد کَرده بودَم
- vor lauter schlechten Nachrichten sind wir ganz geknickt; از فَرط ِ اَخبار ِ مأیوس کُنَنده ای سَر بِزیریم
- seine Absicht ist lauter; نيَت ِ او پاک است
- in lauterster Absicht; با خُلوص ِ نيَت
Lauterkeit; خُلوص ِ نيَت، بی ریائی، صَمیميَت
läutern; پاک کَردَن
- geläutert sein; از قال دَر آمَدَن
Läuterung;
- Läuterung des Menschen; تَزکیهٔ نَفس
lautlos; بی سَر و صِدا
- lautloser Angriff; تُرکتازی ِ بِلامُنازِع، ـ بیصِدا
Lautsprecher; بُلَند گو
Lautstärke; شِدَت ِ صوت
Lautstärkeregelung; کُنترُل ِ شِدَت ِ صوت
Lautwandel (literat.); اِبدال ِ حُروف
lauwarm; گَرم سَرد، وِلَرم
Lava;  - ِ سَنگهای ِ آتَشفِشانی، تودهٔ گُداختهٔ آتَشفِشانی، مَواد ِ مُذاب
Lavendel; اُسطوخودوس
Lavieren; چَم و خَم
Lawine; بَهمَن
lax; غافِل، لااُبالی
Layout; موزون ِ صَفحه، صَفحه بَندی، ویرایِش، صَفحه آرایی
Lazarett;
- Feldlazarett; مَریض خانهٔ صَحرائی
leben; زِندِگی کَردَن
- Menschen, die in ... leben; ... ِ مَردُم مُقیم
- sie leben in innerer Unruhe; آنها دَر پَریشانی بِسَر می بَرَند
- sie leben vom Geld des ...; آنها با پول ِ فِلان گُذَران می کُنَند
- auf grossem Fuss leben; فَراخ رَوی کَردَن
- er lebte im Ausland; او دَر خارِجی بِسَر بُرد
- von seinen Kindern leben; مَخارِج ِ اورا فَرزَندانَش به عُهده دارَند
- so wahr ich lebe (popul.); که جونَم
- es lebe ...!; زِنده باد ...!، پايَنده باد
- wenn du lange lebst, ...; اَگَر عُمر ِ طولانی کُنی
- Wo leben wir eigentlich?; کُجا داریم زِندِگی میکُنیم؟
- leben und leben lassen; زِندِگی کُن و بِگُذار که زِندِگی کُنَند
- in den Tag hineinleben; لِک و لِک کَردَن
- man muß mit dem leben, was man hat; وَقتی مادَر نَباشه با زَن ِ بابا بايَد ساخت
- Man lebt nur einmal; آدَم دو بار به این دُنیا نِمی آيَد، بايَد از لِذات ِ حَیات هَرچه بیشتَر تَمَتُع بُرد
- und wenn sie nicht gestorben sind, dann leben sie noch heute; قِصهٔ ما بِسَر رِسيد کَلاغه به خانه اش نَرِسيد
Leben (n); رَوان، حَیات، زِندِگی
- das Leben lassen; به مَرگ رِسیدَن، جان دادَن
- das Leben verlieren; جان باختَن
- ich habe mein Leben eingesetzt; دَست از جان شُستَم، جان بَر کَف نَهادَم
- das nackte Leben retten; جان سالِم به دَر بُردَن
- das Leben währt lange; عُمر کَفاف میکُنَد
- bis ans Ende des Lebens; تا آخَر ِعُمر
- nach dem Leben trachten;  به قَصد ِ جان زَدَن
- etwas ins Leben rufen; چیزی را به نَقد کِشیدَن، ـ به وُجود آوَردَن
- der Verein wurde im Jahre ... ins Leben gerufen; اَنجُمَن دَر سال ِ ... موجوديَت یافت
- jem. ins Leben zurückrufen; دَست از دِل ِ کِسی بَرداشتَن، کِسی را به حال ِ خود گُذاشتَن
- Wasser des Lebens; آب ِ زِندِگانی، ـ حَیات
- Das Leben ist kein Spaziergang; دُنیا جای ِ آزمايِش است نَه جای ِ آسايِش
- Ein bisschen was vom Leben haben; سَری دَر آخوری داشتَن، اَندَکی ِ سَر و سامان پِیدا کَردَن
- Jeder macht aus seinem Leben, was er kann; از آب ِ خُرد ماهی ِ خُرد خیزَد
- Auf und Ab des Lebens; فَراز و نِشیب ِ زِندِگی
- sein Leben steht auf dem Spiel; زِندِگی ِ او به موئی بَسته است
- sein Leben aufs Spiel setzen; بَر لَبهٔ تیغ زِندِگی کَردَن
- sein Leben neigt s. dem Ende zu; چیزی از عُمر ِ او نِمی مانَد
- es geht um Leben & Tod; پای ِ مَرگ و زِندِگی دَر میان است
- Kampf um Leben & Tod; مُبارزهٔ حَیاتی و مَماتی
- unter Einsatz meines Lebens; از خِرس موی کَندَن غَنیمَته
- Höhen & Tiefen des Lebens; خوب و بَد ِ دُنیا
- s. durchs Leben schlagen; کِر و کِر کَردَن
- Was ist das Leben? Trübsal, Leiden und schliesslich der Tod; زِندِگی چیست؟ خون ِ دِل خوردن سَر به سَر ِ رَنج و عاقِبَت مُردَن
- Das Leben ist zu kurz, um ständig für sein Recht zu kämpfen; آدَم دو دَفعه نِمی میرَد گاه دِفاع از حَق و حَقیقَتی رَعَب و هَراس ناسِزاوار است
- Leben ist wertvoller als Geld; پول است نَه جان است که آسان بِتَوان داد
- Die Mittel reichen weder zum Leben noch zum Sterben; سَد ِ رَمِق، پاداش ِ بخور و نَمیر
- Jedes Korn, das in die Erde fällt, entsteht zu neuem Leben, warum  glaubt Ihr das nicht auch für den Menschen?;   کُدام دانه فُرو رَفت دَر زَمین که نَرُست چِرا به دانهٔ اِنسانيَت این گُمان نَباشَد؟
- das Leben von Tausenden; گُذَران ِ هِزاران نَفَر
lebend; زِنده
- lebende Mauer (beim Fussball); دیوار ِ گوشتی
lebendig;
- die Vergangenheit wird lebendig; به گُذَشته جان میبَخشَد
- der lebendige Gott; خُدای ِ حَی، ـ زِنده
Lebendigkeit;
- die Lebendigkeit seiner Erzählung; حِکايَت ِ شور اَنگیز ِ او، ـ زِندهٔ او
Lebensart; سُلوک، رَفتار، نَحو ِ زِندِگی
Lebensbedingungen; شَرايِط ِ زِندِگی
Lebenserfahrung; عِلم ِ مَعاش، تَجرُبهٔ زِندِگی
Lebenserwartung;
- erhöhte Lebenserwartung; اُمید به اَفزايِش ِ عُمر، اَفزايِش ِ طول ِ عُمر
Lebenselixier; آب ِ شَهادَت، آب ِ تُربَت
Lebensfaden;
- bis der Lebensfaden reisst; (infin.) (تا رَگ ِ جان بگُسِلَد (گُسِلیدَن
Lebensfreude; تَنَشُط، نِشاط، شوق ِ زیستَن، خوش گُذَرانی
Lebensgefahr; خَطَر ِ مَرگ
Lebensgefährte (-in); (هَمدَم ِ مُذَکِر (ـ مُؤنَث
Lebensgeister;
- seine Lebensgeister sind wieder geweckt; آب زیر ِ پوستَش رَفت
Lebensgrundlage;
- jem. die Lebensgrundlage nehmen; نان ِ مَردُم را آجُر کَردَن
Lebenshaltung; مَعیشَت، مَعاش ِ زِندِگی
- Mittel für die Lebenshaltung; وَسیلهٔ گُذَران ِ زِندِگی
Lebenshaltungskosten; هَزینهٔ زِندِگی
Lebensinteressen; مُصالِح ِ زِندِگی
Lebensjahr;
- im 50. Lebensjahr; دَر سِن ِ ۵۰ سالِگی
lebenslänglich; مادام اُلعُمر
- lebenslängliche Haft; حَبس ِ اَبَد، حَبس ِ مادام اُلعُمر
Lebenslauf; سَر گُذَشت ِ زِندِگی، زِندِگی نامه
Lebensmittel; خواربار، خوراک، مَواد ِ غَذائی
