da; آنجا
- diejenigen, die daraufhin angesprochen werden; آنانى که دَر آن مُخاطِب قَرار مى گیرَند
daraus;
- daraus folgt; از این مَعلوم مى شَوَد
- mach dir nicht daraus; پَشمَش بدان، قِیدَش را بِزَن، غُصه نَخور
- aber daraus wurde nichts; وَلى چِنین نَشُد
darben; دَرماندن، به ذِلَت اُفتادَن
- freiwillig darben; چیزى را به خود حَرام کَردَن
Darbietung; نَمایِش
darin;
- darin stimmen wir überein; دَر این مورِد تَوافُق داریم
- der Unterschied liegt darin; تَفاوُت دَر این است
darlegen; توضیح دادَن، مُعَرِفى داشتَن، عَرض کَردَن
- die Meinung gegenüber jem. darlegen; اَفکاررا به کِسى مَعروض داشتَن، ـ عَرض کَردَن، ـ اِبراز کَردَن
Darlehen; کارگُشائى، مُساعِده، وام، قَرض
- Darlehen erhalten; کارگُشائى گِرِفتَن، مُساعِده ـ، وام ـ
- jem., der Darlehen erhält; وام گیر، مُقتَرِض
- jem., der Darlehen gibt; وام ده، مُقَرِض
- zinsloses Darlehen; قَرض اُلحَسَنه
Darm; (pl.) مِعاء (اَمعاء)، روده
- Dickdarm; رودهٔ فَراخ
- Dünndarm; رودهٔ باریک
- Mastdarm; رودهٔ راست
Darmverschlingung; اِلتواء اَمعا، پیچیدِگى ِ روده
Darmzotte; خَمل ِ روده
darstellen;
- darstellen, verkörpern; مُجَسَم ساختَن
- bildlich darstellen; مَنقوش کَردَن
- etwas als Unglück darstellen; چیزى را بِعُنوان حادِثه جِلوه دادَن، ـ تَعریف کَردَن
- eine Bedrohung der Sicherheit darstellen; خَطَر بَراى ِ اَمنیَت ایجاد مى کُنَد
- sie stellen s. in verschiedenen Gestalten dar; آنها خودرا مُتَظاهِر به صورَتهاى ِ مُختَلِف مى کُنَند، ـ خودرا نِشان مى دَهَند
- ihre Absichten darstellen; تَعَمُد به خَرج مى دَهَند
- darstellende Geometrie; هِندِسهٔ تَرسیمى
- jem., der eine Sache darstellt; بَیانگَر، بَیان کُنَنده
- ... stellt etwas dar, dass ...; اَنگاره اى است که
- Leute, die etwas (i.S.: gesellschaftliche Position) darstellen; آدَم ها با اِسم و رَسم
Darstellung;
- Darstellung, Ausschmückung; تَلفیق، تَظاهُر
- Darstellung, Porträtierung; شَبیه سازى
- Darstellung origineller Gedanken; عَرضهٔ اَندیشه هاى ِ اَصیل
- vereinfachte Darstellung; به طَرز ِ ساده اِنگارانه تَرسیم شُده است
Darstellungsvermögen; قُوهٔ عَرضه، - تَظاهُر
- was x mit soviel Darstellungsvermögen ausgedrückt hat; که فِلان با چنان ظَرافَتى بَیان داشت
darüber;
- darüber hinaus; گَذَشته از آن، دَر وَراء این، مَعَ ذَلِک
- was verstehen Sie darüber?; شُما از آن چه مى فَهمید؟
- er ist 50 Jahre oder darüber; سِنِش ۵۰ سال است بَلکه بیشتَر
- sie sind 50 Jahre und darüber; سِنِشان ۵۰ سال است و بِبالا
- es ist nicht die Frage, was wir darüber denken; موضوع این نیست که ما دَر این باره چه فِکر مى کُنیم
- und darüber hinaus; از این گُذَشته
darum; بِدین دَلیل، چون، لِهَذا، بِدَلیل ِ اینکه
darunter;
- darunter leiden; از آن رَنج بُردَن
- was verstehen Sie darunter?; شُما از این چه مى فَهمید؟
Darwinismus; داروینیزم، نَظَریهٔ تَکامُل
- Darwins Buchtitel; پِیدایِش ِ گونه ها بِکُمَک ِ اِنتِخاب ِ طَبیعى
das;
- das ist gut; این خوب است
- das die Wahrscheinlichkeit, dass ...; که اِحتِمال ِ اینکه
- wenn aber jem. das macht; و اَگَر کِسى قَرار است اینرا بِکُنَد
Dasein; حُضور، وُجود
Daseinsberechtigung; حَق ِ وُجود، ـ هَستى
Daseinsfreude; خوشى از وجود، مَسَرَت از زِندِگى
dass;
- und dasjenige, dass; و اینکه
- die Behauptung, dass ...; اِدِعاى ِ اینکه
- ein Grund, dass ... ist der, ...; یِک دَلیل ِ اینکه ... این است
- der Gedanke, dass ...; فِکر اینکه دیگَر
dasselbe;
- es ist immer dasselbe; هَمیشه هَمینطور است
Datei; پَروَنده
Daten; داده ها
Datenbank; بانک ِ اِطِلاعات، بانک ِ داده ها
Datenschutz; حِفظ ِ اِطِلاعات راجِع به اَفراد
datieren; تاریخ گُذاشتَن
- der Brief datiert vom ...; نامه تاریخ ِ ... دارد، ـ مُوَرَخ ِ ... است
Datierung; تاریخ گُذارى
Dativ; حالَت ِ مَفعول ِ غِیر ِ صَریح، مَفعول بِواسِطه
- Dativform: alle haben ihr geholfen; هَمِگى دَر حَقِش کُمَک کَردَند
Dattel; خُرما، رُطَب
Dattelpalme; نَخل
Datum; تاریخ
- Datum: 15.5.1995; تاریخ: ۱۵ـ ۵ ـ ۱۹۹۵
- neueren Datums; قَریب اُلعَصر
Dauer; طول، َدوام، مُدَت
- für die Dauer von ...;  ... ِ بَراى ِ مُدَت
- von Dauer; مُداوِم، با دَوام
- das hat keine Dauer; این دَوام نِمى آوَرَد
- unsere Beziehung wäre nicht von langer Dauer; رابِطهٔ ما دَوام نِمی آوَرد
Daueraufenthalt; اِقامَت ِ دائِمى
Dauerauftrag; اِختیار به بانک دَر بَرداشت و واریز ِ حِساب ِ بانکى
dauerhaft; دائِمى، پایدار، اُستُوار، قابِل ِ دَوام
- dauerhafte Beziehung; پِیوَند ِ دیرپا، ـ با ثَبات
- dauerhafte Arbeit; کار ِ مُستَمِر
Dauerkarte; کارت ِ هَمیشِگى
dauern;
- so lange dauern; به دِرازا کِشیدَن
- über Erwarten dauern; بیش از حَد ِ اِنتِظار به دِرازا کِشیدَن
- das dauert 1 Stunde; چیزى ۱ ساعَت بِطول مى اَنجامَد
- das dauert ja ewig; اینکه یِک عُمر طول میکِشَد
- das dauert ein bißchen; یِک کَمی وَقت می بَرَد
- Begeisterung dauert nur einen Augenblick; لِذَت لَحظه اى بیش نیست
- es dauerte nicht lange bis ...; چیزى نَگُذَشت که، طولى نِمى کِشَد؟ دیرى نگُذَشت، دیرى نَپایید
- dauert es noch lange, bis es fertig ist?; خِیلی مانده تا تَمام شَوَد؟
dauernd; هَمیشه، پِیوَسته
- er läuft dauernd hin und her; او هِى می رَوَد این وَر آن وَر
Dauerschlaf; خواب ِ مَدام
Dauerspannung; کِشِش ِ مُمتَد
Dauervisum; رَوادید ِ دائِمى
Dauerwelle; فِر  شِش ماهه
Dauerzustand; حالَت ِ یِکنَواخت
Daumen; (*:Finger) شَست
- Daumen lutschen; شَست مَکیدَن
- jemandem Daumenschrauben anlegen; شَست ِ کِسى را اِشکِلَک کَردَن، راه ِ نَفَس ِ کِسی را بَستَن
Daunenkissen; بالِش ِ پَر ِ قو، ـ پَر ِ نَرم
davon;
- ich habe nichts davon; حاصِلَم چه میشَوَد
- ich will etwas davon haben; دِلَم می خواهَد سَهمی از آن داشته باشَم
davonkommen;
- das kommt davon; این از آن است
- billig davonkommen; مُفت دَر رَفتَن
- mit heiler Haut davonkommen; ریش را از زیر ِ قِیچى ِ این ماجِرا پَس کِشیدَن، جان ِ سالِم بِدَر بُردَن، نِجات یافتَن
davonmachen (s. -); دَر رَفتَن
davontragen;
- Verletzungen davontragen; جَراحَت بَرداشتَن
davor;
- davor habe ich Angst; از آن میتَرسَم
- davor war ich in Berlin; قَبل از آن دَر بِرلین بودَم
dazu;
- dazu sage ich nichts; دَر این مورِد چیزى نِمى گویَم
dazugehören;
- man muss doch nicht dazugehören; که دیگر اَهل نِمى خواهَد
dazukommen; سَر رِسیدَن، شِرکَت کَردَن، هَمراه شُدَن
- er kommt plötzlich dazu; ناگِهان سَر مى رِسَد
- wie kam es dazu?; چِطور شُده؟
dazustossen;
- zu unserer Gruppe dazustossen; به جَمع ِ ما مُلحَق شُدَن
dazwischenkommen;
- ich hoffe, dass nichts dazwischenkommt; اُمیدوارَم که اِتِفاقى نَیُفتَد
dazwischenschieben (s. -);  .دِخالَت کَردَن، مُداخِله ک.، فُضولى ک
dazwischenspringen; به میان پَریدَن
dazwischenstehen; حائِل بودَن
dazwischenstellen(s. -); حائِل شُدَن
Debatte; (pl.) مُباحِثه، مَبحَث (مُباحِث)، مُجادِله
- das steht nicht zur Debatte; این موضوع مورِد ِ بَحث نیست
debattieren;  .جَر و بَحث کَردَن، مُباحِثه ک.، مُناظِره ک
Debellation (Beendigung eines Krieges durch totale Besetzung des Landes); فُروپاشى
Debut; نَخُستین نَمایِش، قَدَم ِ اَوَل
dechiffrieren; کَشف ِ رَمز کَردَن
Dechiffrierung; کَشف ِ حُروف ِ رَمز
Deck;
- Schiffsdeck; عَرشهٔ کِشتى، طَبَقهٔ ـ
Decke;
- s. nach der Decke strecken; بقَدر ِ گِلیم ِ خود پا دِراز کَردَن
- mit jem. unter einen Decke stecken; با کِسى سَر و سِرى داشتَن، با کِسى ساختن، ـ ساخت و پاخت کَردَن
- Bettdecke; لَحاف
- Pferdedecke; جُل ِ اَسب
- Tischdecke; رومیز
- Wolldecke; پَتو
- Zimmerdecke; سَقف
Deckel; سَرپوش، دَر
- Topfdeckel; دَر ِ دیگ، سَر ِ ـ
decken;
- jem. decken; کِسى را زیر پوشِش قَرار دادَن، ـ پوشانیدَن، ـ عِیب پوش کَردَن
- den Bedarf decken; رَفع ِ نیاز
- das Pferd decken; اَسب را گُشن دادَن
- den Schaden decken; ضَرَررا جُبران دادَن
- den Tisch decken; سُفره را چیدَن
- sein Gehalt deckt gerade die Ausgaben; حُقوقَش خَرج را تَکافو میکُنَد
- gedeckter Tisch mit Gemüse; خوان ِ بُقول
Deckenleuchte; لامپ ِ سَقفى
Deckfarbe; رَنگ ِ پوشِشى
Deckmantel;
- unter dem Deckmantel; تَحت ِ پوشِش
Deckname; نام ِ مُستَعار، اِسم ِ رَمز
Deckschicht; لایه فوقانى، روکِش ِ ـ
Deckung;
- in Deckung gehen; پَناه بُردَن
- Deckung der Ausgaben; تَکافوى ِ مَخارج، اِستِرداد ِ هَزینه
- Deckung der Schulden; پَرداخت ِ دُیون، اَداى ِ دِین
- Deckung des Schadens; جُبران ِ خِسارَت
- Scheck ohne Deckung; چِک بى مَحَل
- Wechsel ohne Deckung; این بَرات مَحَل ندارد
deckungsgleich;
- miteinander deckungsgleich sein; بِهَم جوش خورده هَستَند
Deduktion (*:Induktion); نَتیجه گیرى، اِستِنتاج، بُرهان ِ لِمى، قیاس، اِستِنباط
deduktiv; اِستِنباطی
- auf deduktivem Weg; از راه ِ اِستِنباط
de facto; بِالفِعل، واقِعى
- de facto - Anerkennung; شِناسائى ِ واقِعى
Defaitismus; شِکست پَذیرى، سَرخوردِگى
defekt; مَعیوب، خَراب، ناقِص
defensiv; دِفائى، تَدافُعى
Defensivstrategie; اِستراتژى ِ دِفائى
defilieren; رِژه رفتن، سان دادَن، دِفیله کَردَن
definieren; توضیح دادَن، توصیف کَردَن
- definierte Bedingungen; شَرایِط ِ تَعیین شُده
Definition; اِفادهٔ مَعنى، تَعریف، وَصف، تَحدید ِ مَعنى
definitiv; قَطعى، قاطِِع
Defizit;
- Defizit in der Zahlungsbilanz; کَسر ِ پَرداز ِ پَرداخت
- ein Defizit haben in der Beziehung; دَر رابِطه نَقص داشتَن
Deflation; ضِد ِ تَوَرُم، اِنقِباض ِ پولى
Defloration; سَلب ِ بِکارَت
Deformation; تَغییر ِ شِکل، از شِکل اُفتادَن
- Deformation des Geistes; تَباهى ِ روح
deftig;
- deftige Antwort; جَواب ِ دَندان شِکَن، ـ حِسابى
- deftige Ohrfeige; سیلى ِ آبدار
- deftige Redensweise; چَخماقی حَرف زَدَن
Degen; شَمشیر
Degeneration; فِساد ِ جِنس، اِفساد، اِنحِطاط، زَوال
- Degeneration Schwund (med.); اِستِحاله رَدیه
degeneriert;
- degenerierte Rasse; نِژاد ِ مُنحَط، ـ رو به زَوال
degradieren; کِسى را به خَلع ِ دَرَجه مَحکوم کَردَن
- jem. wurde degradiert; کِسى تَنَزُل ِ رُتبه پِیدا کرد
Degradierung; خَلع ِ دَرَجه
- dienstliche Degradierung; خَلع ِ دَرَجه، تَنَزُل رُتبه
dehnen; کِشیدَن، مُنبَسِط کَردَن
- s. dehnen; مُنبَسِط شُدَن
- gedehnt (z.B. Buchstabe); مُتَمَدِد، کِشیده
- gedehnt (Zeit); دیرَند
Dehnung; اِنبِساط، کِشِش
Deich; سَد، آب بَند
Deichsel; مالبَند، تیر ِ عَرابه
deichseln;
- seine Sache deichseln; خَر ِ خودرا از پُل گُذَراندَن، کار ِ خودرا سَر و صورَت دادَن
Deichselstange; مالبَند
deinetwegen; از بَراى ِ تو، بِخاطِر ِ تو، به هَواى ِ تو
Deismus; دِئیسموس: فَلسَفهٔ آفَرینِش ِ جَهان از خُدا و اِدارهٔ جَبرى ِ تَقدیرى ِ آن از اِنسان، اِعتِماد به وُجود ِ خُدا
de jure; قانونى
Dekade; دَهه
- in den Dekaden; دَر دَهه
Dekadenz; اِنحِطاط، زَوال
Deklamation; شِعر خوانى
- öffentliche Deklamation; دَر مَلاء عام شِعر خواندن
Deklaration; اِعلام، بَیانیه
deklarieren; اِعلام کَردَن
Deklination;
- Deklination der Sonne; زِیغ اَلشَمس
- Deklination eines Wortes; تَصریف، اِنصِراف
deklinieren;
- das Verb deklinieren; فِعل را صَرف کَردَن
Dekolonisation; اِستِعمار زِدائى
Dekolleté; یَقهٔ گُشاده
Dekonzentration; تَمَرکُز زِدائى
Dekor; پیرایه، دِکُر، زینَت
Dekorateur; تَزئین کُنَنده
Dekoration; آرایِش، تَزیین
dekorativ; آرایِشى، مُزَیِن
dekorieren; آرایِش دادَن، تَزیین کَردَن
Dekret; حُکم، فَرمان
Delegation; هَیئَت ِ نِمایندِگان
- Regierungsdelegation; هَیئَت ِ نِمایندِگى ِ دولَت
delegieren;
- Verantwortung delegieren;  .مَسؤلیَت را اِعزام کَردَن، ـ تَفویض ک.،  ـ مُنتَقِل ک
Delegierung;
- Delegierung nach ...; اِعزام به
- Delegierung von Befugnissen; تَفویض ِ اِختیارات، اِنتِقال ِ ـ
delikat;
- das Essen ist delikat; غَذا با مَزه است، ـ خوش طَعَم ـ، ـ خوش مَزه ـ
- die Sache ist delikat; این موضوع خیلی حَساس است
Delikatesse; غَذاى ِ لَذیذ
Delikatessladen; مَغازهٔ مأکولات و تَنَقُلات
Delikt; جُرم، جُنحه، جِنایَت، خَلاف کارى
Delirium; سَرسام، هَزَیان
Delle; تورَفتِگى، گودى
dem; به کِسی
- wie dem auch sein mag; هَر طورى که باشَد
Demagoge; عَوام فَریب
Demagogie; عَوام فَریبى
Demarkationslinie; خَط ِ مَرزى ِ نیروهاى ِ مُتَخاصِم
Dementi; تَکذیب، رَد، اِنکار
dementieren; تَکذیب کَردَن
dementsprechend; بَر طِبق ِ آن، از هَمین قَرار
demgegenüber; دَر مُقابِل ِ آن
demnächst; به زودی
- demnächst, an gleicher Stelle; دَر اَندَک ِ زَمانى ِ هَمینجا
- bis demnächst; مَرحَمَت ِ شُما زیاد
Demobilisierung; رَفع ِ حالَت ِ بَسیج
Demographie; مَردُم نِگارى، جَمعیَت نِگارى
Demokratie; مَردُم سالارى، دِموکراسى
demokratisch; دِموکراتیک
- demokratische Ordnung; نِظام ِ دِموکراتیک
demolieren;  .ویران کَردَن، مُنهَدِم ک
Demolierung; ویرانى، خَرابى، اِنهِدام
Demonstration; تَظاهُرات
demonstrativ;
- demonstrativ brüllen; فَریاد ِ آمِرانه زَدَن
- demonstrativ bleiben sie sitzen; با تَظاهُر از حالَت ِ نِشَست دَر نمیایند
Demonstrativpronomen; ضَمیر ِ اِشاره
demonstrieren; تَظاهُر کَردَن
- sie demonstrieren Einheit; آنها وَحدَت نِشان میدَهَند، ـ تَظاهُر میکُنَند
Demontage; پیاده کَردَن ِ قَطِعات ِ دَستگاه، تَفکیک ِ اَسباب ِ کارخانه
demontieren; بَر داشتَن، اَز بِین بُردَن
- er demontierte ihn; او گورَش را گُم کَرد
demoralisieren; روحیهٔ کِسی را ضَعیف کَردَن  
Demoskopie; نَظَر پُرسى ِ هَمِگانى
Demut; تَواضُع، فُروتَنى، خُضوع، شِکَسته نَفسی
- einen auf Demut machen; شِکَسته نَفسی کَردَن
- Wahre Größe zeigt sich durch Demut; آدَم  از کوچِکی بُزُرگ میشَوَد : خُضوع  و فُروتَنی سَبَب ِ بُزُرگی ِ مَرد شَوَد
demütig; مُتَواضِع، فُروتَن، اُفتاده دِل، شِکَست ِ نَفس
demütigen;
- jem. demütigen;  .تَذلیل کَردَن، تَحقیر ک
- s. vor jem. demütigen; دَر نَزد ِ کِسى مُتَذَلِل شُدَن، ـ فُروتَن ش.، خودرا خوار ک.، ـ به کِسى کوچِک ک.، ـ کوچِکى به کِسى دادَن، ـ سَر فُرود آوَردَن
- s. vor dem Sieger demütigen; دَر مُقابِل ِ فاتح اِظهار ِ خُضوع و خُشوع کَردَن
demütigend; تَحقیر آمیز، توهین آمیز، کوچِک کُنَنده
Demütigung; اِستِخفاف، مَذَلَت
- Gefühl der Demütigung; اِحساس ِ خِفَتى، ـ تَحقیر
dengeln;
- die Sense dengeln; داس ِ دَست ِ دِرازرا با چَکُش صاف و تیز کَردَن
denkbar; قابِل ِ تَصَوُر
denken;
- sie denken über nichts anderes, ausser ...; فِکر و ذِکر نَدارَند مَگَر
- ich mußte an das Geld denken; به صَرافَت ِ پول اُفتادَم
- sie denken nicht bis morgen; مَغزِشان تو دَستِشان است
- man denkt s., dass ...; چِنین مى اِنگارَد که  
- der Mensch denkt, Gott lenkt; از اِنسان حَرِکَت از خُدا بَرِکَت
- denken wir uns, dass ...; گیریم، فَرض کنیم، اَنگار کنیم
- könnte man s. nicht denken; آیا چِنین نِمى تَوان اَنگاشت، ـ خیال کرد
- Zwei Köpfe denken mehr als einer; عَقل قُوَت گیرَد از عَقل دیگر
- erst denken, dann reden; اگر دیر گُفتى گُل گُفتى
- denk nur an ihn; اورا بِنِگَر، ـ به خاطِر داشته باش
- denke daran!; فَراموش نَکُن
- ich denke nicht daran!; اَصلاً فِکرِش را هَم نِمى کُنَم
- daran würde ich nie denken; مَن حَتى فِکر کَردَنِش را فِکر نِمى کُنَم
- nicht mal im Traum habe ich daran gedacht; حَتی فِکر کَردَنِش را فِکر نَکَرده بودَم
- ich habe daran gedacht; فِکرى به سَرَم زَده است
- was hast du dir nur dabei gedacht, dass ...; چه مَرگِت است که
- was denkst du nur?; چه خیالِت است؟
- denk mal darüber nach (popul.); خوب فِکرِشو بِکُنى
- wie er so dasitzt, sieht es aus, als ob er nicht an Schlaf denke; همچون راحَت مینِشینَد که اِنگار خیال ِ خواب نَدارَد
- jeder denkt an sich zuerst; گُربه بَرای ِ رِضای ِ صاحِبِش موش نِمی گیرَد
- nach 20 Jahren denkst du wieder daran, dass du ... bist; تو بَعد از ۲۰ سال به صَرافَت اُفتادى که ... هَستى
Denken (n); فِکر
- Art & Weise des Denkens; ثَبت ِ فِکر
- das ganze Denken & Trachten ist ...; تَقَلاى ِ تو تَقَلاى ِ چیزى بودَن
denkend;
- klar denkend sein; هوشیار بودَن
Denker; آدَم ِ فَکور
denkerisch;
- denkerische Leistung; مَحصول ِ فِکرى، مَنتِقاً، از روى ِ تَعقُل
Denkfähigkeit; قوهٔ مُدرِکه
denkfaul; بى غِیرَت
Denkmal; تَندیسه، یادگارى، مُجَسَمه
Denkschrift; یادداشت نامه، تَزَکُره
denkwürdig; فَراموش نَشُدَنى، پُر خاطِره
Denkzettel;
- jem. einen Denkzettel verpassen; به کِسى گوشمال دادَن
denn; زیرا، چون، لیکِن
- was habe ich denn getan?; مَگر چه کَردِه اَم؟
- es sei denn; مَگر اینکه، غِیر از اینکه، باشه
- ist sie denn hier?; مَگَر (مَگه) او اینجاست؟
- ist so etwas denn möglich?; مَگَر اِمکان دارَد چِنین باشَد؟
