e (Vokal über Konsonant); عَلامَت ِ کَسرَه
effektiv; بَلیغ، مُؤَثِر
- das ist effektiv; این کارگَر است، مُؤَثِر است
- ist nicht sehr effektiv; چَندان اَثَرى نَدارَد
Effektivität; کارآئى، کارآمَدی
- Uneffektivität; ناکارآمَدی
egal; بی عاطِفه
- das ist egal; وِلِلِش، بیخیالَش، بى خیالَش باش، یِکجور است، فَرق نمی کُنَد
egalisieren;  .مُساوى کَردَن، صاف ک
Egel; زالو
- Egel ansetzen; زالو اََنداختَن
Egge; ماله، مِسلَفه، بِتکَن، چَنگک
Ego;
- das Ego des Menschen; نَفس  ِ اِنسان
Egoismus; مَنى، خودخواهى، خودمِحوَرى
egozentrisch; خود مِحوَر، خودمَرکَز، خودپَرَست
ehe;
- ehe die Berge wurden ..; قَبل از آنکه کوها بِوجود آمَدَند
Ehe; زَناشوئى، زَن و شوهَرى، زوجیَت، نِکاح
- eine Ehe eingehen; به نِکاح دَر آمَدَن، اِزدِواج کَردَن
- sie sollte in den Stand der Ehe eintreten mit ..; او بایَد عَقد به فِلان کَس بِشَوَد
- zur Ehe verhelfen, verehelichen; کِسى را به نِکاح دَر آوَردَن، اِزدِواج ِ کِسى را بَر پا کَردَن
- Bande der Ehe knüpfen; به حِبالهٔ نِکاح دَر آوَردَن، قِید ِ زوجیَت را بَستَن
- nach 10- jähriger Ehe; بَعد از دَه سال تأهُل، - اِزدِواج
- Zeitehe; اِزدِواج ِ مُوَقَت، سیغه گِرِفتَن
- Zweckehe; اِزدِواج ِ مِسیار
Ehebrecher; (pl.) مَرد ِ زانى، فاسِق (فُساق)، زِناکار
Ehebrecherin; زَن ِ زانیه، فاسِقه
Ehebruch; زِنا
- Ehebruch begehen; زِنا کَردَن، ـ دادَن
Ehefrau; عِیال، زَن، مَنکوحِه، حَلیله
- ich möchte, dass du mir deine Tochter zur Ehefrau gibst; مى خواهَم دُختَرِت را به هَمسَرى بِمَن بِدَهى
Ehegatte (fem.);  (زوج (زوجه
Eheleute; زَن و شوهَر، مُتأهِلین
ehelich; نِکاحى، اِزدِواجى، حَلالزاده
- eheliche Zerrüttung; بِه هَم خوردِگى ِ زَنا شوئى، از هَم پاشیدِگى ـ
- eheliches Kind; وَلَد اُلصَدِق، وَلَد ِ حَلالزده، فَرزَند ِ مَشروع
Ehelosigkeit; تَجَرُد، عُزوبَت، بى زَنى، بى شوهَرى
ehemalig; سابِق، پیشین، قَبلى
- mein ehemaliger Lehrer; مُعَلِم ِ پیشین ِ مَن، ـ اَسبَق ِ مَن
- die ehemaligen Schüler; شاگِردان ِ سابق ِ مَدرِسه
ehemals;
- ehemals neue Mütze; کُلاه از ریخت اُفتاده
Ehemann; شوهَر، حَلیل
Ehemündigkeit; بُلوغ ِ تَزویجى، ـ نِکاحى
Ehepaar; زوجین، زَن و شوهَر، مُتأهِلین
Ehepartner; شَریک، جُفت، هَمسَر
eher;
- können Sie eher kommen?; آیا مُمکِن است زودتَر بیائید؟
Eherecht; حُقوق ِ نِکاح
Ehering; حَلقهٔ عَروسى
Ehescheidung; طَلاق
Eheschliessende; طَرَفِین ِ عَقد ِ اِزدِواج
Eheschliessung; مُناکَحَت، عَقد ِ نِکاح، عَقدبَندى، تَزویج
Ehestand; حالَت ِ تأهُل
Ehevereinbarung; (zwischen Eltern der Brautleute vor der Hochzeit) بَله بُران، قول و قَرارهاى ِ قَبل از عَروسى بِین ِ خانِواده هاى ِ عَروس و داماد
Ehevermittler; دَلال ِ اِزدِواج
Ehevermittlung; دَلالى ِ اِزدِواج
Ehevertrag; عَقد ِ نِکاح، قَرارداد ِ اِزدِواج، قَبالهٔ نِکاح
ehrabschneidend; موهِن
Ehrabschneider; پاپوش دوز
Ehrabschneiderei; هَتک ِ ناموس
ehrbar;
- ehrbarer Mensch; شَخص ِ مُوَقِر، ـ شَریف، ـ با اَخلاق
- ehrbares Verhalten; رَفتار ِ مُوَقَرانه، ـ مُؤَدَب، ـ قابِل ِ اِحتِرام
Ehrbarkeit; پاکدامَنى، عِفَت
Ehre; اِفتِخار، شَرَف، تَعظیم، مَکرَمَت، اِحتِرام، آبرو
- Ehre erweisen; تَکریم کَردَن
- durch Ihre Anwesenheit erweisen Sie uns die Ehre; با حُضور ِ شُما مارا سَراَفراز می کُنید
- zu Ehren gelangen; سَراَفراز شُدَن، اِحتِرام یافتن، کَسب ِ شَرَف کَردَن
- ich habe die Ehre, von .. empfangen zu werden; به پَذیرا شُدَن ازکِسى شَرَفیاب مى شَوَم
- wann geben Sie uns die Ehre, uns zu besuchen?; کِى اِفتِخار ِ خِدمَت بِما مى دَهید؟
- mit wem habe ich die Ehre, zu sprechen?; مَن با کى مُفتَخِرَم صُحبَت کُنَم؟
- s. selbst die Ehre geben; بَراى ِ بُزُرگ جِلوه دادَن ِ خود
- Verletzung der Ehre; لَطمه زَدَن به شَرافَت
- zu Ehren von; ... ِ بِاِفتخار
- letzte Ehre; آخَرین اِحتِرام
- jem. die letzte Ehre erweisen; آخرین اِحتِرام را دَر بَرابَر ِ کِسى بِجاى آوَردَن، دَر تَشییع ِ جِنازه کِسى شِرکَت کَردَن
- jem. in Ehren halten; از کِسى حِساب بُردَن
- seine (eigene) Ehre bewahren; اِحتِرام ِ خودرا داشتَن، با اَدَب ِ خود اِحتِرام دیگَران را جَلب کَردَن
- sein Andenken in Ehren halten; اِحتِرام ِ اورا نِگاه داشتَن
- die Ehre steht auf dem Spiel; آبرو دَستخوش ِ خَطَر است
- er setzt die Ehre von jem. aufs Spiel; با حِیثیَت ِ کِسى بازى می کُنَد، آبروى ِ کِسى را لَطمه می زَنَد
- Ehre, wem Ehre gebührt; شَرَف از آن ِ کِسى است که شایِستهٔ آن باشَد
- ich habe die Ehre, ..; مُفتَخِرَم که
- danke für die Ehre; مُفتَخَر شُدَم، مُحتَرَم شُدَم
- militärische Ehren; اِحتِرامات ِ نِظامى
ehren; به کِسى اِحتِرام گُذاشتَن، کِسى را سَر اَفراز کَردَن
Ehrenamt; مَقام ِ اِفتِخارى، کار ِ ـ، بیشهٔ مَسلَکى
ehrenamtlich; اِفتِخارى
- ehrenamtlicher Präsident; رَئیس ِ اِفتِخارى
Ehrenbezeugung; ایثار، نیایِش
Ehrenbürger; هَمشَهرى ِ اِفتِخارى
Ehrenbürgerschaft; هَمشَهریگَرى ِ اِفتِخارى
Ehrendoktorwürde; دَرَجهٔ دُکتُراى ِ اِفتِخارى
Ehrengarde; گارد ِ اِفتِخار
- die Ehrengarde abschreiten; از گارد ِ اِفتِخار سان دیدَن
Ehrengast; پیش کِسوَت
Ehrenkleid; خَلَعت
Ehrenplatz; شاهنِشین
ehrenvoll; مُحتَرَمانه، شَریف، آبرومَندانه
Ehrenwort; قول ِ شَرَف
Ehrerbietung; تَعظیم، حُرمَت، اِحتِرام گُذارى
Ehrfurcht; اِحتِرام
ehrfürchtig;
- ehrfürchtig werden lassen; به سَر ِ گَشتِگى اَنداختَن
- ein ehrfürchtiger Mensch; مَرد ِ مُوَقِر مآب
Ehrgefühl; حِس ِ مُباهات، ناموس
- wer erwartet von .. ein Ehrgefühl?; چه کِسى از .. تَوَقُع  ِاین خَصائِل ِ عالیه را دارَد؟
Ehrgeiz; بُلَند پَروازى، غِیرَت، جاه طَلَبى
- er fordert seinen Ehrgeiz heraus; اورا سَر ِغِیرَت می آوَرَد، ـ غِیرَتى مى کُنَد
- er hat keinen Ehrgeiz; اَصلاً بى رَگ است
- er ist voller Ehrgeiz; او با هِمَت است، سَرَش پُر شور است
- mich packte der Ehrgeiz (popul.); رَگ ِ غِیرَتم یه دَفعه به جوش آمَد
ehrgeizig; غِیرَتمَند، جاه طالِب
ehrlich; راستگو بودَن
- ehrlich?; راستى؟، راست مى گوئید؟
- ehrlich!; راستِش
- ehrlich sein;  .واقِعگَرا بودَن، راستگو ب
- ein ehrlicher Mensch; یک شَخص ِ دُرُستکار
- wenn wir ehrlich zugeben, dass ..;اگر دَر واقع مى پَذیریم که
- um ehrlich zu sein, ..; راستِش را بِگویَم، ـ بِخواهید، راست بِگویَم
- um ehrlich zu sein, das gefällt mir überhaupt nicht; راستِش را بِخواهید، چَندان مَرا نَگِرِفت
- Ehrlich währt am längsten; بار ِ کَج به مَنزِل نِمی رِسَد
Ehrlichkeit; راستگوئى، اِخلاص مَنوى
ehrlos;
- ehrloser Mensch; آدَم ِ شَلتاق
- etwas als ehrlos darstellen; چیزى را بى آبرو جِلوه دادَن
Ehrung; بُزُرگداشت، تَجلیل، تَکریم، اِحتِرام
ehrwürdig; بُزُرگوار
- ehrwüdige Dame; زَن ِ مُوَقِر، ـ بُزُرگوار
Ei; تُخم ِ مُرغ
- gekochtes Ei; تُخم ِ مُرغ ِ آب پَز
- weich gekochtes Ei; تُخم ِ مُرغ ِ عَسَلى، - نیم بَند
- faules Ei; تُخم ِ مُرغ ِ گَندیده
- kaum dem Ei entschlüpft, gackern sie schon; آنها غوره نَشُده مَویز می شَوَند
- jem. wie ein rohes Ei behandeln (*: jem. schonen); کِسی را دَریغ نَداشتَن
- Rührei; خاگینه
- Spiegelei; تُخم ِ مُرغ ِ نیمرو
- Weichei; شوشو
Eiablage; تُخمگُذارى
Eiche; دِرَخت ِ بَلوط
Eichelhäher; کَلاغ ِ کاکُلى
eichen; مُدَرِج کَردَن ِ اَسبابهاى ِ اَندازه گیرى، رَسماً اَندازه گِرِفتَن، چیزى را عَیار کَردَن
Eichhörnchen; راسو، سَنجاب، بَزمجه
Eichstrich; عَلامَت ِ تَنظیم و تَطابُق، عَلامَت ِ سَنجِش
Eichung; میزان بَندى، دَرَجه بَندى
Eid; سوگَند
- Eid auf ..; سوگَند به
- Eid abverlangen; سوگَند دادَن
- Eid leisten (*: schwören); .قَسَم خوردَن، سوگَند خ
- er liess ihn einen Eid schwören. dass; اورا قَسَم داد که
- ich erkläre an Eides Statt, ..; با قَسَم اِظهار مى دارَم که 
Eidechse; کَربَس، چِلپاسه، مارمولَک
Eidesbruch; خُلف ِ یَمین، نَقض ِ سوگَند، قَسَم شِکَنى، شِکَست ِ عَهد
eidesstattlich;
- eidesstattliche Erklärung; اِظهار بِقِید ِ قَسَم، سوگَند نامه
Eidotter; زَردهٔ تُخم ِ مُرغ
Eifer; هِمَت، کوشِش ِ تَمام، جِدیَت، جَخ، شور، عَصَبیَت، جوش و خُروش
- im Eifer des Gefechtes; دَر بُحبوحهٔ مُبارِزه، دَر کِشمَکِش
eifern;
- für etwas eifern; به خاطِر ِ چیزى به غِیرَت آمَدَن
Eifersucht; حَسَد، حَسودى، رِشک
eifersüchtig; حَسود، به کِسى رِشک وَرزیدَن، غِبطه خوردَن
eiförmig; بِیضى شِکل
eifrig; ساعى، سَعى دار، غَیور، جِدى، زِبَر و زِرَنگ
- eifrig bei der Sache sein; از جان و دِل کار کَردَن
Eigelb; زَردهٔ تُخم ِ مُرغ
eigen;
- etwas sein eigen nennen; چیزى را دارا بودَن
- das ist sein eigen; این مُختَص ِ اوست
- das soll dein eigen sein; خاص ِ تو باشَد، مال ِ ـ
- sich etwas zu eigen machen; آنقَدر مار خورده اَفعی شُده
- der Schreibstil ist ihm eigen; سَبک ِ نِوِشته هایَش مُختَص بِاوست
- auf eigene Faust; خودسَرانه
- sie haben ihre eigene Veranstaltung; آنها جَلَسهٔ ویژهٔ خودرا دارَند
- in eigener Sache; اِصالَتاً
- er ist sein eigener Herr; آدَم ِ خودِش است، مُختار است، بِاِختیار ِ خود است
Eigenart; تَشَخُص، خُصوصیَت ِ ویژه
eigenartig;
- daran ist nichts eigenartig; هیچ چیز عَجیب نِمى نَمایَد
- das sind aber eigenartige Gedanken; چه فِکرهاى ِ عَجیبى که نَکَرده بود
Eigenartigkeit; غَرابَت
Eigenbrödler; تَکرو، کِنارگیر
Eigengewicht; وَزن ِ حَقیقى
Eigeninitiative; اِبتِکار ِ شَخصى
Eigenlob; مَنى، مَن مَنى، خود سِتائى، فَخریه، فَخر به خود
eigenmächtig; خود سَرانه، دِلبِخاه، خود رأى
Eigennutz; غَرَض، نَفع ِ شَخصى
Eigenprägung; اِصالَت ِ وُجود
Eigenschaft;
- Eigenschaft (des Menschen); (pl.) ماهیَت، خاصیَت (خَصائِص)، صِفَت (صِفات)، خو و خِصلَت
- in amtlicher Eigenschaft; دَر سِمَت ِ رَسمى
- in der Eigenschaft als; به مَنزِلهٔ .. بودَن، با تَظاهُر به
- hervorragende Eigenschaften; مَعالى
- chemische Eigenschaften; خواص ِ شیمیائى
- Eigenschaften Gottes; اَسامى و صِفات ِ اِلَهى
Eigensinn; خود کامى، خودسَرى، لَجاجَت
eigensinnig; کَله شَق، یک دَنده، از روى لَجاجَت، لَجباز، بَد قِلِق
- eigensinnig an etwas festhalten; مُصِرانه به چیزى مُقَیِد بودَن
eigenständig; مُتَقِل، خود مُختار
- eigenständiges Mittel; وَسیله بَرا
eigentlich;
- das eigentliche Problem ist ..; مُشکِل ِ اَصلى این است
- wo leben wir eigentlich?; کُجا داریم زِندِگى میکُنیم؟، دَر واقِع کُجا ـ
- was soll ich eigentlich sagen? (popul.); آخه چى بِگَم؟
- was ist eigentlich los?; مَگر چه شُده؟
- was weisst du eigentlich? (popul.); پَس چى چى را میدونى؟
Eigentum; مِلکیَت، مایَملَک، دارائى
- privates Eigentum; مُلک ِ خاص، ـ شَخصى
- das ist mein Eigentum; این مال ِ مَن است، این مُختَص بِمَن است
- Gemeineigentum (nicht veräusserbar); مُشاع
Eigentümer; صاحِب، مالِک، اَرباب
- Miteigentümer; شَریک اُلمِلک، مالِک ِ مُشاع
Eigentumsverantwortung; مَسئولیَت ناشى از مالِکیَت
Eigentumsverhältnisse; وَضع ِ مالِکیَت
Eigentumsvorbehalt; تَحَفُظ ِ مِلک فُروخته شُده تا پَرداخت ِ بَهاى ِ آن، دَستگَردان
eigenwillig; خود سَرانه، خود کام
- mit dieser eigenwilligen Hose; با آن چَموش ِ شَلوار
eignen;
- s. als Leiter eignen; ساخت ِ یک رَهبَررا داشتَن، بدَرد ِ رَهبَر خوردَن
- das s. nicht für den Film eignet; که به کار ِ سینِما نِمى آیَد
Eignung; قابِلیت، تَوانائی
- Eignung haben;  .مُناسِب بودَن، لیاقَت داشتَن، تَوانائى د
Eilbote; چاپار، چَپَر
Eilbrief; نامهٔ فورى
Eile; تَعجیل، عَجَله، شِتاب، تُندى
- in Eile; با دَستپاچِگى
- zur Eile anspornen; کِسى را شِتابانیدَن
- Eile mit Weile; دیر آى و دُرُست آى
- mit gebotener Eile; با عَجَلهٔ لازِم
eilen;
- dahineilen; پوئیدَن، دَویدَن
- zu etwas eilen; به طَرَف ِ چیزى عَجَله کَردَن
- es eilt; ضَرورى است، فورى است
- beeile dich; عَجَله کُن، زود باش
- er eilt dahin; باد به پایَش نِمی رِسَد
eilig; به تَعجیل، با عَجَله، پُردو، شِتابانه
- eilig jem. unterbrechen; شِتابزَده حَرف ِ کِسى را قَطع کَردَن
Eilschritt;
- im Eilschritt gehen; پاتُند کَردَن
Eiltransport; بارکِشى ِ تُند
Eilzustellung; تَحویل ِ فورى
Eimer; (dalw) سَطل، دَلو
- alles ist im Eimer; خُمه اَش هَدَر شُد
- Ledereimer; دُولچهٔ چَرمی
- Mülleimer; سَطل ِ آشغال
ein; یِک
- ein Zehntel; یِک بَر دَه، یِک دَهُم
einander;
- einander nicht belügen; به هم دُروغ نَگُفتَن، یِکدیگَررا فَریب ندادَن، هَمدیگررا ـ
einarbeiten;
- ich muss mich erst einarbeiten; اَوَل باید به کار وارِد شَوَم، ـ خودَم را به کار وارِد کُنَم
einäschern;
- Stadt einäschern; شَهررا به آتَش کِشیدَن
- Toten einäschern; جَسَد را سوزاندَن
Einäscherung; سوزاندَن ِ نَعش، تَبدیل به خاکِستَر
einatmen (*: atmen); نَفَس کِشیدَن
- Geruch einatmen;  تَنَسُم کَردَن
Einatmung; شَهیق، نَفَس کِشى، تَنَفُس
Einbahnstrasse; خیابان ِ یِکطَرَفه
einbalsamieren; حَنوط کَردَن، مومیائى ک
Einband; پوشه، جِلد، شیرازه
einbauen (z.B.: Möbelstück); نَصب کَردَن
- einbauen (Thema); سَوار کَردَن
Einbaumöbel; مُبلهاى ِ پیش ساخته، ـ تو دیوارى
einbehalten;
- als Pfand einbehalten; بِعُنوان ِ گِرو نِگاه داشتَن
einberufen;
- Sitzung einberufen;  .جَلَسه را اِنعِقاد کَردَن، بَراى ِ تَشکیل ِ جَلَسه دَعوَت ک
- zum Militärdienst einberufen; به خِدمَت ِ نِظام فَرا خواندَن
Einberufung;
- Einberufung des Parlamentes;  .فُراخواندَن به اَجلاس ِ پارلِمان، مَجلِس را اِنعقاد ک.، ـ اِحضار ک
Einberufungsbefehl; فَرمان ِ اِحضار بِخِدمَت ِ نِظام
Einberufungskommission; کمیسیون ِ سَر باز گیرى
einbeziehen;
- jem. in die Arbeit einbeziehen; کِسى را به کار گِرِفتَن
- jem. in eine Sache einbeziehen; لِنگ و پاچهٔ کِسى را به میان کِشیدَن
- in die Untersuchung von ... einbeziehen; دَر مُعایِنهٔ .. شامِل کَردَن
- die Wissenschaft von .. bezieht mehrere Zweige ein; عِلم چَند شُعبه دَر بَر دارَد
- betonen, alle .. einzubeziehen; بَر به کارگیرى کُلى  ِ.. تأکید مى کُنَد
einbeziehend; شُمول، شامِل
Einbeziehung;
- mit Einbeziehung von.. ; ... ِ با اِشتِمال ِ، با تَضمُن ِ، به اِنضِمام
einbiegen;
- in die Strasse einbiegen; به خیابان پیچیدَن
einbilden;
- s. auf seinen Reichtum etwas einbilden; به ثِروَت ِ خود نازیدَن، ـ مَغرور بودَن، دَر بَرابَر ِ - فَخر فُروشی کَردَن
- was bildest du dir ein?; چه خیالهائى دَر دَماغ دارى؟
- man bildet s. ein, dass ..;  .چِنین مى اِنگارَد که، تَصَوُر کَردَن، خیال ک
- eingebildet, phantasiert; مُخَیَل، تَخَیُلى، خیالى
- er bildet s. ein, was besonderes zu sein;  او فِکر می‌کند  از دَماغ ِ فیل اُفتاده و اِدِعا می کُنَد پِسَر ِ اُتُر خان ِ رَشتی است
- er ist eingebildet; آدَم ِ گُنده دَماغ، کَله اَش پُر باد است
- er ist auf seine Kraft eingebildet; او مَغرور به زور ِ بازویَش است، او به قُدرَت ِ خود مى نازَد
- der Typ ist eingebildet; یارو باد ِ باروت دارَد
- eingebildete Furcht; هَراس ِ موهوم، تَرس ِ خیالى
Einbildung;
- Einbildung, Phantasie; تَوَهُم، خیال، مُخَیَله، وَهم
- Einbildung, Stolz; باد و دَم، غُرور، تَکَبُر
einbinden;
- Buch einbinden;  .تَجلید کَردَن، جِلد ک
- in Leder einbinden; جِلد ِ چیزى را چَرم گِرِفتَن
- jem. in die Arbeit einbinden; دَست ِ کِسى را تو کار بَند کَردَن
Einblick;
- Einblick (in eine Sache); نِگاه، دَرون بینى، بینِش، اِطِلاع
- Einblick haben (z.B. in die Landschaft); چِشم اَنداز داشتَن دَر مَنظَره
- Einblick haben in; دَرون نِگَرى داشتَن از
einbrechen;
- in ein Haus einbrechen; خانه کِسى را سِرقَت کَردَن
- in einer Bank einbrechen; به بانک دَستبُرد زَدَن
- sie sind bei uns eingebrochen; خانهٔ مارا دَستبُرد زَدَند
- bei uns ist eingebrochen worden; به خانهٔ ما سِرقَت شُد
- wie oft hast du eingebrochen?; چَند بار سِرقَت کَردى؟
- sie sind im Eis eingebrochen; یَخ شِکَست و فُرو رَفتَند
Einbrecher; دُزد، سارِق
einbringen;
- Gesetzesvorlage einbringen; طَرح ِ قانونى را اِرائه کَردَن
- Ernte einbringen; مَحصول را جَمع کَردَن
- die Felder bringen nichts mehr ein; مَزرَعِه ها از بَهره دَهى مى اُفتَند، ـ ثَمَر نِمى آوَرَند
- was bringt es mir ein?; چه حاصِلَم مى شَوَد؟
- Mensch, der s. mit einbringt; آدَم ِ ذى نَفع
- Einbringen einer Forderung ist nicht leicht; این طَلَب سَهل اُلوُصول نیست
- Einbringen eines Gesetzes; طَرح ِ لایِحه
- Einbringung der Ernte; بَرداشت ِ مَحصول
einbrocken;
- s. etwas einbrocken; آتَش بَراى ِ خود پُختَن
- die Suppe, die du dir einbrockst, musst du auch auslöffeln; چون عَسَل خوردى نَیامَد تَب بِغِیر، مُزد ِ روز ِ تو نَیامَد شَب بِغِیر
- Sie haben uns da was eingebrockt; دَست و پاى ِ مارا حِسابى توى پوست ِ گِردو گُذاشتید
Einbruch; دُزدى، سِرقَت، خانه بُرى
- Einbruch (geolog.); گُسِل، فُروریختِگى، شِکافتِگى
- nach Einbruch der Nacht; بَعد از غُروب، ـ آفتاب، شَباهَنگام
Einbuchtung; فُرو رَفتِگى
einbuddeln; چال کَردَن
einbürgern; حَق ِ تابِعیَت دادَن
Einbürgerung; قَبول ِ تابِعیَت
Einbürgerungsverfahren; تَشریفات ِ اَعطاى ِ تابِعیَت
Einbusse; تَلَف، لَطمه
einbüssen;  .مَحروم شُدَن، فاقِد ِ چیزى ش
- Stimmen einbüssen; آراء را از دَست دادَن
- Vertrauen einbüssen; از اِعتِبار اُفتادَن
eindämmen; جِلوگیرى کَردَن
- das Wasser eindämmen bei Hochwasser; جِلوى ِ آب ِ هَرز را گِرِفتَن
eindecken;
- du deckst mich nur mit Arbeit ein; تو هَم واسهٔ مَن هَمَش کار دُرُست می کُنی
eindeutig;
- eindeutige Antwort; جَواب ِ قاطِع، ـ واضِح، ـ روشَن، ـ صَریح
Eindeutigkeit; یِک جَهَت، صَراحَت
eindicken (Saft, u.ä.);  .مَشت کَردَن، غَلیظ ک
eindringen;
- in eine Sache eindringen; چیزى را غوررَسى کَردَن، دَر چیزى فُرو رَفتَن، نُفوذ کَردَن
- in das Haus von jem. eindringen; به خانهٔ کِسى هُجوم بُردَن
- auf jem. eindringen; به کِسى اِصرار کَردَن، کِسى را اِلحاح ک.، بَر کِسى فِشار آوَردَن
- Feuchtigkeit dringt durch das Dach ein; رُطوبَت از راه ِ سَقف نَشت می کُنَد
Eindringen; نُفوذ، وُرود، دُخول
eindringlich; مُصِرانه، صَریحاً
Eindringling; کَلاش، سَرخَر، مُتَجاوِز
Eindruck; (pl.) اَثَر (آثار)، تأثیر
- Eindruck hinterlassen; تأثیر داشتَن
- welchen Eindruck haben Sie?; شُما چه نَظَرى دارید؟
- den Eindruck haben, dass; اِنگار، به نَظَر مى رِسَد که
- ich möchte nicht den Eindruck erwecken, dass; نِمى خواهَم این را دَر اِذهان رَواج دَهَم که
- was er sagt, macht Eindruck auf ..; حَرفِش دَر فِلان کَس مى گیرَد
- den Eindruck, den seine Arbeit macht, überprüfen; شَم ِ عَمَلِش را مى آزمایَد
- unser Reden muss immer Eindruck machen; حَرف ِ ما بایَد با لِفت و لُعاب باشَد
eindrucken;
