Saal (m); سالُن
sammeln; گِرد آوَردَن، جَمع کَردَن، جَمع آوَرى ک
- die Menschen sammeln, um ...; اِنسانهارا گِرد آوَردَن تا
- Geld sammeln; پول جَمع کَردَن
Sammelnummer (f) (Telefon); شُماره جامِع
Sammelsurium (n);
- seine Ideen sind ein Sammelsurium von ...; عَقايِدِش تَرکيب دَر هَم و بَرهَمى است از
Sammler (m); مَجموعه دار
Sammlung (f);
- (literarische) Sammlung; مَجموعه
- Gesetzessammlung; شَريَعت مَُدَوِّن، مَجموعه قَوانين
Samowar (m); سَماوَر
Samstag (m); شَنبه
samt; با، به اِتِفاق ِ
- samt dem Volk; با تَمامى ِ قوم
Samt (m); مَخمَل
samtig; مَخمَل نَما
sämtlich; جَميع
Samtsessel (m); صَندَلى ِ مَخمَلى
Sanatorium; آسايِشگاه
Sand;
- der Hof muss mit Sand bedeckt werden; مُحَوَطه بايَد شِن ريزى شَوَد
- Feinsand; ماسه
- Flugsand; ريگ ِ رَوان
- Grobsand; ريگ، شِن
- Wüstensand; ماسة کَوير
Sandale; صَندَل
Sandalette; گيوه
Sandburg;
- Sandburg bauen; ماسه بازي کَردَن
sandig; شِنى
Sandstein; سَنگ ِ شِنى
sandstrahlen; شِن باران کَردَن، ماسه پاشيدَن، ماسه پاشى کَردَن
Sandsturm; خاک باد، شِنباد
Sandwich; ساندويچ
sanft; مُلايِم، حَليم، فُروتَن، آرام، لَطيف
- sanfte, liebevolle Mutter; مادَر ِ نازِنين
Sänfte; کَجاوه، تَخت ِ رَوان
Sanftmut; مُلايَمَت، خوش خُلقى، حِلم
sanftmütig; حَليم، مُلايِم
- sanftmütiger Mensch; (pl.)  (حَليم (حَليمان
Sänger; خانَنده
Sanguiniker; آدَم ِ دَمَوى
Sanierung; بازسازى، بِهسازى، اِحيا، تَرميم
- Stadtsanierung; نوسازى ِ شَهرى
Sanitärartikel; لَوازِم ِ بِهداشتى
Sanktion; جَرايِم، تَحريم
- Sanktion aufheben; رَفع ِ تَحريم کَردَن
- Sanktion verhängen über ...; کِسى را تَحريم کَردَن
Sanktionsdrohung; تَهديد به تَحريم
Saphir; ياقوت ِ کَبود
Sardelle; ماهى ِ کولى
Sardine; سَماريس، ساردين
Sarg; (pl.)  (تابوت (تَوابيت
Sarkasmus; بَذله گوئى، طَعنه
sarkastisch; طَعنه آميز
- sarkastisch sein; شَماتَت کَردَن
- sarkastische Antwort; پاسُخ ِ هَجوآميزى، ـ طَعنه آميز
- sarkastische Bemerkungen; لُغَز خواندَن
Sassaniden; ساسانيان
Satellit; سَفينة فَضاء، ماهواره
Satellitenschüssel; بُشقاب ِ مَهواره
Satellitenstaat; دولَت ِ تابِعه
Satin; دَبيت
Satire; هَجو
satt; سير
- sie essen s. satt; آنها سير مى خورَند
- das habe ich satt; مَن از اين چيز بيزار شُدَم
- s. am Anblick von .. satt sehen; از ديدَن ِ چيزى سير شُدَن
Sattel; زين
- Sattel & Zaumzeug ; زين و بَرگ
- Fahrradsattel; زين ِ دو چَرخه
satteln; زين کَردَن
Satteltasche; خورجين
sättigen; سير کَردَن
- sättigen (chemische Lösung); اِشباع کَردَن
sättigend (Essen); مُغَذا
Sättigung; اِشباع
Sättigungsdruck; فِشار ِ گاز ِ اِشباع شُده
Sattler; سَراج
Saturn; زُحَل
Satz; جُمله
- Satzfüllungen, Worthülsen; حَشو ِ زائِد
Satzbau; تَرکيب ِ جُمله، جُمله بَندى
Satzteil; جُزو ِ جُمله
Satzung; آئين نامه، اَساس نامه
- Parteisatzung; اساسنامة حِزب، مَرامنامة حِزب
Sau; خوک ِ ماده
sauber; پاکيزه، تَميز
- bleib sauber; دَر ِ ديزى باز است حَياى ِ گُربه کُجا رَفته است
Sauberkeit; تَميزى، نِظافَت
Saubermann; نِظافَتچى
säubern; تَميز کَردَن
Säuberung; تَصفيه
- politische Säuberung; تَصفية سياسى
Sauce; سُس، آب ِ گوشت
- Gemüsesauce; خورِش
Saudiarabien; عَرَبِستان ِ سُعودى
sauer; تُرش
- er war echt sauer; حِسابى عَصَبانى بود، او دَمَغ شُد
- er war auf jem. sauer; او از کِسى دِلگير بود، - قَهرِش گِرِفت، ـ لَجِش گِرِفت، اوقاتَش بابَت ِ .. تَلخ شُد
- eine saure Miene machen; رو تُرش کَردَن، چِهره عَبوس ک
- mit saurer Miene; مِثل ِ بُرج ِ زَهر ِ مار
- jem. saures geben; اگَر ... با مُشت حال ِ کِسی را جا آوَردَن
Sauerampfer; تُرشَک، حُماض
säuerlich; تُرش مَزه
- säuerlicher Geruch; بوی ِ تُرشيده
Sauerstoff; اُکسيژِن
Sauerstoffzelt; چادُر ِ اُکسيژِن
Sauerteig; خَمير ِ تُرش، مايه خَمير
Säufer; جام باز، دُرد کِش، شارِب، خَراباتى
saugen; (präs.) مَکيدَن (مى ميکَد)، مَص کَردَن
- aufsaugen; نَشف کَردَن
säugen; شير دادَن
Sauger; پِستانَک
Säugetier; حِيوان ِ پِستاندار
Saugkraft; نيرو با فِشار ِ مَنفى
Säugling; طِفل ِ شيرخواره، شير خوار
Säuglingsalter; طُفوليَت
Saugnapf; بادکِش، آلَت ِ مَکَنده
Saugpumpe; پُمپ ِ مَکَنده
Saugrohr; لولة مَکِش
Säule; (pl.) جِرز، رُکن (اَرکان)، سُتون
Säulenhalle; دِهليز
Saum; لَبه، سِجاف
säumen;
- säumen, umnähen; دوخت گِرِفتَن، لَبه دار کَردَن
- säumen, zögern; تأمُل کَردَن، به تأخير اَنداختَن
- Einsäumen; لَب دوزى
säumig; مُساحِمه کارانه، پُشت ِ گوش اَنداز
- säumiger Schuldner; بِدِهکار ِ بَدبِده
saumselig; کاهِل
Saumseligkeit; اَهمال کارى، پُشت ِ گوش اَندازى
Sauna; سونا، هَمام ِ بُخار
Säure; اَسيد
Saus;
- er lebt in Saus & Braus; عِيش و عِشرَت مى کُنَد، زِندِگى اش بى بَند و بار است
sausen;
- von hier nach da sausen; از اينجا به آنجا شِتافتَن
- etwas sausen lassen; از چيزى صَرف ِ نَظَر کَردَن
- lass die Sache sausen; دور ِ آن کاررا خَط بِکِش
Saxophon; ساکسيفون
Scanner;  (اِسکِنِر، پوِيشگَر (وَسيله‌ای بَرای ِ تَصويربَرداری
- Ganzkörperscanner; اسکنر ِ بَدَن نَما
schaben; تَراشيدَن
Schabernack; شوخي
- Schabernack treiben; شوخي کَردَن
schäbig; کُهنه، ژِنده
Schablone; شابلون، اُلگو
Schach; شَطرَنج
- Schach dem König; کيش دادَن
- eine Partie Schach; يِک دَست ِ بازى ِ شَطرَنج
schachern; چيزى را با چَک و چانه از کِسى گِرِفتَن
Schachfigur; مُهرة شَطرَنج
- Bauer; پياده
- Turm; رُخ
- Springer; اَسب
- Läufer; فيل
- Dame; وِزير
- König; شاه
schachmatt; کيش و مات
- jem. schachmatt setzen; کِسى را از پاى دَر آوَردَن
Schachtel; جَعبه
Schachtelhalm; دُم ِ اَسبيان
schade; دَريغا، حِيف، اَفسوس
- das ist echt schade; حِيف ِ حِيف است
- schade, dass ...; حِيف که
- wo du es schade findest, dass ...; که حِيفَت مى آيَد که
Schädel; جَمجَمه، کاسة سَر، آهيانه
- jem. den Schädel einschlagen; دَک و دَندۀ کِسي را خُرد کَردَن
- Dickschädel; کَله شَق
schaden;
- jem. schaden; ضَرَر رِسانيدَن به
- blinder Eifer kann nur schaden; کوشِش ِ حَريصانه زيان بَخش است
- es schadet nicht; زيان نَدارَد، ضَرَر ـ
Schaden (m); ضَرَر، خِسارَت
- Schaden erleiden; ضَرَر کِشيدَن، آسيب ديدَن، صَدَمه د
- Schaden an Menschen & Material zufügen; ضَرَر ِ جانى و مالى رِساندَن، زَيانى به .. رِسيدَن، لَطمه زَدَن
- aus Schaden wird man klug; بَعد از مُردَن ِ سُهراب نوش ِ دارو
- Schäden, die den Menschen die Freiheit vorenthalten; مَضّار که آزادى از مَردُم دَريغ مى دارَند
- körperliche Schäden; ضايِعات ِ جِسمى، گَزَند ِ جِسمى
Schadenersatz; غَرامَت، تاوان، تَلافى، جُبران ِ خِسارَت، رَفع ِ ـ
- jem. muss Schadenersatz leisten; کِسى بايَد جُبران ِ خِسارَت کَردَن، غَرامَت پَرداختَن
Schadenfreude; شَماتَت، زَهرخَند
schadenfroh;
- schadenfroh sein; بَغَلَک زَدَن، حَقود بودَن
chadensdeckung; جُبران ِ خِسارَت
Schadenversicherung; بيمة ضايِعات
schadhaft; ناقِص
schädigen; به کِسى ضَرَر زَدَن
Schädigung; آسيب، ضَرَر
schädlich; ضَرَر دار، مُضِر
- schädliche Auswirkungen; اَثَرات ِ زيان بار، ـ زيان بَخش
- schädlicher Dunst; بُخار ِ رَديه
Schädling; آفَت
Schädlingsbefall; آفَت زَدِگي
Schädlingsbekämpfung; دَفع ِ آفات
Schadstoff; مادة مُضِر، ـ صَمى
Schaf; گوسفَند، ميش
- er ist das schwarze Schaf in der Familie; او گاو ِ پيشانى ِ سِفيد دَر فاميلِش است
- Schäfchen zählen (beim Einschlafen); اَختَر شُمُردَن
Schäfer; چوپان، شَبان
Schäferhund; سَگ ِ گُرگى
schaffen; ايجاد کَردَن، خَلق ک.، آفَريدَن
- was hat er mit .. zu schaffen?; او چه حِساب خورده اى با .. دارَد؟
- mit dir habe ich nichts zu schaffen; اَگَر پُشت ِ گوشَت را ديدى مَرا هم مى بينى
- das macht ihm zu schaffen; چيزى را کَلافه اش مى کُنَد
- diese Idee machte mir zu schaffen; اين ايده مَرا رَنج مى داد
- was ihm am meisten zu schaffen machte, war ...; آنچه بيشتَر از هَمه قَند تو دِلَش آب مى کَرد اين بود که
- er schafft es nicht; از او ساخته نيست، مُوَفَق نِمى شَوَد
- ich habe meine Arbeit nicht geschafft; مَن ماندَم
- aus dem Nichts etwas schaffen; چيزى را از عَدَم بِوُجود آوَردَن، ـ از نيستى به هَستى آوَردَن
- wir schafften es nicht, alle Bestellungen auszuführen; از عُهدة اَنجام ِ آنهَمة سِفارِش بَر نِمى آمَديم
- geschaffen sein; آفرين بوده، خِلقَت شُده
Schaffner; مُباشِر ِ قَطار
Schafsbock; قوچ، گوسفَند ِ نَر
Schaft; ساق، ساقه، تَنه
- Schwertschaft; مُؤَخَر ِ نِيزه
Schakal; شُغال
schal;
- schal, abgestanden; بي مَزه
- schales Bier; آبجوي ِ بي مَزه
Schal (m); شال
Schale; جَمجَمه، کاسه
- Kupferschale; طَشت
- Waagschale; کَفة تَرازو
schälen; پوست کَندَن
Schalk; بَذله گو
Schall; صِدا، صوت، طَنين
- sein Vermögen in Schall & Rauch aufgehen lassen; دارائى ِ خودرا آتَش زَدَن
Schalldämpfer; صِدا خَفِه کُن
schalldicht; ضِد ِ صوت
Schallmauer; ديوار ِ صوتى
Schallplatte; صَفحة گرامافون
Schallquelle; مولِد ِ صوت
schallschluckend; ميرائى صوت
Schalmei; سُرنا
Schaltbild; نَقشة سيم کِشى
schalten;
- schalten & walten bei ..; دَر يِک جائى کيا بيائى کَردَن
- Schalten & Walten; اَمر و نَهى کَردَن
- in den 3. Gang schalten; به دَنده سه زَدَن
Schalter;
- Fahrkartenschalter; باجة فُروش ِ بِليط، ـ گيشة فُروش ِ ـ
- Lichtschalter; کِليد ِ بَرق
Schalthebel; دَستة دَنده
Schaltjahr; سال ِ کَبيسه
Schalttag; اَندَرگاه
Schaltung; اِتِصال
- Parallelschaltung; اِتِصال ِ مُوازى
Scham; شَرم، خِجالَت
schämen (s. -); عار داشتَن، شَرمسار شُدَن، خِجالَت کِشيدَن، مُنفَعِل بودَن
- er schämt s.; اورا عار آيَد، او خِجالَت مى کِشَد
- ich schäme mich; مَن رو سياه هَستَم
- der schämt s. überhaupt nicht mehr; شَرم و حَيا که نَدارَد، حِيا از چِشمهايَش رَفته
- schäme dich nicht ihm gegenüber, weil ...;  ! چيزی نَداری؟ خِجالَت ِ اورا نَبين
- s. wegen etwas schämen; از چيزى شَرمَنده و مَنفَعَل بودَن
Schamgefühl; حِس ِ شَرمزَدِگى
- ohne Schamgefühl sein; آب دَر ديده يا چِشم نَداشتَن،  بي شَرم  بودَن
Schamgegend; جاى ِ عانى، شَرمگاه
schamhaft; شَرمَنده، خَجول
Schamhaftigkeit; چِشم و رو، شَرمَندِگي
Schamhügel; زُهار
schamlos; وَقيح، بى شَرم
Schande; رُسوا، اِفتِضاح، بى آبرو، نَنگ
- Gefühl der Schande; اِحساس ِ خِفَتى
- das ist eine Schande; اِفتِضاح است، قَباحَت دارَد
- zu seiner Schande; بَراى ِ نَنگ آوَردَن ِ او
schänden;  .هَتاکى کَردَن، حَتک ِ ناموس ک
- das Grab schänden; به نَبش ِ قَبر دَست زَدَن
Schänder; هَتاک، مُتَخلِف
schändlich; قَبيح، فَجيع، مَذموم
- schändliches Verbrechen; جِنايَت ِ ناجَوانمَردانه
Schandtat; شَرارَت، رجاسَت، قَباحَت
- Schandtat begehen; شَرارَت بِعَمَل آوَردَن، رجاسَت ـ، قَباحَت ـ
Schändung; هَتک
Schanze; سَکوي ِ پَرِش
- Skischanze; سَکوى ِ پَرِش ِ اِسکى بازى
Schar;
- eine Schar Kinder; يِک گُروه ِ بَچه ها
scharf;
- ein scharf gemachtes Schwert; شَمشير تيز و صِيقَلى شُده
- scharfer Ton; شَديد اُللَحن
- scharfes Essen; غَذاى ِ تُند
- ein scharfer Hund; سَگ ِ دَرَنده
- er hat eine scharfe Zunge; زَبانَش تُند و تيز است
- er ist scharf auf diese Arbeit; او وَسواس ِ کاررا دارَد
- er ist ganz scharf auf Geld; او عاشِق ِ پول است
- er war scharf auf ... (z.B.: auf ein Mädchen);  که او بَرايَش دَندان تيز کَرده بود ...
- warum bist du so scharf darauf?; چِرا دَر اين باره اين هَمه اِصرار مى وَرزى؟
- haarscharf entging ich dem Unfall; حِس مي کُنَم تَصادُف از بيخ ِ گوشَم گُذَشت
Scharfblick; ژَرف بينى، تيزبينى، بَصيرَت، فَطانَت
- mit Scharfblick erfassen; به فَراسَت دَر يافتَن
Schärfe;
- mit der Schärfe des Schwertes; به ضَرب ِ شَمشير، از دَم ِ تيغ
- die Schärfe des Zornes; حِدَت ِ خَشم
schärfen; تيز کَردَن
scharfkantig; لَبه تيز
Scharfmacher; تُندرو
Scharfsinn; قُدرَت ِ دَراکه، تيز هوشى
scharfsinnig; صاحِبِنَظَر، زيرَک، فَطِن
Scharlach; مَخمَلَک
Scharlatan; شَياد
Scharlatanerie; شَيادى
Scharmützel; زَد و خورد ِ مُختَصِر، دَرگيرى
Scharnier; لولا
Schärpe; شال ِ گردن ِ نِظامى، حَمايِل
Scharte; کَنگَره، تورَفتِگى
schartig; دَنده دَنده
scharwenzeln; پُشت ِ کِسی کَردَن
- sie scharwenzeln hinter ... her; او  بَرای ِ ... پَس ِ کون تِلو می دَهَد
Schaschlik; کَباب ِ سيخى، سيخ کَباب
Schatten; سايه
- in den Schatten gestellt von ...; تَحت اُلشُعاع شُده از
- der Baum spendet Schatten; دِرَخت سايه گُستَر است
- Grosse Ereignisse werfen ihren Schatten voraus; سالى که نيکوست از بَهارَش پِيداست
- Schatten werfen über ...; بَر چيزى سايه اَفکَندَن
schattieren; سايه اَنداختَن
schattig; سايه دار
Schatz; گَنج
- Ungenutzte Schätze; آب دَر کوزه و ما تِشنه لَبان مي گَرديم
schätzen;
- etwas zu schätzen wissen; بَر چيزى اَرج نَهادَن، بَراى ِ چيزى اَرزش قائِل بودَن
- das Gute lernt man erst zu schätzen, wenn man es nicht hat; آب ِ خوش بی تِشنِگی ناخوش است
- um die Bücher zu schätzen (Preis); تا کِتابهارا مَظَنه بِزَنَد
- ich schätze ihn sehr; از او حِساب مى بَرَم، اورا اَرج مى گُذارَم
- einschätzen; تَخمين زَدَن
- etwas wertschätzen; چيزى را قَدردانى کَردَن، قَدر ِ چيزى را دانِستَن
Schatzkammer; خَزانه، بِيت اُلمال
Schatzmeister; خَزانه دار، صَندوق دار
Schätzung; تَخمين
schätzungsweise; تَخميناً، تَقريباً
Schau; تَظاهُر
- etwas zur Schau tragen; چيزى را به خَرج دادَن، ـ به نَمايِش گُذاشتَن، ـ به رُخ کِشيدَن
- gute Schau abziehen; مَعَرِکه کَردَن
- das ist alles nur Schau; کُلي هَم اِفاده داره
- mach nicht so eine Schau; اينطور اَطوار نَيا
- du hast eine gute Schau abgezogen; تو که خوب مَعَرِکه کردى
Schauder; تَرس و لَرز
- Kälteschauder; چِندِش
schauderlich;
- schauderlicher Schrei; فَرياد ِ هَراس آور
schaudern;
- es schaudert ihn; او از چيزى چِندِش مى شَوَد
- schaudernde Kälte; سَرمای ِ چِندِش آوَر
- er schauderte vor Kälte; چِندِشِش شُد، از سَرما مى لَرزَد
schauen; (präs.) نِگَرِستَن (مى نِگرَد)، نِگاه کَردَن
- nach etwas schauen; هَواى ِ چيزى را داشتَن، دُنبال ِ چيزى نِگاه کَردَن، سُراغ ِ چيزى را گِرِفتَن، مُراقِب ِ چيزى بودَن
- Warum schaust du mich so von der Seite an?; چِرا چَپ چَپ به مَن نِگاه مى کُنى؟
- kurz bei dir reinschauen; يِک تِک ِ پا هَم مى آيَم به مَنزِلِت، يِک سَري به کِسي زَدَن
- bei jem. vorbeischauen; سَر از کِسى دَر آوَردَن
Schauen (n); نِگاه
Schauer; اِرتِعاش
- ein Schauer läuft mir über den Rücken; لَرزه اى به پُشتَم دَويد، پُشتَم لَرزيد
Schaufel; شِن کِش، خاک اَنداز
Schaufenster; ويترين
Schaukel; تاب، بانوج
- Schiffschaukel; چَرخ و فَلَک
Schaukelbewegung; تَکانهاى ِ گَهواره مانَند
schaukeln; جُنباندَن
- Wiege schaukeln; گَهواره را جُنباندَن
- zwischen 2 Extremen hin- u. herschaukeln; بِين ِ دو حالَت ِ اِفراط و تَفريط نَوَسان کَردَن
- ins Schaukeln kommen (z.B. im Bus); تاب خوردَن
Schaukelpolitik; سياسَت ِ نَوَسانى، ـ اَلله کُلَنگى
Schaukelstuhl; صَندَلى ِ راحَتى ِ تَکان خور
Schaum; کَف
- der Strand ist voller Schaum; ساحِل کَف آلود است
- dem Pferd steht der Schaum auf dem Maul; ليزابۀ کَف ِ سِفيد از دَهَن ِ اَسب جارى است
schäumen; کَف کَردَن، کَفيدَن
schäumend; کَف دار
Schaumgummi; اَبر
Schaumgummimatratze; تُشَک ِ اَبرى
Schaumkelle; کَف گير، کَفچَک
Schaumschlägerei; خالى بَندى
schaurig;
- ein schauriges Lachen; خَندة چِندِش آوَر
Schauspiel; نَمايِش، بازى
Schauspieler; بازى گَر، آکتُر، هُنَر پيشه
- Schauspieler (bei Mysterienspiel); شَبيه خوان
Scheck; چِک ِ بانکى
- Scheck in Bargeld umtauschen; چِک را نَقد کَردَن
Scheckfälschung; جَعل ِ چِک
scheckig; اَبلَق
scheibchenweise; مُتَوَرِق
Scheibe; ديسک، صَفحه، قُرص، پولَک
- eine Scheibe Brot; يِک قُرص ِ نان
- die Frucht in Scheiben schneiden; ميوه را قاچ کَردَن
Scheibenbremse; تُرمُز ِ ديسکى
Scheibenwischer; بَرف پاک کُن
Scheich; شِيخ
Scheide;
- Scheide, Vagina; فَرج، مَهبَل
- Scheide, Hülle; غِلاف
- das Schwert in die Scheide stecken; شَمشير غِلاف کَردَن
scheiden (- s.); طَلاق دادَن
- geschieden; مُطَلَق، طَلاق گرفته
- geschiedene Frau; زَن ِ مُطَلِقه
- geschieden werden; طَلاق گِرِفتَن
Scheidewand; جِداري
- innerhalb der Scheidewand; داخِل ِ جِدارى
Scheideweg; سَر ِ دو راهى
Scheidung; اِطلاق، طَلاق
- die Scheidung einreichen; طَلاق دادَن
Scheidungsprozess; مُحاکِمة طَلاق
Schein;
- Schein, Glanz; تابِش
- den Schein wahren; تَظاهُر کَردَن
Scheinangriff; حَملة کاذِبه، ـ ظاهِرى، ـ مَغلَطه
scheinbar; اِحتِمالاً
- zum scheinbaren Allgemeinwohl; به لَطايِف اُلحيَل
scheinen; دِرَخشيدَن، تابيدَن
- Gruben, in die kein Licht scheint; مَغاکى که نورى بَر آنها نِمى تابَد
- es scheint so, als ob; مِثل ِ اين است که، که اِنگار ِ، به نَظَر مى رِسَد که
- mir schien so, als ..; اَنگاشتَم که
- schien mir wichtig, dass ...; به نَظَرَم لازِم و بِجا آمَد که
- mir scheint es, als wäre es gestern gewesen, dass ..; اِنگارى هَمين ديروز بود که
- mehr scheinen als sein; پُز ِ عالی جيب ِ خالی
Scheingefechte; جَنگ ِ مَغلوطى
scheinheilig; پارسا نَما، مُقَدَس نَما
