Tabak; توتون
Tagesgespräch;
- zum Tagesgespräch werden; نَقل ِ مَجالِس شُدَن
Tagesordnung; (bei Sitzung) دَستور ِ کار، ـ جَلَسه، طَرح ِ بَرنامه
- in die Tagesordnung aufnehmen; دَر دَستور ِ جَلَسه آوَردَن
Tagespreis; نِرخ ِ روز، مَظَنهٔ روز
Tagesration; خَرج ِ يِک روز
Tagessatz; مَبلَغ ِ پَرداختى دَر ازاء ِ يِک روز
Tagesschicht; شیفت ِ روز
täglich; روزانه، هَر روز
tagsüber; دَر طِى ِ روز
Tagträumerei; سوداهای ِ خام
- Tagträumereien nachgehen; سوداهاى ِ خام پُختَن
Tagundnachtgleiche; تَساوى ِ لِیل و نَهار
Tagung; کُنفِرانس، هَمایِش
Taille; کَمَر
Takelage; وَسائِل بَراى ِ اَفراشتَن ِ باد بان
Takt;
- Takt (bei Musik); ریتم، میزان
- Takt, Feingefühl; نِزاکَت، تَحسیس
takten; وَقت گیرى کَردَن
Taktgeber; ضَرب زَن
Taktgefühl;
- ich werde das nötige Taktgefühl aufbringen; مَن نِزاکَت را رَعايَت کُنَم
- Mensch mit Taktgefühl (- ohne -); آدَم با گُذَشت (ـ بى گُذَشت)، آدَم ِ سائِسانه، آدَم با حِس ِ نِزاکَت
Taktiererei; گُمانه زَنى
Tal; دَره
Talent; فَضائِل، قَریحه، اِستِعداد، اَهليَت، قابِليَت
- Talente (biblischer Begriff); قِنطار
talentiert; قَریحه، مُستَعِد
talentlos; بى هُنَر، بى عُرضه
Talfahrt; (finanz.) سِیر ِ نُزولى ِ اِقتِصادى
Talg; شَحم، چَربى
Talgdrüse; غدهٔ چَربى
Talisman; طِلِسم، حِرز
Talkum; طَلق
Talsohle; تَه ِ دَره
- wirtschaftliche Talsohle; رُکود ِ اِقتِصادى
Talweg; خَط اُلقَعر، ژَرفاب
Tamtam; طُمطُراق
Tändeln; (mit anderem Geschlecht) عِشوه، عِشق بازى
Tandem; دو چَرخهٔ پُشت ِ سَر ِ هَم، چَرخهٔ دو تَرکه
- Tandem fahren; دو تَرکه سَوارى کَردَن
Tangente; خَط ِ مُماس
Tangentialkraft; نیروى ِ مُماس
tangierend; مُماسى
Tank;
- Benzintank; باک ِ بِنزین، تانک ِ ـ
- öltank; تانک ِ نَفت، مَخزَن ِ ـ
- Wassertank; مَخزَن ِ آب
Tankdeckel; دَر ِ باک
tanken;
- Kraftstoff tanken; سوخت گیرى کَردَن، بِنزین زَدَن
Tanker; کِشتى ِ نَفت کِش
Tankstelle; پُمپ ِ بِنزین، جایگاه ِ سوخت گیرى
Tanne; دِرَخت ِ کاج
Tannenzapfen; جوز ِ صَنوبَر
Tante;
- Tante (mütterlicherseits); خاله
- Tante (väterlicherseits); عَمه
- Klatschtante; خاله زَنَک
Tantieme; حَق اُلاِمتیاز، بَهرهٔ مالِکانه، رویالتی
Tanz; رَقص
- jem. zum Tanz auffordern; بِشکَن و بالا بَِنداز
tänzeln; قِر ِ کَمَر دادَن، غِر ِ ـ
tanzen; رَقص کَردَن
- tanzen (in Trance); سَماع کَردَن
- nach jem. Pfeife tanzen; به ساز ِ کِسى رَقصیدَن
- tanzt auf allen Hochzeiten; هَم خُرمارا مى خواهَد هَم خُدارا
Tänzer; راقِص
Tapete; کاغَذ ِ دیوارى
Tapetenwechsel; آب به آب شُدَن، سَفَری ِکوتاه یا دِراز کَردَن ِ تَغییر ِ آب و هَوا را، بِهبود یا بیماری بِواسِطهٔ سَفَر پَدید می آيَد، بِهتَر است تا هَوا گَرم نَشُده آب به آب بِشَوی، سَفَر کَردَن به آب و هَوای ِ دیگَر
tapezieren; کاغَذ ِ دیوارى زَدَن
tapfer; جَسور، شُجاع، رَشید
Tapferkeit; شُجاعَت
tapsen; کورانه راه رَفتَن، کورمال ـ
- tapsend zum Tisch gehen; کورمال کورمال به طَرَف ِ میز رَفتَن
Tarantel; رَطیل
Tarif; تَعرِفه
Tarifautonomie; آزادى ِ تَعرِفه
Tarifvertragsparteien; طَرَفِین ِ قَرار داد ِ دَستمُزد
tarnen; مُستَتِر شُدَن، اِستِتار کَردَن
- getarnte Stellung; موضِع ِ مَستور
Tarnung; اِستِتار، کاموفلاژ
Tasche;
- Tasche (Hose, Mantel, u.ä.); جیب
- er griff in die Tasche und holte ...; دَست کَرد تو جیب تا یِه چیزی دَر بیاره
- leere Taschen haben; جیبَش را تار ِ عَنکَبوت گِرِفته است
- Schulterriemen der Tasche; تَسمهٔ کیف
- Aktentasche; کیف
- Provianttasche; توبره
- Tragtasche; خورجین
Taschenbuch; کِتاب ِ جیبى
Taschendieb; جیب بُر
Taschenspieler; شُعبَده باز
Taschentuch; دَستمال ِ بینى
- Stofftaschentuch; دَستمال ِ نَخی
Tasse; فِنجان
- er hat nicht alle Tassen im Schrank; عَقلِش پارسَنگ مى بَرَد
Tastatur;
- Tastatur (Klavier); جا اَنگُشتى
- Tastatur (bei Schreibmaschine); صَفحهٔ حُروف، رَدیف ِ کِلیدها، کیبورد
Taste; تُکمه، کِلید
tasten; لَمس کَردَن
- nach etwas tasten; کورمالى دُنبال ِ چیزى گَشتَن
- ich tastete mich durch die Menge; کورمال از لاى ِ مَردُم گُذَشتَم
Tastsinn; حِس ِ لامِسه
Tat; (pl.) (عَمَل (اَعمال
- in der Tat; (be-l-fel) بِالقُوه، هَمانا، بِالفِعِل
- es ist in der Tat deine Arbeit, ... zu tun; شُغل ِ تو هَمانه بِجا آوَردَن ِ ... است
- gute Tat (relig.); کار ِ ثَواب
- zum Schutz von ... gewaltige Taten tun; دَر مُراقِبَت از ... يَد ِ طولائى داشتَنِ
Tatbestand; موضوع ِ جُرم
tatenlos; غیر فَعال
- tatenlos herumsitzen; عَلاف نِشَستَن
Täter; مُجرِم، مُرتَکِب، مُقصِر
tätig; فَعال
- wir müssen tätig sein; ما بايَد دَست بِکار شَویم
Tätigkeit; فَعاليَت، کار آئى
Tätigkeitsbeschreibung; شَرح ِ وَظايِف
Tätlichkeit; تَجاوُز و ضَرب
Tatort; مَحَل ِ وُقوع ِ جُرم
tätowieren; خالکوبى کَردَن
Tätowierung; خالکوبى
Tatsache; حَقیقَت، واقِعيَت
- vollendete Tatsache; اَمر ِ واقِع، عَمَل ِ اَنجام یافته
- den Tatsachen entsprechend; فى نَفسه
- oben erwähnte Tatsachen; مَراتِب ِ فوق
tatsächlich; فى اُلحَقیقه، واقِعاً، واقِع اینکه، بِراستى
- er ist tatsächlich ...; ... او به راستى
tätscheln; نَوازِش کَردَن
tätschelnd; نَوازِشگِرانه
tattrig; تاتی تاتی
- tattrig daherkommen; تاتی تاتی حَرَکَت کَردَن
Tau;
- Tau, Feuchtigkeit; شَبنَم
- Tau, Seil; طِناب
- mit Tau festmachen; مَهار بَند کَردَن
taub; کَر، صُم
- taub werden (Körperteile); .خواب رَفتَن، کِرِخ شُدَن، بی حِس ش
- taube Nuss; گِردوی ِ پوک
- s. taub stellen; خودرا به نَشِنیدَن زَدَن
- der Lärm macht taub; صِدا گوش را کَر مى کُنَد
Taube; کَبوتَر، کَفتَر، فاخته
Taubenschlag; کَبوتَر خانه، چَخ
taubstumm; (sommon-bokm) گُنگ و کَر، کَر و لال، صُم بُکم
tauchen; غوطه خوردَن، ـ زَدَن، غوطه وَر شُدَن
- abtauchen; .شیرجه رَفتَن، با کَله زیر ِ آب ر
- abtauchen, fliehen; دَر رَفتَن
Tauchen; (n) غوطه، غوص، غَواصى
Taucher; غوطه وَر، غَواص
Taucheranzug; لِباس ِ غَواصى
Tauchlack; لاک ِ غوطه اى
Tauchsieder; گَرمکُن ِ غوطه اى، هیتِر
tauen; آب شُدَن، تابیدَن
Taufe; غُسل ِ تَعمید
taufen; کِسى را غُسل ِ تَعمید دادَن
Täufling; شَخص ِ غُسل ِ تَعمید داده شُده
Taufpate; (- in) (پِدَر ِ تَعمیدى (مادَر ِ ـ
taugen;
- als Leiter taugen; ساخت ِ یک رَهبَررا داشتَن، بدَرد ِ رَهبَر خوردَن
- das taugt nicht für den Film; که به کار ِ سینِما نِمى آيَد
- nichts taugen (Tätigkeit, u.ä.); نابِجا بودَن، تعَریفى نَداشتَن
- die Worte taugen nichts; کَلَمات جُفت و جور نِمی شَوَند
- wozu taugt das?; این به چه کار مى آيَد؟
Taugenichts; لَش، وارَفته، مَگَس پَران، آدَم ِ کَسِل، شَخص ِ بی عُرضه، نُخاله، آدَم ِ ریغو
- du Taugenichts; تَنه لَش
Tauglichkeit; ارزَش، کارآمَد، قابِليَت
- wie ist die Tauglichkeit des Gerätes?; کارآمَد ِ این دَستگاه چیه؟
taumeln; نَوان شُدَن، جُنبیدَن، گیج خوردُن
Taupunkt; نُقطهٔ شَبنَم
Tausch; مُبادِله، مُعاوِضه
täuschen; مُشتَبه کَردَن، گُمراه ک.، مُنحَرِف ک.، گول زَدَن
tauschen;
- Geld gegen Ware tauschen; پول دَر مُقابِل ِ جِنس دادَن
- die Kleidung mit jem. tauschen; لِباس را با کِسى مُعاوِضه کَردَن
- austauschen; .مُبادِله کَردَن، عَوَض ک
Täuschung; مَکر، گُمراهى
- Täuschung (*:Liebe); شِید
Täuschungsmanöver; مانوِر ِ اِنحِرافى
tausend; هِزار
Tausendfüssler; هِزارپا
Tausendsassa; آدَم مِثل ِ دیزی ِ هَر کاره هِزاز کار از او می آيَد
Tauwetter;
- Tauwetter (polit.); جَوّ ِ مُناسِب ِ سیاسى
Tauziehen; کِشمَکِش
taxieren; قِیمَت گُذارى شُدَن
- etwas finanziell taxieren, einschätzen; چیزى را قِیمَت گُذارى کَردَن
- jem. taxieren; کِسی را زُل زَدَن
Teach yourselve; خود آموز
Team; تیم، گُروه
Technik; تِکنیک، طَرز ِ مُهَندِسی، - فَنی
- Bautechnik; مُهَندِسى ِ ساختِمان
Techniker; تِکنیسيِن، فَنمَند
technisch; فَنی، مُهَندِسی
- technische Messung; اَندازه گیرى ِ مُهَندِسى
- Technischer Überwachungsverein; مؤَسِسهٔ مُعايِنهٔ فَنى
- technisches Verfahren; فَن آوَری
- technischer Aufbau (z.B.: eines Gerätes); فَن آوَری ِ ساخت
Technologie; تِکنولوژى، فَن آوَری
- Nachrichtentechnologie; فَن‌آوَری ِ اِرتِباطات
- Informationstechnoöogie; فُن‌آوَری ِ اِطِلاعات
Technologietransfer; انتقال فن‌آوری
Techtelmechtel; عِشقبازى
Tee; چاى
- Tee mit Würfelzucker; چای ِ دیشلِمه
- Beuteltee; خاکهٔ چاى، لیپتون
Teegeschirr; اَسباب ِ چای
Teekanne; قورى
Teenager; جَوان
Teenageralter; صَباوَت
Teer; قِیر
teeren; قِیر اَنداختَن
- geteert; مُقَيَر
Teich; بِرکه
Teig; خَمیر
- Teig einrühren; خَمیر گِرِفتَن
- der Teig geht auf; خَمیر وَر مى آيَد
- Sauerteig; خَمیر ِ تُرش
teigig; خَمیر شُده
- teigiges Brot; نان ِ خَمیر شُده
Teigroller; چوبه، وَردَنه
Teil; بَخش، جُزء، قِسمَت
- Teil, Anteil; نَصیب، سَهیم
- ein Teil der Nacht war vorbei; پاسى از شَب گُذَشت
- einen Teil bekommen; سَهم بُردَن
- Teil des Marktplatzes; راسته بازار، قِسمَت ِ ـ
- zum Teil; تا يِک اَندازه
teilbar; تَقسیم پَذیر، قابِل ِ قِسمَت
Teildrehung; چَرخِش ِ جُزء بِجُزء
teilen; .مُنقَسِم کَردَن، تَقسیم ک.، مُتَفَرِق ک
- teilen durch ...; چیزى را بَر ... تَقسیم کَردَن
- in Stücke teilen; دونیم کَردَن
- das Schwein in zwei Hälften teilen; خوک را شَقه کَردَن
- teile 20 durch 4; بَر ۴ بیست را تَقسیم کُن، بیست را به ۴ تَقسیم کُن
- s. die Kosten teilen; دَر مَخارِج سَهیم شُدَن
- brüderlich teilen; بَرادَری بَرابَری
- die Meinung von jem. teilen; با کِسى هَم عَقیده بودَن
- geteilt werden; .مُنقَسِم شُدَن، تَقسیم ش
- Teile & herrsche; تَفریق اَنداز و حُکومَت کُن
Teiler; مُقَسِم، مَقسوم عَلِیه
teilhaben;
- am Leben der Leute teilhaben; با مردَم دَمساز شُدَن
Teilhaber; شَریک، سَهیم
Teilhaberschaft; تَشارُک، بَهره بَرى
teilhaftig;
- des guten Lebens teilhaftig werden; از زِندِگى ِ خوبى بَرخوردار شُدَن
Teilnahme; اِشتِراک، شِرکَت، مُشارِکَت
teilnahmslos; بى عَلاقه، بى طَمَع، بى هَوا، پَخمه و بى روح
teilnahmsvoll; دِلجو
teilnehmen; شِرکَت کَردَن
- Interessierte werden eingeladen, teilzunehmen; از عَلاقِمَندان به شِرکَت دَعوَت مى شَوَد
Teilnehmer; شِرکَت کُنَنده، شَریک، سَهیم، هَمدَست
- Teilnehmer (bei Trauerzug); مُشايِع
teils;
- teils, teils; بَخشى از این و بَخشى از آن
Teilstreik; اِعتِصاب ِ جُزئى
Teilung; اِنقِسام، تَقسیم
- Teilung der Macht; تَفکیک ِ قُدرَت، مُشارِکَت دَر قُدرَت
teilweise; تا حُدودى
Teilzahlung; پَرداخت ِ قِسطى، قِسطبَندى
Tektonik; ساختِمان شِناسى ِ طَبَقات ِ زَمین
Telefax; نَمابَر، فَکس
Telefon; تِلِفُن
- bleiben Sie am Telefon; گوشى خِدمَتِتان
- Mobiltelefon; تِلِفُن ِ سَیار، مُبایل
Telefonbuch; دَفتَرچهٔ اَسامى ِ مُشتَرِکین ِ تِلِفُن، دَفتَرچهٔ تِلِفُن
Telefonhörer; گوشى ِ تِلِفُن
telefonieren; تِلِفُن کَردَن، زَنگ زَدَن
- beim Telefonieren; دَر حال ِ مُکالِمهٔ تِلِفُنى
telefonisch; تِلِفُنی
- telefonisch eine Pizza bestellen; تِلِفُنی یِک پیتزا سِفارِش دادَن
Telefonüberwachung; شُنود ِ مُکالِمات ِ تِلِفُنی
Telefonzelle; اُتاق ِ تِلِفُن، باجهٔ ـ
Telegramm; تِلِگرام
Telegraphenmast; دَکَل ِ تِلِگراف، تیر ِ ـ
Telekom; اِدارهٔ مُخابِرات
Telex; دور نِویس
Teller; بُشقاب
- Teller, flach; بُشقاب ِ لَب ِ تَخت
- Teller, tief; بُشقاب ِ تو گود
Tempel; مَعبَد
Temperament; مِزاج
- phlegmatisch; بَلغَمى
- sanguinisch; دَمَوى
- melancholisch; سوداوى
- cholerisch; صَفرائى
Temperatur; دَرَجهٔ حَرارَت
tempern; (Metallurgie) نَرم کَردَن
Tempo; سُرعَت
- Tempo, Tempo; پوى پوى، عَجَله کُن، زود باش
Tendenz; گِرايِش، تَمايُل
tendenziell; گِرايِش گِرا
- ein tendenzielles Denken; فِکر ِ گِرايِش گِرا
tendenziös; مُغرِض
- ein tendenziöser Bericht; يِک گُزارِش ِ مُغرِضانه، ـ آراسته، گُزارِش گِرايِش بو دارَد
Tendenzwende; تَغییر ِ جَهَت ِ گِرايِش
tendieren; (präs.) گِرائیدَن (مى گِرايَد)، گِرايِش داشتَن
Tenne; جاى ِ خَرمَن، خَرمَنگاه
Tennis; تِنیس
Tennisspieler; تِنیسوَر
Tenor;
- Tenor (Gesangsstimme); صِداى ِ زیر
- der Tenor einer Sache; فَحوا، جوهَر، مَدلول، مَضمون
- der allgemeine Tenor; گِرايِش ِ عام این است
Teppich; فَرش، قالى
- handgeknüpfter Teppich; فَرش ِ دَستباف
- mit Teppichen ausgelegt; مَفروش با قالیها
- Roter Teppich; پاى اَنداز
- Wollteppich; زیلو، گِلیم
Teppichboden; موکِت
Teppichknüpferei; قالى گِره زَنى
Teppichläufer; پادَرى، زیر اَنداز
Termin; مُهلَت
- Termine der Mietzahlung; موعِد ِ پَرداخت ِ کِرایه
Terminal; تِرمیال، پایانهٔ اُتوبوس
termingemäss; حَسب اُلموعِد، طِبق ِ قَرار
Termite; موریانه
Terpentin; تِربانتین
Terrain; جا، مَحَل
Terrasse; اِیوان، ماهتابى، مَهتابى، تِراس
territorial; اَرضى، قَلَمروى
Territorialgewässer; آبهاى ِ ساحِلى
Territorium; مَملَکَت، قَلَمرو
Terror; تِرور، وَحشت، اِرعاب
terrorisieren; تِرور کَردَن
Test; آزمايِش، آزمون، اِمتِحان، اَروین
- Selbsttest; خود آزمائى
Testament; (pl.) (وَصيَت نامه (وَصایا
testamentarisch; وَصيَتى
Testamentvollstrecker; وَصى، وَصيَت کُنَنده
testen; (präs.) (اِمتِحان کَردَن، آزمايِش ک.، آزمودَن (مى آزمايَد
- testen, was ... weiss; جَهَت ِ آزمون ِ دانِش ِ فِلان
Testperson;
- ich war für ... die Testperson (umg.); مَن موش ِ آزمايِشگاهی ِ ... بودَم
Tetanus; کُزاز
teuer; گِران
- sehr teuer; گِران قِیمَت، گِران بَها
- wie teuer ist das?; قِیمَتَش چَند است
- alles, was uns teuer (i.S. lieb, wertvoll) ist; تَمامى ِ نَفايِس ِ ما
Teuerung; گِرانى
- Teuerung, Dürre; قَحطى
Text; مَتن
- Originaltext; مَتن ِ اَصلى، ـ نَص
- textimmanente Prüfung (literat.); اِمتِحان ِ شَواهِد ِ دَرونى
Textbearbeitung; ویرايِش
Textil-; ـ نَساجى
Textilindustrie; صَنعَت ِ نَساجى
Textilwaren; مَنسوجات
Textverarbeitung; مَتن پَرداز
Textverarbeitungsprogramm; بَرنامهٔ واژه گارى، بَرنامهٔ مَتن پَرداز
Theater; تِأتر، نَمايِش ِ ـ
- Theater machen; جَنگولَک بازى دَر آوَردَن، قیل و قال راه اَنداختَن
- so ein Theater; این هَمه دَنگ و فَنگ
- frommes Theater; لال بازى ِ مُقَدَس
- mach kein Theater und komm!; لِفت و غَلیظَش نَکُن و بیا!، طولِش نَده
theatralisch; تیاترال
Theismus; اِعتِقاد به خُدا
Theke; پیش خوان
Thema;
- Thema (pl.); موضوع (موضوعات)، مَطلَب (مَطالِب)
- war in seinem Leben noch kein Thema; دَر زِندِگى ِ او رِخنه نَکَرده بود
- das Thema wechseln; حَرف توی ِ حَرف آمَدَن، حَرف را کِشیدَن به
- Schüchternheit als Thema; کَمرویی مَقوله ای است که
Theologe; اُستاد ِ اُلَهیات
Theologie; رِشتهٔ اِلَهيَت
theologisch; اِلَهی
- theologische Hochschule; دانِشکَدهٔ اِلَهیات
Theoretiker; تِئوریسيِن
- Theoretiker (i.S. wirklichkeitsfremd); آدَم ِ نِگَره پَرداز، ـ باف، نَظَریه پَرداز
theoretisch; نَظَرى، تئوریک
- theoretische Erkenntnis; دَریافت ِ نَظرى
Theorie; نَظَریه، تِئورى
- Theorie & Praxis; نَظَریه و عَمَل
- in der Theorie alles beherrschen, aber auch nur in der Theorie; آب نِمی بینه وَلی شِناگَر ِ ماهِریه
Therapeut; دَرمان شِناس
therapeutisch; دَرمانى
Therapie; دَرمان
- Therapiezentrum; مَرکَز ِ دَرمانی
- Schmerztherapie; دَرمان ِ دَردها
Thermalquelle; سَرچِشمهٔ آب ِ مَعدَنى
thermisch; حَرارَتى، گَرمائى
Thermometer; گَرماسَنج، دَماسَنج
thermonuklear;
- thermonukleare Waffen; سَلاحهاى ِ هَسته اى ِ حَرارَتى
Thermosflasche; تِرموس، فلاکس، دَمابان
Thermostat; تِرموستات، ناظِم ِ دَرَجهٔ حَرارَت
These; تِز، نَظَریه، فَرضیه
Thorax; تَختهٔ سینه
Thrombose; اِنعِقاد ِ خون در رَگ
Thrombozyt; گِرده هاى ِ خون
Thron; تَخت ِ سَلطَنَت، اَریکه
- auf den Thron bringen; بَر تَحت نِشاندَن
- runter kommen vom Thron; پیاده شو با هَم راه بِرَویم
Thronanwärter; وَليَعهد، شاهزاده
Thronbesteigung; جُلوس، تاجگُذارى
thronen; بَر صَندَلى ِ سَلطَنَتى نِشَستَن
- entthront; شاه ِ مَخلوع
Thronfolger; وارِث ِ تاج و تَخت، وَلیعَهد
Thukydides; تاسیدیدِس
Thunfisch; تون ماهى
Thymian; آویشِن
Tick; ضَعَف، خُل
- einen Tick haben; خُل بودَن
- das ist ein nervöser unheilbarer Tick; این يِك تیك ِ عَصَبی است كه هیچ وَقت دُرُست بِشو نیست
ticken; تیک تاک کَردَن
- entweder du tickst nicht richtig oder ...; یا به سَرِت زَده یا
tief; عَمیق، ژَرف، گود
- tiefe Trauer ergriff alle; اَندوهى ِ ژَرف هَمه را گِرِفت
- im tiefsten Winter; دَر قَعر ِ زِمِستان
- tief liegende Augen; چِشمهاى ِ به گودى نِشَسته
- tief sitzende Traurigkeit; اَندوه ِ خُفته
Tief;
- nach jedem Tief kommt ein Hoch; هَر سَرازيری يِک سَر بالايی داره
Tiefbau; بَناهاى ِ زیرزَمینى
Tiefdruck; فِشار ِ جَوى ِ کَم
Tiefe; عُمق، اَعماق، گودى، ژَرفا
- in der Tiefe des Geistes; دَر ژَرفاى ِ روح
- Tiefe des Seins (kohn-e-...); کنه ذات
Tiefenmessung; عُمق سَنجى
Tiefgang; آب نِشین
Tieflader; تریلِر بَراى ِ بار سَنگین
Tiefziehstahl; فولاد ِ فُروکِشى
Tiegel; بوته
Tiegelschmelzofen; کورهٔ ذوب ِ بوته اى
Tier; (pl.) (جانِوَر، بَهیمه (بَهايِم)، حِیوان (حِیوانات
- ungezähmtes Tier; (pl.) (وَحش (وُحوش
- Nutztiere; دَد و دام
Tierarzt; دام پِزِشک
tierisch;
- tierisch, bestialisch; دَد مَنِشانه، وَحشیانه
- tierischer Typ; اِنسان ِ جانِوَرى
- tierisch s. über etwas hermachen; با سَبُعيَت چیزى را کَردَن
Tierzucht; پَروَرِش ِ بَهیمه، دامدارى
Tiger; بَبر
Tigris; دِجله
- Wirf dein Brot in den Tigris, und Gott wird es dir in Zeiten der Not wiedergeben (i.S.: Hilf dem Armen, Gott wird es dir vergelten); تو نیکى مى کُن و دَر دِجله اَنداز که ایزَد دَر بیابانَت دَهَد باز
tilgen; تَصفیه کَردَن، اَدا کَردَن
- den Betrag von 1 Euro tilgen; اَداى ِ ۱ یورو کَردَن
- getilgt; مَحزوف
Tilgung; اِستِهلاک، تَصفیه، اَداء
Tinte; جوهَر، مُرَکَب
Tintenfass; دَوات، مُرَکَب دان
Tintenfisch; ماهى ِ مُرَکَب
Tintensack; (bei Tintenfisch) غَشاء ِ مُرَکَب
Tip; پیشنَهاد، پِند
- jem. einen Tip geben; پِند دادَن، راهنَمائى کَردَن
tippen;
- tippen, vermuten; حَدس زَدَن
- tippen (auf Schreibmaschine); تایپ کَردَن
- tippen (z.B. Lotto); قُمار بازى کَردَن
Tisch; میز
- gedeckter Tisch; خوان، مائِده، صُفره
- am runden Tisch diskutieren; دور ِ میز ِ گِرد بَحث کَردَن
- jem. über den Tisch ziehen; کِسی را سَر و کیسه کَردَن
- die Sache ist vom Tisch; موضوع حَل شُده
- trotz gedecktem Tisch bleibt der Magen leer; آب دَر کوزه و ما تِشنه لَبان می گَردیم
- Beistelltisch; پیشدَستى
- Freitisch; خوان ِ يَغما
Tischler; نَجار
Tischrede; سُخَنرانى ِ سَر ِ میز ِ غَذا
Tischtennis; پینگ پُنگ
Tischtuch; رومیزى
Titel; (pl.) (مَنصَب (مَناصِب)، لَقَب (اَلقاب
- Titel (bei Zeitung, u.ä.); تیتر، عُنوان
- Verleihung eines Titels; تَلقیب
- Titel ohne Mittel; شام و نَهار هيچى، غَذا نَدارَد بُخورَد پياز مى خورَد اِشتِهايَش باز شُد
- betitelt; مُعَنوَن، عُنوان شُده
Titelblatt; سَر صَفحه
Titelverteidiger; حِفظ کُنَندهٔ مَقام ِ قَهرَمانى
toasten; بِرِشته کَردَن، بِرِشتَن
Toaster; توستِر
Tobak;
- das ist starker Tobak; هَضمَش نِمى شَوَد کَرد
toben; نوفیدَن، داد و قال کَردَن
- er tobt vor Wut; او سَگهار مى شَوَد، از خود بیخود کَردَن
- herumtoben; بِپَر بِپَر کَردَن
Tochter; (pl.) بِنت (بَنات)، دُختَر
Tod; مَرگ، فوت، دَر گُذَشت
- plötzlicher Tod; آجَل ِ مُعَلَق، مَرگ ِ ناگِهانى
- es geht um Leben & Tod; پاى ِ مَرگ و زِندِگى دَر میان است
- jem., der mit dem Tode ringt; مُحتَضِر
- er war am Rande des Todes; چیزى نَمانده بود که از پاى دَر آيَد
- er ist dem Tod von der Schippe gesprungen; خَرِش از پُل گُذَشت
- dem Tod geweiht; آفتاب ِ کِسی به لَب ِ بام رِسیدَن
- meine Seele ist dem Tode nahe; نَفس ِ مَن مُشرِف به موت است
- der Tod kommt aus seinem Versteck und greift nach mir; آجَل از کَمین دَر آيَد که مَنَم
- er starb den Tod eines Märtyrers; به مَرگ ِ يِک شَهید مُرد
- jem. zum Tode verurteilen; کِسى را به مَرگ مَحکوم کَردَن
- s. zu Tode grämen; دِق ِ مَرگ شُدَن
- 40. Tag nach dem Tod; اَربَعِین
Todesanzeige; آگَهى ِ دَرگُذَشت
Todeserklärung; اِعلان ِ مَرگ ِ مَفقود
Todeskampf; دوران ِ اِحتِضار
Todesstoss;
- dem Tier den Todesstoss geben; به حِیوان ضَربهٔ خَلاص زَدَن
Todesstrafe; عُقوبَت ِ اِعدام، کِیفَر ِ مَرگ
Todestag; روز ِ مَمات، روز ِ وَفات
Todesurteil; حُکم ِ اِعدام
Todgeweihter; آجَل بَرگَشته
tödlich; مَرگبار، کُشَنده
- tödliche Dosis; مِقدار ِ داروئى ِ کُشَنده
- jem. ist tödlich verunglückt; کِسى دَر حادِثه دَر گُذَشت
Toilette; (dari) مُستَراح، (تِشناب)، توالِت
- Toilette machen; آرايِش کَردَن
- jedesmal, wenn er zur Toilette muss, soll er es sagen (bei Kindern); هَر وَفت که جیش دارَد بايَد بِگويَد
tolerant; با مُدارا، با گُذَشت، بُردبار
Toleranz; مُدارا، بُردبارى، تَساهُل
- Toleranz üben; تَساهُل داشتَن با ...
