Vabanquespiel; ماجِرا
- s. vom Dienst verabschieden, s. hinausstehlen; از خِدمَت باز اُفتادَن
- dann verabschiedet er s. auf Nimmerwiedersehen; بَعد هَم حاجی حاجی مَکه
- ich habe mich endgültig von der Politik verabschiedet; مَن سیاسَت را بوسیدَم و کِنار گُذاشتَم
verachten; تَحقیر کَردَن
- andere verachten und selbst nichts haben; به هَمه چیز تُف مى اَندازَد اَما زیر ِ پايَش هَم خالى است
- verachtet werden; ذَلیل شُدَن
- Verachte den Geringen nicht; مَیازار موری که دانه کِش است که جان دارَد و جان ِ شیران خوش است
verachtenswert; ذَلیل، ناچیز
verächtlich; مُحَقَر
- einen verächtlichen Blick werfen auf; نِگاه ِ تَحقیرآمیز اَنداختَن به
Verachtung; تَحقیر، حِقارَت
veralbern (jem. -) (i.S.: imitieren); اَدا کَردَن
verallgemeinern; بِطور ِ کُلی گفتَن
verallgemeinert; کُلاً، عُموماًً
Verallgemeinerung; اِطلاق بَر عُموميَت
veraltet; مَنسوخ شُده، از مُد اُفتاده، غِیر ِ اِمروزى
Veranda; اِیوان
veränderlich; مُتَغَيِر
verändern; تَغییر دادَن، عَوَض کَردَن، مُتَحَوِل شُدَن
- s. verändern; تَغییر کَردَن
- nur bei ihm hat sich nichts verändert; او هَنوز هَمون بود که بود، آدَم ِ مُتَفاوِت با گُذَشته نیست
- er hat seine Worte je nach Geschmack verändert; کَلَماتَش را چاشنی ِ صُحبَتهايَش می کَرد
- veränderte Gesellschaft; جامعهٔ مُتَحَوِل
- ihr verändertes Leben bestätigt, ...; زِندِگى ِ دِگرگون شُدهٔ ایشان تَصدیق مى کُنَد
- unverändert; هَمان آش و هَمان کاسه
Veränderung; تَبدیل، تَغییر ِ شِکل، دِگَرگونى
- Veränderung der Verhältnisse; تَحَوُل ِ اوضاع
- ohne geringste Veränderungen; تَغییرات ِ بى کَم و کاست
- Systemveränderung; تَغییر ِ نِظام
- Veränderungen quantitativer & qualitativer Art; تَغییرات ِ کَمى و کِیفى
- Veränderung schafft Besserung; آب به آب شُدَن، سَفَری ِکوتاه یا دِراز کَردَن ِ تَغییر ِ آب و هَوا را، بِهبود یا بیماری بِواسِطهٔ سَفَر پَدید می آيَد، بِهتَر است تا هَوا گَرم نَشُده آب به آب بِشَوی، سَفَر کَردَن به آب و هَوای ِ دیگَر
verängstigen; کِسی را تَرسانیدَن
- verängstigt sein; تَرسان بودَن
verankern; لَنگَر اَنداختَن
veranlagen;
- jem. steuerlich veranlagen; کِسى را مالیات گُذارى کَردَن
veranlagt; مُستَعِد
Veranlagung; سَجیه، اِستِعداد، قابِليَت، مِزاج
- steuerliche Veranlagung; مالیات گُذارى
- er hat eine Veranlagung zur Gewalt; - او گِرایِش به زور و عَبَده دارَد، آمادِگی 
veranlassen;
- jem. zu etwas veranlassen; کِسى را واداشتَن که، ـ به چیزى سوق دادَن، ـ وادار به کارى کَردَن
- jem. zur Bewachung veranlassen; کِسى را به نِگَهبانى وا داشتَن
- wir können Menschen nicht mit Gewalt veranlassen, dass ...; آدَمهارا که نِمى شَوَد بِزور وادارِشان کُنیم که
veranschaulichen; مُصَوَر کَردَن
Veranschaulichung; تَجَسُم، نِمونه
veranschlagen;
- veranschlagen, planen; تَقدیر کَردَن
- den Kurswert veranschlagen; نِرخ را مَظَنه کَردَن
- jetzt wird veranschlagt, dass ...; الان بَرآوَرد مى شَوَد که
- die Kosten einschliesslich Essen werden veranschlagt in Höhe von 10 Euro; هَزینهٔ ... با اِحتِساب ِ خورد و خوراک ۱۰ یورو مى باشَد
veranstalten; بَرگُذار کَردَن
- ein Fest veranstalten; چَشن را بَرگُزار کَردَن، ـ تَرتیب دادَن
- veranstaltet werden; بَر گُزار شُدَن
Veranstalter; بَرگُزار کُنَنده
Veranstaltung; مَراسِم، بَرگُزارى، بَرنامه
- Eröffnungsveranstaltung; مَراسِم ِ اِفتِتاحیه
verantworten; مَسئول بودَن
- s. verantworten vor; مُؤخَذ شُدَن
verantwortlich; مَسئول
- ... sind dafür verantwortlich; بَراى ِ ... مُتَقَبِل مى شَوَند
- wer ist hier verantwortlich?; گَردانَنده کى است؟
- für sich selbst verantwortlich sein; آرد ِ خودرا بیختَن و اَلَک ِ خودرا آویختَن، وَظايِف ِ خودرا اَنجام دادَن و دیگَر به اَنجام دادَن ِ کاری نَبودَن
Verantwortlicher; مُتَصَدى، مَسئول
Verantwortlichkeit; مَسئولیت
Verantwortung; مَسئوليَت، وَبال
- er hatte keine Verantwortung; تَکلیفى به گَردَن نَداشت
- wer übernimmt die Verantwortung?; وَبالَش به گَردَن ِ کیست؟، کى مَسئوليَت را به عُهده مى گیرَد؟
- er nahm nicht die Verantwortung auf s.; او زیر ِ بار نَرَفت، دَست به سیاه و سِفید نَزَد
- ich übernehme die Verantwortung für 1 Million Euro; يِک میلیون یورو را گَردَن مى گیرَم
- die Verantwortung übernehmen; مَسئوليَت را بَر عُهده گِرِفتَن
- je mehr du weißt, desto mehr Verantwortung hast du; دِرَخت بارَش هَرچه بیشتَر میشَوَد سَرَش پائینتَر میشَوَد، هَرکه بامَش بیشتَر بَرفَش بیشتَر
- Eigentumsverantwortung; مَسئولیت ناشى از مالِکيَت
- Einzelverantwortung; مَسئوليَت ِ فَردى
verärgern; رَنجانیدَن، عَصَبانى کَردَن
Verarmung; بِفَقر اُفتادِگى
Verästelung; اِنشِباع
verausgaben;
- ich habe mich verausgabt; چَنته ام خالی شُد
veräussern; از دَست دادَن، فُروختَن
Verb; (pl.)  (فِعِل (اَفعال
- unregelmässige Verben; اَفعال ِ بیقاعِده
verbal; بِطَریق ِ شَفاهى، شَفاهاً
Verband;
- Verband (mediz.); باند
- Verband anlegen;  .باند کَردَن، ضِماد ک.، پانسِمان ک
- paramilitärische Verbände; واحِدهاى ِ شِبهٔ نِظامى
verbannen; تَبعید کَردَن
Verbannung; تَبعید
Verbannungsort; تَبعید گاه
verbarrikadieren (z.B. Tür); دَر را چِفت کَردَن، با زَنجیر بَستَن
verbeissen;
- s. in etwas verbeissen; دَر چیزى پافِشارى کَردَن، ـ مُصِر بودَن
verbergen;  .مَستور کَردَن، قاِئم ک.، پِنهان ک.، غِیب ک.، مَخفى ک
- s. verbergen; مُتَوارى شُدَن
- um die eigenen Gefühle zu verbergen; بَرای ِ کِتمان ِ اِحساسات ِ خود
- was verbirgt er vor uns?; چه کاسه ای  زیر ِ نیم کاسه اَش است
- s. verbergend; مُتَوارى
- verborgen sein;  .نِهُفته بودَن، قائم ب.، نهان ب.، پنهان ب.، مَکنون ب.، مُتَوارى ب
- nichts ist mir verborgen; هیچ سِرى از مَن مَخفى نیست
- diese Sache ist uns noch verborgen; این چیز هَنوز دَر پَرده اى از اِبهام مانده است
- seine verborgenen Gedanken; مَکنون ِ خاطِر ِ او، فِکرهاى ِ مُضَمِر ِ او
- im Buch sind auch Lügen verborgen; دَر کِتاب هَم دُروغ مُستَتِر هَستَند
- das, was verborgen ist; نَهانیها
- aus dem Verborgenen Botschaften empfangen; از عالَم ِ غِیب پِیغامى گِرِفتَن
verbessern; اِصلاح کَردَن، بِهتَر ک.، بِهبود بَخشیدَن، دَستکاری کَردَن
- s. verbessern; بِهبود یافتن، بِهتَر شُدَن
- verbessert werden;  .دَستکاری شُدَن، اِصلاح ش
- die Lage verbessert s.; وَضع بِهبود مى یابَد
Verbesserung;
- Verbesserung der Beziehungen; اِصلاح ِ رَوابِط، تَصحیح ِ ـ
- Verbesserung der Lage; بِهبود ِ وَضع
- durch Verbesserungen umsetzen; چیزى با جَرح و تَعدیل به اِجرا دَر آمَدَن
- das braucht noch eine kleine Verbesserung (i.S.: Korrektur); دَستکاری می خواهَد
verbeugen;  .کُرنِش کَردَن، تَعظیم ک
Verbeugung; تَعظیم
verbeult;
- verbeulte Hose; شَلوار ِ زانو کَرده
- verbeulter Kessel; کِترى ِ غُر شُده
- verbeulte Mütze; کُلاه از ریخت اُفتاده
verbiegen (s. -); خَم شُدَن، خَمیدَن
- verbogen; دَر هَم پیچیده، کَژ و مَژ
verbieten;  .مَنع کَردَن، مَمنوع ک.، تَحریم ک.، قَدِغَن ک
verbietend, abratend; زاجِر
Verbilligung; اَرزانى
verbinden; مُتَصِل کَردَن، وَصل ک.، پِیوَستَن، پِیوَند دادَن، مُلحَق شُدَن
- sie verbinden seine Wunden; زَخمهاى ِ اورا پاسِمان مى کُنَند
- verbunden miteinander; به هَم مُتَصِل هَستَند
- verbunden (z.B. 2 Teile miteinander -); مَقرون
- untrennbar verbunden; مُلتَصِق بودَن
verbindend; مُلصِق
verbindlich;
- ... ist verbindlich; اِلزامى است، مُلزِم است
- verbindliche Schiedsgerichtsbarkeit; داوَرى ِ اِلزام آوَر
Verbindlichkeit;
- er hat eine hohe Verbindlichkeit; آدَم ِ با وَفا، - با تَعَهُد
- Rechtsverbindlichkeit; اِلزام ِ قانونى
Verbindung; رابِطه، اِرتِباط، اِتِصال
- Verbindung, Vereinigung; اِلصاق، اِلحاق
- chemische Verbindung; تَرکیب ِ شیمیائى
- in Verbindung sein mit ...; با ... مُلحَق شُدَن
- etwas in Verbindung bringen mit; مُرتَبِط نِمودَن ِ چیزى به
- jem. mit jem. in Verbindung bringen; کِسى را به کِسى ِ دیگَر مَربوط کَردَن
- jem. ist mit dieser Vereinigung in Verbindung; کِسى به این مَجمَع پِیوَسته است، ـ با ... دَر تَماس است
- etwas wird in direkter Verbindung mit ... untersucht; چیزى دَر راستا با ... بَررِسى مى شَوَد
Verbindungsleute; پِیوَستِگان
Verbindungslinien; خُطوط ِ اِرتِباطیه
Verbindungsstelle; پِیوَندگاه
Verbindungstür; دَر ِ فاصِله
verbissen;
- verbissener Feind; دُشمَن ِ يِکدَنده، ـ سَرسَخت
- verbissenes Gesicht; چِهرهٔ عَبوس
verbittert; سَرخورده
- verbitterte Feindschaft; خُشونَت ِ کینه توز
Verbitterung; عَدَم ِ رِضايَت، تَلخى، کینه توزى
- voll Verbitterung kämpfen; از روى خَشم مُبارِزه کَردَن، ـ کینه ـ
verblassen; (infin.) رَنگ مى پَرَد (پَریدَن)، بى رَنگ شُدَن
- ein verblasstes Bild; تَصویر ِ رَنگ و رو رَفته
- sein Stern ist verblasst; باد ِ او خالی شُده
Verbleib; اِبقاء دَر ...، باز ماندَه
verblenden (z.B. Gebäude); روکِش کَردَن، پوشانیدَن
verblüffen; تَعَجُب کَردَن
- verblüfft sein; واچُرتیدَن، هاج و واج بودَن، خِیره شُدَن
- er ist total verblüfft; دَرجا خُشکِش مى زَنَد، آب دَر دَهانَش خُشک می شَوَد، سَخت حِیرَت زَده گَشت
- das verblüfft mich wirklich; از تَعجُب شاخَم دَر مى آيَد
Verblüffung;
- vor Verblüffung blieb ihnen der Mund offen; اَنگُشت به دَهَن ماندَن
verblühen; پَژمُرده شُدَن
verbluten; از شِدَت ِ خونریزى مُردن
verborgen;
- verborgen sein (*: verbergen);  .نِهُفته بودَن، قائم ب.، نهان ب.، پنهان ب.، مَکنون ب.، مُتَوارى ب
Verbot; نَهى، ناهیه، مَنع، مُمانَعَت، مَمنوعيَت
- Verbot einer Partei; مَنع ِ حِزبى
- Arbeitsverbot; مَنع ِ کار
- Ausreiseverbot (Einreise-); (مَمنوع اُلخُروج  (ـ اُلوُرود
verboten; نَهى، ناهى، مَمنوع
- verbotene Taten; مَنهیات
- er hat es ihm verboten; او این را به او مَنع کرد
- was nicht verboten ist, ist erlaubt; آنچه نَهى نَشُده است جايِز است
Verbrauch; مَصرَف
verbrauchen; مَصرَف کَردَن
Verbraucher; مَصرَف کُنَنده
Verbrauchsgüter; کالاهاى ِ مَصرَفى
verbrechen; مُرتَکِب شُدَن
Verbrechen (n); جِنايَت، بِزه، تَبَهکارى، تَقصیر، جُرم، بِزِهکاری
- schändliches Verbrechen; جِنايَت ِ ناجَوانمَردانه، کَبیره
- sie des Verbrechens anklagen; آنهارا به جُرم اَسناد دادَن، - مَحکوم کَردَن بِدَلیل ِ جُرم
Verbrecher; بِزِهکار، جانى، مُجرِم، تَبَهکار
verbrecherisch; جِنايَت آمیز، جِنائى
- verbrecherische Absicht; قَصد ِ مُجرِمانه
verbreiten;  .مُنتَشِر کَردَن.، شايِع ک.، پَخش ک
- Ansichten verbreiten; نَظَریه را شَرح و بَسط دادَن
- die weitverbreitetste Kritik; رايِج تَرین شِکايَت
- verbreitet sein; شُیوع داشتَن
- das Wissen verbreitet s.; دانِش با حُدود و حَواشى پیش مى رَوَد
Verbreiter; (pl.)  (مُرَوِج ( ـ ین
verbreitern;  .پَهن شُدَن، گُشاد ش.، تَعَریض ش
- die Strasse wird verbreitert; جاده تَعریض مى شَوَد
Verbreitung;
- Verbreitung (von Meinungen, u.ä.); تَرویج، اَشاعه، توسِعه، رَواج
- Verbreitung finden; شُیوع یافتن
verbrennen; سوختَن
- Holz verbrennen; چوب را سوزاندَن
- verbrannt werden; سوزانیده شُدَن
Verbrennung; سوزِش، سوختِگى
Verbrennungsmotor; موتور ِ اِحتِراق
verbrieft;
- verbrieftes Recht; حَق ِ مُصَدِق، ـ ثابِت
verbringen; سَر آوَردَن
- das Leben verbringen; عُمر گُذَراندَن
- die Nacht auf der Strasse verbringen; شَب را دَر خیابان سَر آوَردَن
- seine Zeit im Gebet verbringen; وَقت ِ خودرا صَرف ِ دُعا کَردَن
- mit ... verbringt er seine alten Tage; با ... دوران ِ پیرى گُذَران مى کُنَد
- diesen Tag verbrachte ich mit ...; این روزرا با ... گُذَران کَردَم، ـ صَرف کَردَم، ـ سَر کَردَم
- ... letzte Woche gut verbracht habt; هَفتهٔ گُذَشته بِخوبى گُذَرانده باشید
- wegen Wohnungslosigkeit die Nacht unter der Brücke verbracht; از لامَکانى زیر ِ پُل بیتوته کَرد
verbrüdern; به بَرادَرى گِرِفتَن
Verbrüderung; اَخوَت با دُشمَن
verbuddeln; چال کَردَن
verbunden;
- für die Bestätigung bin ich verbunden; اِعلام ِ وُصول موجِب ِ اِمتِنان خواهَم بود
verbünden (s. -); مُتَحِد شُدَن، مُتَفِق ش.، هَم پِیمان ش
- mit unseren Feinden verbünden; با دُشمَنان هَمداستان مى شَوَند
- verbündete Regierung; دولَت ِ مُتَفِق
Verbundenheit; هَم بَستِگى
Verbündeter; هَم پِیمان
Verbundstahl; فولاد ِ مُرَکَب
verbürgen;
- s. verbürgen für ...; ضَمانَت ِ کِسى را کَردَن
verchromen; آب ِ کروم دادَن، آب ِ کروم کارى کَردَن
Verchromung; آب ِ کروم کارى
Verdacht; مَظنونيَت، اِتِهام، سوء ِ ظَن
- ich habe ihn im Verdacht; مَن به او مَظنون هَستَم
- die Stille ruft in ihm Verdacht hervor; سُکوت اورا مَشکوک مى کُنَد
- Fluchtverdacht; گُمان ِ فَرار
- unter Mordverdacht stehen; مَظنون به قَتل بودَن
verdächtigen; به کِسى سوء ِ ظَن داشتَن
Verdächtiger; آدَم ِ مَظنون
verdächtigt; مَظنون، به اِتِهام
- verdächtige Limousine; اتوموبیل ِ کَذائى
- sie werden von X verdächtigt; آنها از فِلان اَنگ ِ اِتِهام مى خورَند
- wenn uns jem. in dieser Gegend verdächtig vorgekommen wäre; اَگَر به کِسى دَر آن حَوالى بَد گُمان مى شُدیم
verdammen;  .کِسى را لَعَن کَردَن، ـ نِفرین ک
Verdammung; لَعَنَت
verdampfen;  .بُخار شُدَن، تَبخیر ش
verdanken;
- ich verdanke Ihnen ...; مَدیون ِ شُما هَستَم
- jem. etwas zu verdanken haben; از کِسى خورده بُرده داشتَن
verdaulich;
- leicht verdaulich; خوش گُوارا، سَهل اُلهَضم
Verdauung; گُوارِش، هَضم
verdauungfördernd; گُوارَنده
Verdauungsorgane; جَهاز ِ هاضِمه، اَندامهاى ِ گُوارِش
Verdauungsstörung; سوء ِ هاضِمه
Verdeck; کاپوت ِ ماشین، سَقف ِ ـ
verdecken; ماسک کِشیدَن، روکِش کَردَن، پوشاندَن
verdeckt; پِنهان، مَخفى، نِهُفته
verderben;
- jem. die Sache verderben; کار ِ کِسى را خَراب کَردَن، ـ به هَم زَدَن
- damit sie uns den freien Tag verderben; بَراى ِ اینکه روز ِ تَعطیل ِ مارا زَهر مار کُنَند
- es s. mit jem. verderben; با کِسى دَر اُفتادَن
- viele Köche verderben den Brei; آشپَز که دو باشَد آش یا شور مى شَوَد یا بى نَمَک
- die Ware verdirbt; جِنس فاسِد مى شَوَد
- dieser Ort verdirbt dir den Appettit; این مَحَل تو ذوقَت مى زَنَد
Verderben (n);
- Verderben, Vernichtung; زَوال
- Verderben (z.B. von Ware); تَلَف
- jem. ins Verderben führen; با پَنبه سَر ِ کِسی را بُریدَن
verdeutlichen; روشَن کَردَن
- ihre Bemühung wird verdeutlicht; تَلاش ِ آنها به نَقد و بَررِسى گُذاشته مى شَوَد
verdichten; مُتَراکِم کَردَن
Verdichtung; تَراکُم، تَکثیف
Verdichtungsgrad; دَرَجهٔ تَراکُم
verdickt; غَلیظ
Verdickung; تَغلیظ
verdienen; دَرآمَد داشتَن
- wieviel verdienst du?; حُقوقَت چَند است
- s. mühsam Geld verdienen; پول از جوی  ِ آب دَر آوَردَن
- sein eigenes Brot verdienen; نان ِ خودرا دَرآوَردَن
- wir bekommen, was wir verdienen; ما حَقِمان است که سَزاوار ِ ماست، آنکه سَزاوار ِ ماست گیر مى آوَریم
- sie sahen ihn als jemand, der den Tod verdient; هَمه اورا مُستوجِب ِ اِعدام دانِستَند
- du verdienst, dass man dich für ... bestraft; مُستَحَقى که تورا بِخاطِر ِ ... به مُجازات بِرِسانَند
- jem., der den Himmel verdient hat; جَنَت ِ مَکان
Verdienst; حُقوق، دَرآمَد
- es ist sein Verdienst, dass ...; لیاقَت ِ اوست که
verdoppeln; دو بَرابَر کَردَن
- seinen Reichtum verdoppeln; ثِروَت را دو بَرابَر ِ ثِروَت ِ قَبلى اَش رِساندَن
verdoppelt; دو چَندان، دو بَرابَر شُده، مُتَضاعِف، مُثنىٰ شُده
Verdoppelung; تَضاعُف، دوبَرابَری
verdorben; فاسِد، ضايِع، خَراب
Verdorbenheit; فِساد
verdrahten; سیم کِشى کَردَن
verdrallen; پیچ دادَن، تابیدَن
verdrängen; کِسى را پَس زَدَن، ـ بیرون راندَن
- andere verdrängen; دوررا از دَست ِ هَمه گِرِفتَن، يِکه تازى کَردَن
- etwas aus dem Gedächtnis verdrängen; چیزى را از یاد بُردَن، ـ از ذِهن بِدَر کَردَن
- der Glaube an ... verdrängte andere Gesichtspunkte; اِعتِقاد به ... دیده هاى ِ دیگَررا تَحت اُلشُعا قَرار مى دَهَد
verdrehen; پیچ دادَن، تابیدَن
- verdrehen (Knoten); گِرِه خوردَن
- verdrehen (z.B. statt 28: 82); وارونه کَردَن
- die Wahrheit verdrehen (*: verfälschen);  .حَقیقَت را دِگرگون کَردَن، ـ مُنحَرِف ک
verdreht; مُلتَوى، مارپیچى
- die Welt ist verdreht; کار ِ دُنیا بَر عَکس است
- er hängt das verdreht auf; این چیزهارا وارونه آویزان مى کُنَد
- verdreht werden; مَقلوب از چیزى بودَن
Verdrehung; پیچِش
- Verdrehung der Ereignisse; قَلب ِ حَوادث
- Verdrehung des Textes (diakritische Punkte falsch setzen); (تَصحیف (خُدا : جُدا
- Verdrehung des Textes durch Umstellung von Buchstaben; تَحریف (رَشک : شُکر
verdreschen; کُتَک زَدَن، مالِش دادَن
verdrossen; کَدِر
- verdrossenes Gesicht (*: mürrisch); چِهرهٔ تاسیده
Verdruss; کَدَر، اِنفِعال، قَهر، کَدورَت
verduften; دَک شُدَن، يَواشَکى رَفتَن، فِلِنگ را بَستَن، به زِه زَدَن
verdunkeln;
- den Raum verdunkeln;  .اُطاق را تیره کَردَن، ـ تاریک ک
- eine Sache verdunkeln; مُشتَبه کَردَن، مورِد ِ اِبهام قَرار دادَن
verdunkelt; تار و تیره
verdünnt; رَقیق
- verdünnte Suppe; آش ِ زیپُو
Verdünnung; رَقیق سازى
verdunsten; تَبخیر کَردَن
Verdunstung; تَبخیر
verdutzt; مَبهوت
- verdutzt gucken; چار چِشم شُدَن
verebben; فُروکِش کَردَن
veredeln; ناب کَردَن
verehelichen; کِسى را به نِکاح دَر آوَردَن
Verehelichung; تَزویج
verehren; اِحتِرام کَردَن
- er verehrt jem. (*: ehren); (präs.)  (کِسى را مى سِتايَد (سِتودَن
Verehrer; خاطِر خواه
vereidigen; سوگَند یاد دادَن، قَسَم دادَن
- vereidigter Dolmetscher; مُتَرجِم ِ قَسَم خورده
Vereidigung; تَحلیف، سوگَند
Verein; اَنجُمَن، کانون، باشگاه
- eingetragener Verein; کانون ِ عام اُلنَفع
- gemeinnütziger Verein; کانون ِ غِیر ِ اِستِفادى، اَنجُمَن ِ ـ
- Vereinseintragung; ثَبت ِ اَنجُمَن
- der Verein wurde im Jahre ... ins Leben gerufen; اَنجُمَن دَر سال ِ ... موجوديَت یافت
vereinbar;
- vereinbar sein mit ...; سازگار ِ، قابِل ِ تَطبیق با
vereinbaren; قَرار گُذاشتَن، تَوافُق کَردَن دَر
- ein Treffen vereinbaren; مُلاقات گُذاشتَن
Vereinbarkeit (mit ..);  ( ...سازگارى (با ...)، تَطبیق (با
vereinbart; موعود، قَرار شُد، مُتَوافِق
- es war vereinbart; قَرار بود
- er erhält die vereinbarten 2 Euro; از قَرار ِ۲ یورو مى رِسَد
- wir treffen uns zur vereinbarten Zeit; ما يِکدیگَررا دَر زَمان ِ موعود بِبینیم، ـ مُعَيِن ـ
Vereinbarung; قَرارداد، قول و قَرار، تَوافُق، مُعاهِده
vereinen (s. -);  .مُتَحِد شُدَن، دَست يِکى ش
Vereinheitlichung; يِکسان سازى، هَمسان سازى
vereinigen; دَست به دَست دادَن
- vereint sein mit; با .. مَقرون شُدَن، ـ مُتَحِد ش.، ـ مُلحَق ش.، ـ مُقتَرِن ش
- mit vereinten Kräften; با توحید ِ مُساعى
- Vereinte Nationen; سازِمان ِ مِلَل ِ مُتَحِد
Vereinigung;
- Vereinigung, Verbindung; اِتِحاد، وَحدَت، اِلصاق، اِتِحادیه
- Vereinigung, Versammlung; مَجمَع، اِجماع، جَمع، تَجَمُع
vereinsamt; مَتروک
- vereinsamter Bahnhof; ایستگاه ِ مَتروک
- vereinsamter Mensch; آدَم ِ تَنها و بی کَس
Vereinseintragung; ثَبت ِ اَنجُمَن
vereinzelt; پَراکَنده، مُنفَرِد
- vereinzelt fällt Schnee; دانه های ِ بَرف پَرت و پَلا از آسمان می ریزَد
- vereinzelt nachfragen, weil ...; تَک و توکی با پُرس و جو می خواهَند
vereiteln;
- Machenschaften vereiteln; توطِئه هارا با شِکَست مِواجه کَردَن، جِلوى ِ توطِئه هارا گِرِفتَن
- Pläne werden vereitelt; نَقشه ها بَر آب مى شَوَند
- ihr Plan wurde vereitelt; نَقشهٔ آنها نَقش بَر آب شُد
Vereiterung; پیله، چِرک
verenden (Vieh); حِیوان ِ سَقَط شُده
vererben; به اِرث گُذاشتَن
- vererbt (biolog.); مُتَوارِث، موروثى
Vererbung; وِراثَت
Vererbungslehre; عِلم ِ وِراثَت، ـ تَوارُث
verewigen (s. -); خودرا تَخلید کَردَن
Verewigung; تَخلید
verfahren;
- ich habe mich verfahren; مَن راه ِ اِشتِباه را گِرِفتَم، مَن گُم شُدَم، راه ِ عَوَضی را رَفتَم
- mit jem. verfahren; بَراى ِ کِسى بِعَمَل آوَردَن
- verfahrene Lage; وَضع ِ بِلبِشو
Verfahren (n); طَرز ِ عَمَل
- Verfahren (Erz-, Roheisen-); فَرايَند ِ سَنگ، ـ ِ آهَن ِ خام
- technisches Verfahren; فَناوَری
- Revisionsverfahren; دادرِسى ِ تَجدید ِ نَظَر
- Ratifizierungsverfahren; رَوَند ِ تَصویب
- Schnellverfahren; دادرِسى ِ اِختِصارى
Verfall;
- Verfall (eines Systems); اِنحِطاط
- Verfall (eines Gebäudes); رُمبِش، ریزِش، ضَیاع
verfallen;
- zerstört & verfallen; کوفته و ریخته
- halb verfallen; نیمه ویران
- dem Alkohol verfallen; اَسیر ِ شَراب
Verfallsdatum; تاریخ ِ مَصرَف
verfälschen;  .مَغشوش کَردَن، تَقَلُب ک
- verfälscht; مَغشوش شُده، دَست بُرده، مَجعول، مُنقَلِب
- man hat diese Arbeit verfälscht; اِنسان دَر این کار دَست بُرده
- unverfälscht; دَست نَخورده
Verfälschung; تَقلیب، تَقَلُب، جَعَل
verfangen (s. -); گِرِفتار آمَدَن
- im verwirrenden Knäuel s. verfangen; دَر کَلاف ِ سَر دَر گُم گِرِفتار آمَدَن، ـ سَردَرگُم شُدَن
verfärben (s. -); تَغییر ِ رَنگ دادَن
verfassen;
- etwas als Buch verfassen; چیزى را دَر کِتاب ثَبت کَردَن، ـ به نِگارِش دَرآوَردَن
- er hat das Buch verfasst; او کِتاب را اِنشاء نِمود
- verfasst; مُؤَلِفه
Verfasser; مُؤَلِف، نِویسَنده
Verfassung;
- Verfassung, Zustand; حالَت، وَضع
- Verfassung (Gesetz); مَشروطيَت، اَساس نامه
- Kämpfer für die Verfassung; مَشروطه چى
