Quader; مَکَعب ِ مُسطَتیل
- quietschendes Geräusch entsteht; صِداى ِ غِژغِژ بُلَند مى شَوَد
Quintessenz; لُب لُباب، ذات، لُب ِ مَطلَب، فُروهَر، جوهَر
quitt; سَر و تَن
- wir sind quitt; ما سَر به سَریم، بی حِساب شُدیم
Quitte; بِه
quittieren;
- kannst du das quittieren?; مى تَوانى بَراى ِ این رِسید بِدَهى؟
- den Dienst quittieren; خِدمَت را اِستِعفاء دادَن
Quittung; (pl.) صورَت ِ حِساب، قَبض (قَبوض)، رِسید
Quiz; مُسابِقهٔ مُعَما
Quote; نِسبَت، سَهم، نِرخ
- Beteiligungsquote; -دَر صَد ِ شِرکَت دَر
Quotient; ضَریب
- emotionaler Quotient; ضَریب ِ اِحساسی
- Intelligenzquotient; ضَریب ِ هوشی
Qumranrollen; مَخطوطات ِ کومران
