Waage; تَرازو
- Sag die Wahrheit; راستا حُسيِنى بِگو، راستى اش را بِگو، راست بِگو
- Konsistenz als Wahrheitskriterium (philos.); اِثبات پذيرى
wahrheitsgemäss; اِنصافاً، حَقيقَتاً
wahrnehmen;
- Funktion wahrnehmen; وَظايِفى را عُهده دار شُدَن
- bestimmte Dinge wahrnehmen;  .چيزهاى ِ مُشَخَصى را اِحساس کَردَن، ـ دَرک ک
Wahrnehmung;
- mit der Wahrnehmung beauftragen; مأموريَت دادَن بَراى ِ اَنجام ِ
- Analyse der Wahrnehmung; تَحليل ِ اِدراک
wahrsagen; از غِيب گُفتَن، رَمالى کَردَن، فال گِرِفتَن
Wahrsagerei; کَف ِ دَست بينى، سِتاره بينى، فال زَنى، تَفاوُل
wahrscheinlich; مُحتَمَل، اِحتِمالى، اِحتِمالاً
- wahrscheinlich sein; اِحتِمال مى رَوَد، ـ دارَد
- eine Sache, die wahrscheinlich eintritt; مُحتَمَل اُلوُقوع
Wahrscheinlichkeit; اِحتِمال
Wahrscheinlichkeitslehre; عِلم ِ اِحتِمالات
Wahrscheinlichkeitsrechnung; حِساب ِ اِحتِمالات
Wahrung; اِبقاء
- Schutz & Wahrung einer Tradition; حِفظ و حِراسَت ِ سُنَت
Währung; اِرز
- Landeswährung; اِرز ِ کِشوَر، ـ مِلى، پول ِ رايِج ِ کِشوَر
Währungsabkommen; قَرار داد ِ اَسعارى
Währungsfond; صَندوق ِ پول
- Internationaler Währungsfond; صَندوق ِ جَهانى ِ پول
währungspolitisch; از ديد ِ سياسَت ِ اِرزي
- währungspolitische Debatte; مُباحِثة سياسَت ِ اِرزى
Währungsunion; اِتِحادية اِرزى
Wahrzeichen; عَلامَت ِ مُشَخَصة يِک مُحيط
Waise; بَچه پِِدَر مُرده، يَتيم
Wal; نَهَنگ
Wald; جَنگَل
- er sieht den Wald vor Bäumen nicht; چَندان چِراغ دارَد و بى راهه مى رَوَد
- wie man in den Wald hineinruft, so klingt es heraus; کَلوخ اَندازرا پاداش ِ سَنگ است
Wäldchen; بيشه
walken; ماليدَن
Wall; حِصار، بارو
Wallfahrer; (pl.)  (زائِر (زائِرين، زُوار
Wallfahrt; زيارَت
Wallfahrtsort; زيارَتگاه
Wallung;
- du kommst in Wallung; آتَش بِجانَت مى گيرَد
- jem. in Wallung bringen; آتَش ِ کِسى را اَفروختَن
Walross; شيرماهى
walten;
- schalten & walten bei ..; دَر يِک جائى کيا بيائى کَردَن
- zur Erlangung von .. walten lassen; صَرف ِ کَسب ِ.. کَردَن
Walzblech; حَلَبى ِ آهَن ِ سِفيد
Walze; غَلطِبان، غَلتَک
wälzen;
- s. hin und her wälzen (im Bett); لول زَدَن، دَر تَب و تاب بودَن، (توي ِ تَخت) غَلتي زَدَن
Walzwerk; کارخانة نَوَردکارى
Wampe (popul.); خيک
Wand; ديوار
- einlagige Wand (entspricht 1 Stein); تيغه، ديوار ِ يِک لايه
- spanische Wand; پَردة مُتَحَرِک
- er redet gegen die Wand; حَرفِش تأثير نَدارَد
- Trennwand; جِدار
- Zylinderwand; آستَر ِ سيلَندر
Wandel;
- Wandel, Lebensart; سُلوک
- sozialer Wandel; تَحَوُل ِ اِجتِماعى، تَغيير ِ ـ
wandelbar;
- wandelbare Gesellschaft; جامِعة مُتَحَوِل، - تَغيير پَذير
Wandelgang; دِهليز
wandeln; سالِک بودَن، سُلوک کَردَن
Wanderer; سَياح، راهسِپَر، راه نَوَرد
wandern;  .سياحَت کَردَن، گَردِش ک
- durch den Wald wandern (in Eile); از جَنگَل بِدَر رَفتَن
- durchwandern; (präs.)  (نَوَرديدَن (مى نَوَردَد)، پِيمودَن (مى پِيمايَد
- rumwandern; سياحَت کَردَن
Wanderstiefel; چِکمة راه پِيمائى
Wanderung; سَرگَردانى، راه پِيمائى
- Polwanderung; سَرگَردانى ِ قُطبى، راه پِيمائى ِ ـ
Wandkarte; نَقشة ديوارى
Wandstecker; دوشاخة بَرق ِ ديوارى
Wange; گونه
- eingefallene Wangen; گونه هاى ِ فُرو رَفته
- knochige Wange; گونة زُمُخت
wankelmütig; مُتَلَوِن اُلمِزاج، دَمدَمى ِ مِزاج
wanken; نَوان شُدَن، جُنبِش خوردَن، تِلو تِلو خ
wann; کِى
- wann es Zeit war; موقِعيَتَش مُناسِب بود
Wanne; وان
- Ölwanne (beim Auto); کارتِل
Wanze; ساس، سِن
Wanzenbefall; سِن زَدِگى
Wappen; آرم، عَلامَت ِ نِشان
- Familienwappen; عَلامَت ِ نِشان ِ خانِوادِگى، آرم ِ فاميلى
Wappenzeichen; طُغراء، نِشان، آرم
war;
war (*: sein, wurde);
- das wars dann auch schon; واسَلام، هَمين و بَس، و خَلاص
- mir war so, als ..; اَنگاشتَم که
- so tun, als ob sein Pferd gestorben wäre; چِنانکه گوئى اَسب ِ او مُرده است
- so, als wenn sie nicht von ihm wären; که گويا از آن ِ او نيستَند
Ware; کالا
- in bar & in Ware; نَقداً و جِنساً
- Ware austauschen; کالا مُبادِله کَردَن
- Ware los werden; کالا آب کَردَن
Warenangebot; عَرضة کالا
Warenannahme; دَريافت ِ کالا
Warenartikel; اَقلام
Warenbedarf; کالاهاى ِ مورِد ِ نياز
Warenkennzeichen;
- Eingetragenes Warenkennzeichen; عَلامَت ِ تِجارَتى، مارک ِ ثَبت شُده
Warenkontingent;
- Warenkontingent festsetzen; سَهميه بَندى کَردَن
warm; گَرم
- mir ist warm; گَرمَم است
Wärme; حَرارَت، گَرما
wärmeabgebend; گَرمازا، دافِع اُلحَرارَت
wärmeaufnehmend; گَرماگير
Wärmeaustausch; تَبادُل ِ گَرما
Wärmedämmung; عايِق کارى ِ حَرارَتى
Wärmedehnung; اِنبِساط ِ حَرارَتى، تَغيير ِ حَجم
Wärmegerät; گَرمکُن، مُسَخِن
Wärmeleiter; هادى ِ گَرما
Wärmeleitung; اِنتِقال ِ حَرارَت
wärmen; حَرارَت دادَن
Wärmeschrank; قَفَس ِ داغ، کابين ِ حَرارَتى
Wärmeverlust; تَلَف ِ گَرما
Wärmflasche; کيسة آب ِ گَرم
warmlaufen; گَرداندَن دَر گَرما
- s. warmlaufen (beim Sport); خودرا گَرم کَردَن
Warmmiete; اِجاره با شوفاژ
warnen; وَعيد کَردَن، اِخطار ک.، ـ دادَن، عِبرَت ک.، گوشزَد ک.، خَبَر دادَن
- der Stock warnt den Dieb; چوب را که بَردارى گَربه دُزده خَبَردار مى شَوَد
warnend; عِبرَت اَنگيز
Warnung; اِخطار، تَحذير
- nach dieser Warnung ging er; بَعد از اين هُشدار رَفت
- ohne jegliche Warnung; بى هيچ اِخطار
- seine Stimme bringt Warnung zum Ausdruck; صِداى ِ او خَطَرى را هُشدار مى دَهَد
- nimm das als Warnung, dass du ...; (nehmt ....)  ... تا تو باشی (تا شما باشيد ...) که
Warteliste; ليست ِ نوبَت
warten; مُعَطَل کَردَن، پاييدَن
- warum wartest du noch?; چِرا مُعَطَلى؟
- er wartete auf ..; او چِشم به راه ِ.. بود
- warte auf mich; مَرا مُعَطَل کُن، مُنتَظِرَم باش
- sie warten auf jem.; آنها اِنتِظار کِسى را مى کِشَند
- musstest du warten?; مُعَطَل شُدى؟
- jem. warten lassen; کِسی را چِشم اِنتِظار گُذاشتَن
- jem. warten lassen, - hängenlassen; کِسي را قال گُذاشتَن، - مُعَطَل کَردَن
- worauf warten Sie noch?; ديگَر مُعَطَل ِ چه هَستيد؟
- sie warten auf eine Gelegenheit; آنها مُتَرَصِد هَستَند
- bist du es, auf dessen Kommen wir warten?; آيا تو هَستى که مُنتَظِر ِ آمَدَنِش باشيم؟
- er wartete auf eine günstige Gelegenheit; او گوش خواباند
- auf etwas vergeblich warten; چِشم ِ کِسی به دَر خُشک شُدَن
- da darf man nicht lange warten; اينجا جاى ِ مُعَطَلى و تَرديد نيست
- wir haben ihn lange warten lassen; ما خِيلى مُنتَظِرش گُذاشتيم، ما اورا خِيلى مُنتَظِر نِگاه کَرديم
- wartende Menge; جَمعيَت ِ مُنتَظِر
Wärter; نِگَهبان، مُراقِب
Warteraum; اُتاق ِ اِنتِظار
Wartestellung;
- in Wartestellung; مُنتَظِر ماندَن
Wartung; تَعمير و نِگَهدارى، سِرويس
wartungsfrei; بِدون ِ وَقفه
warum; چِرا، به چه دَليل
- warum bist du gekommen?; واسة چه آمَدى
Warze; زِگيل، ثوء لول
- Brustwarze; نوک ِ پِستان
was; چه
- was will er von mir?; چه کارَم دارَد؟، چه مى خواهَد
- was soll daran besser sein?; کُجاش بِهتَر؟
- was solls?; خوب که چه؟
- was von dir ist gut? (popul.); چى چيت خوب است؟
- was für eine Größe (i.S. sehr groß);  !به چه بُزُرگي
Waschbecken; لَگَن، دَستشوئى
Wäsche; رَخت، لِباس
- bügelfreie Wäsche; بِشور و بِپوش بودَن
Wäscheleine; بَند ِ رَخت
waschen; شُستَن
- s. waschen; (konjug.)  (شُست و شو کَردَن، شُستَن (مى شويَد
- s. (rituell) waschen; وُضو گِرِفتَن
- sie waschen s. vor dem Essen die Hände; آنها قَبل از خوردَن ِ غَذا دَستهايِشان را آب مى کِشَند
- eine Hand wäscht die andere; آب به آب مي خورَد زور بَرميدارَد، دَستياري با يِکديگَر مَزيد ِ قُوَت ِ هَمِگان است
Waschen (n); شُست و شو
- Stelle für das Waschen der Füsse; پاشويه حوض
Wäscherei; گازُرى، رَختشوئى
Wäscheschleuder; آب گير گَردان
Waschlappen; دَستمال شوئى، ليف
Waschmaschine; ماشين ِ لِباس شوئى
Waschpulver; پودر ِ رَخت شوئى
Waschsalon; خُشک شوئي
Waschschüssel; لَگَن، دَستشوئى، طَشتَک
Waschung;
- rituelle Waschung; وُضو
- rituelle Waschung mit Sand (wegen Mangel an Wasser); تَيَمُم
Wasser; آب
- das Wasser läuft ihm im Mund zusammen; دَهَنَش آب مى اُفتَد
- das Wasser läuft in Strömen an ihm herab; آب از چَک و چانه اش رَوان است
- mit allen Wassern gewaschen; آدَم ِ آتَش پاره، از قال دَر آمَدَن
- stille Wasser sind tief; آب زير ِ کاه است
- jem. das Wasser abgraben; زير ِ آب ِ کِسي را زَدَن
- er kann ihm nicht das Wasser reichen; او قوزَک ِ پايَش هَم نمى شَوَد، نِمى تَوانَد از پَس ِ او بَر بيايَد، به پاي ِ او نِمي رِسَد
- das Wasser steht mir bis zum Hals; آب گَلويَم را گِرِفته است
- bis das Wasser den Rhein hinabgeflossen ist; تا اينکه آبها از آسياب بيُفتَد
- Wasser mit einem Sieb schöpfen; آب دَر هاوِن کوبيدَن
- Leitungswasser; آب ِ شير
- Quellwasser; آب ِ چِشمه
Wasserball; واتِرپُلو
Wasserbehälter; آبِش خور، مَخزَن ِ آب
wasserbeständig; ضِد ِ آب
wasserdurchlässig; آب نَشت کَردَن، ـ پَس دادَن
Wasserfall; شَلاله، آبشار
Wasserfarbe; آب ِ رَنگ
Wasserfilter; صافى ِ آب
Wassergefäss; مَشرَبه
Wassergraben; آبراه، مَسيل، آبکَند
- unterirdischer Wassergraben; (pl.)  (قَنات (قَنَوات
wasserhaltig; آبدار
Wasserhahn; شيرآب
Wasserkessel; کِترى
Wasserkreislauf; مَسير ِ گَردِش ِ آب
Wasserkrug (auf Toilette); لولهِنگ، آفتابه
Wasserkühlung; خُنَک کُنَندِگى ِ آب، سَرد ـ
Wasserleitung; (abrou) لولة آب، آبرو
Wasserpfeife; قَليان
Wasserpflanze; گياه ِ آبزى
Wasserpistole; هَفت تير ِ آبپاش
Wasserpumpenzange; اَنبُر ِ کَلاغى
wasserreich (Gegend); آبخيز
Wasserreservoir; مَخزَن ِ آب
Wasserschaden; آبديدِگی
Wasserschichten; لايه هاى ِ تو دَر توى ِ آب
Wasserschlauch; شِلَنگ ِ آب
Wasserspeicherung; آبگيری
Wasserspiele; آبنَما
Wassersport; وَرزِش روى ِ آب
Wasserstelle (für Trinkwasser); سَقا خانه
Wasserstoff; ئيدرُژِن، ئيدروژِن
Wasserstrahl; فَوارة آب
Wasserstrasse; آبراه
Wassersucht (Krankheit); اِستِسقاء
Wassersuppe; آش ِ زيپُو
Wassertier; حِيوان ِ آبزى
Wasserträger; سَقا
Wasserversorgung; آبرِسانى
- Wasserversorgung (für Maschinen u.ä.); آبگيرى
Wasserwaage; تَراز ِ حَباب دار
Wasserwerfer; کَپسولهاى ِ آتَش نِشانى، تُلُمبة آب پاش
Wasserwirtschaft; آبرِسانى
Wasserzulauf (oft aus Tonröhren); تَنبوشه
wässrig; سَيال، آبدار، آبَکى
- wässrig (Suppe); بى مَرَق
watscheln; اُردَک وار راه رَفتَن، گُشاد گُشاد ـ
Watt; وات
- Watt (Küstenregion); ساحِل تَحت ِ تأثير ِ جَزر و مَد
Watte; پَنبة هيدروفيل
Web-Site; سايت
weben; بافتَن
- miteinander verweben; بِهَم بافتَن
webend; ناسِج
Weber; ناسِج، بافَنده
Weberei; بافَندِگى، نَساجى
Weberschiffchen; ماکو
Webkante; گِرد بافت، حاشية پارچه
Webstuhl; دار ِ قالی، داربَست برای ِ بافتَن ِ قالی و تار و پود ِ قالی را بر آن بَستَن
wechsel;
- wechsel - (als Vorsilbe); ـ تَبديلى، مُتَناوِب، دوراهه
Wechsel (m);
- Wechsel, Schuldschein; فَتۀ طَلَب، سَفته
- Wechsel ohne Deckung; اين بَرات مَحَل نَدارَد
- Wechsel im Verhalten; تَحَوُل دَر رَفتار، تَغيير ـ
- Führungswechsel; تَغيير ِ رَهبَرى، تَعويض ِ ـ
Wechselgeld; پول ِ خُرد
Wechselgeschäft (Kapital gegen Arbeitskraft); مَضارِبه
Wechselkurs; نِرخ ِ تَبديل
wechseln; عَوَض کَردَن، تَغيير دادَن
- Geld wechseln; پول خُرد کَردَن
- kannst du 10 Euro wechseln?; ميتَوانى بَرايَم ۱۰ يورو خُرد کُنى؟ ۱۰ يورو پول ِ خُرد دارى؟
wechselseitig;
- wechselseitige Beziehung; رابِطة فى ما بِين ِ، ـ دو جانِبه، مُناسِبات ِ مُتَقابِل
Wechselstrom; جَريان ِ بَرق ِ مُتَناوِب
Wechselstube; صَرافى
Wechselwirkung; کُنِش ِ تَعويضى، عَمَلکَرد ِ مُتَقابِل، تَساوى ِ کُنِش و واکُنِش، تأثير ِ دو جانِبه
Wechsler; عَوَض کُنَنده، تَبديل کُنَنده
- Geldwechsler; صَراف
wecken; بيدار کَردَن
- in jem. den Ehrgeiz wecken; کِسى را به غِيرَت آوَردَن
- Interesse wecken; عَلاقه بَر اَنگيختَن
- den Neid wecken; دَر کِسى حَسَد اَنگيختَن
- seine Lebensgeister sind wieder geweckt; آبی زير ِ پوسَش رَفت
Wecker; ساعَت ِ شُماطه دار
wedeln;
- sie wedelt s. mit dem Fächer zu; با بادبِزَن بادِش مى زَنَد
- mit dem Schwanz wedeln; دُم جُنباندَن
weder;
- weder ... noch; نَه ... نَه
weg;
- weg!; پَست باد!، راه بِدِه!، بُرو کِنار
- gut, ich bin dann weg; خوب پَس مَن رَفتَم
- wirf sie weg!; اينرا بِزَن بِچاک
- ich muss weg; مَن بايَد بِرَوَم
- was weg ist, ist weg; آب ِ ريخته با کوزه نَيايَد، چيزي را گويَند که چون تَباهي يا زَوال يافت دُرُست کَردَن يا دوباره  به دَست آوَردَنِش مُمکِن نَباشَد، آب ِ ريخته جَمع نَگَردَد
Weg (m); راه
- unbefestigte Wege; جاده های ِ خاکی
- falschen Weg gehen; گُمراه شُدَن
- jem. auf den falschen Weg bringen; کِسى را گَم راهى کَردَن، ـ بيراه کَردَن
- auf dem Weg dorthin (besuche ich ..); دَر سَر ِ راه، دَر اَثناى ِ راه، دَر بِين ِ راه
- Helfen, auf den Weg zu bringen (z.B.: Ethik und Wirtschaft);  (راه بُرد (- ِ اَخلاق و اِقتصاد
- von hier nach dort ist ein direkter Weg; از اينجا تا آنجا صِراط ِ مُستَقيمى است
- nicht immer ist der direkte Weg der beste; رَه بُرو بيرَه مَرو هَر چَند رَه پيچان شَوَد
- auf diplomatischem Weg; از طَريق ِ ديپلماسى
- wir werden auf diesem Weg fähig sein, ...; ما دَر اين راستا قادِر خواهيم بود
- jem. auf den Weg schicken; کِسى را رَهسِپار کَردَن، ـ اِعزام کَردَن
- jeder, der des Weges kommt; هَر کِسى که از راه بِرِسَد
- sie machte s. auf den Weg in die Heimat; او پاي ِ پياده راهي ِ وَطَن شُد
- er war auf dem Weg nach Berlin; او راهى ِ بِرلين شُده بود، او عازِم ِ بِرلين بود
- im Bemühen um den gemeinsamen Weg; با تَلاش دَر راستاى ِ
- er hätte s. auf den Weg gemacht nach ..; خودش را مى رِسانَد به ..، او راهَش را مى کِشيد
- jem. aus dem Weg räumen; کِسى را از سَر ِ راهِشان بَردارَند
- aus dem Weg!; خَبَر خَبَر، نَسوزى، نَفتى نَشى، راه بِدِه
- versuchen, jem. aus dem Weg zu räumen; از مِيدان به دَر کَردَنَش دَر جَريان است
- s. auf den Weg machen; راهسِپَر شُدَن، به راه اُفتادَن
- sie machen s. auf den Weg hierher (popul.); آنها شال و کُلاه مى کُنَند و مى آيَند اينجا
- ich muß mich zu Fuß auf den Weg machen; مَجبورَم پياده گَز کُنَم
- du hast einen langen Weg vor dir;  راه ِ طولاني دَر پيش داري
- er machte s. flugs auf den Weg; او اگَر آب دَستَش بود زَمين مي گُذاشت و پاي ِ پياده به راه اُفتاد
- auf seinem Weg nach ...; دَر سَر ِ راه ِ خود به
- wo ein Wille ist, da ist auch ein Weg; خواستَن تَوانِستَن است
- Jesus, der einzige Weg zu Gott; عيسى تَنها راه ِ رِسيدَن به خُدا است
- die Bibel zeigt den Weg zu Gott; کِتاب ِ مُقَدَس راه رِسيدَن به خُدا را نِشان مى دَهَد
- jem. im Weg stehen;  .مُزاحِم ِ کِسى بودَن، سَر ِ راه ِ کِسى ب
- er steht uns im Weg; او موى ِ دَماغ ِ ما شُده
- alles, was ihnen im Weg war; هَر چه سَر ِ راهِشان بود
- jeder geht seine Wege; ما به سى ِخودِمان و آنها به سى ِخودِشان
- du gehst deinen Weg, er seinen; تو به خِير و او به سَلامَت
- ich gehe einen Weg, auf dem es kein Zurück gibt; بِراهى که بَر نِمى گَردَم خواهَم رَفت
- auf halbem Weg; دَر کَمَرکِش ِ خيابان
- auf halbem Weg stehenbleiben; کارى را نيمه کار گُذاشتَن
- ich möchte auf diesem Wege gratulieren; مُتَقابِلاً مى خواهَم تَبريک بِگويَم
- Land, das seinen Weg geht; راهبُرد
- Das Feuer findet seinen Weg; آتَش جايِ  خود باز می کُنَد، مَرد ِ زيرَک و ماهِر و اُستاد زود شِناخته شَوَد
- Fluchtweg; راه ِ گُريز
- Irrweg (vom eigentlichen Weg entfernt); بى راهى
Wegbereiter; راهگُشا
wegbleiben; از چيزي غِيبَت کَردَن
- die Sprache bleibt ihm weg; از زَبان مى اُفتَد
Wegelagerer; راهزَن
wegen; از بابَت ِ، دَر قِبال ِ، به هَواى ِ، بَر سَرِ
- wegen dem Gewinnen; از روى ِ بُرد ِ
- wegen ihm; دَر خُصوص ِ او
- wegen ... hat er; بِخاطِر ِ ... بوده که
- wegen des Hungers; از شِدَت ِ گُرُسنِگى
- wegen der Malerei; جَهَت ِ نَقاشى
- wegen der heftigen Kälte; از شِدَت ِ سَرما
- wegen des Themas auf Kriegsfuss stehen; بَر( سَر ِ) موضوع با .. دَر اُفتاد
- wegen der Erinnerung an ..; به پاس ِ بُزُرگداشت ِ فِلان
- verurteilt wegen des Vergehens von ..; به جُرم ِِ .. مَحکوم شُد
- wegen welcher Sünde?; به کُدامين گُناه
Wegfall;
- nach Wegfall des Grundes; پَس از زَوال ِ سَبَب
Weggabelung; سر ِ دو راهى، دو راهى
Weggefährte; هَم عِنان، هَمقَدَم، هَمرُو
weggehen;
- von jem. weggehen; از نَزد ِ کِسى رَفتَن
- die Ware geht gut weg; کُلا خوب به فُروش می رَوَد
wegkommen;
- nicht über den Verlust wegkommen; از اِتِلاف خارِج نَشُدَن، اِتِلاف را فَراموش نَکَردَن
weglassen;
- etwas weglassen (vom Text); چيزى را جا اَنداختَن
Weglassung; اِسقاط
weglaufen; دَر رَفتَن
- der Hund ist weggelaufen; سَگ دَررَفته است
wegnehmen;  .رُبودَن، مَفروز کَردَن، مَغصوب ک
- kannst du das wegnehmen?; مى تَوانى اينرا بَردارى؟
- er hat mir .. weggenommen; او چيزى را از دَستَم بِدَر آوَرد
wegräumen; بَرچيدَن، جَمع و حور کَردَن
wegschaffen;
- damit sie ihn wegschaffen; که اورا از ميان بِبَرَند
wegschicken; رَوانه کَردَن، فِرِستادَن
wegschleudern; پَرت کَردَن
