Saal (m); سالُن
Samenerguss (m); اِحتِلام، اِنزال
Samenflüssigkeit (f); مایع ِ مَنى
Sammelband (m); مَجموعه
Sammelbegriff (m); اِسم ِ جَمع
sammeln; .گِرد آوَردَن، جَمع کَردَن، جَمع آوَرى ک
- die Menschen sammeln, um ...; اِنسانهارا گِرد آوَردَن تا
- Geld sammeln; پول جَمع کَردَن
Sammelnummer (f) (Telefon); شُمارهٔ جامِع
Sammelsurium (n);
- seine Ideen sind ein Sammelsurium von ...; عَقايِدِش تَرکیب دَر هَم و بَرهَمى است از
Sammler (m); مَجموعه دار
Sammlung (f);
- (literarische) Sammlung; مَجموعه
- Gesetzessammlung; شَريَعت مَُدَوِّن، مَجموعه قَوانین
Samowar (m); سَماوَر
Samstag (m); شَنبه
samt; ِ با، به اِتِفاق
- samt dem Volk; با تَمامى ِ قوم
Samt (m); مَخمَل
samtig; مَخمَل نَما
sämtlich; جَمیع
Samtsessel (m); صَندَلى ِ مَخمَلى
Sanatorium; آسايِشگاه
Sand;
- der Hof muss mit Sand bedeckt werden; مُحَوَطه بايَد شِن ریزى شَوَد
- Feinsand; ماسه
- Flugsand; ریگ ِ رَوان
- Grobsand; ریگ، شِن
- Wüstensand; ماسهٔ کَویر
Sandale; صَندَل
Sandalette; گیوه
Sandburg;
- Sandburg bauen; ماسه بازی کَردَن
sandig; شِنى
Sandstein; سَنگ ِ شِنى
sandstrahlen; شِن باران کَردَن، ماسه پاشیدَن، ماسه پاشى کَردَن
Sandsturm; خاک باد، شِنباد
Sandwich; ساندویچ
sanft; مُلايِم، حَلیم، فُروتَن، آرام، لَطیف
- sanfte, liebevolle Mutter; مادَر ِ نازِنین
Sänfte; کَجاوه، تَخت ِ رَوان
Sanftmut; مُلايَمَت، خوش خُلقى، حِلم
sanftmütig; حَلیم، مُلايِم
- sanftmütiger Mensch; (pl.)  (حَلیم (حَلیمان
Sänger; خانَنده
Sanguiniker; آدَم ِ دَمَوى
Sanierung; بازسازى، بِهسازى، اِحیا، تَرمیم
- Stadtsanierung; نوسازى ِ شَهرى
Sanitärartikel; لَوازِم ِ بِهداشتى
Sanktion; جَرايِم، تَحریم
- Sanktion aufheben; رَفع ِ تَحریم کَردَن
- Sanktion verhängen über ...; کِسى را تَحریم کَردَن
Sanktionsdrohung; تَهدید به تَحریم
Saphir; یاقوت ِ کَبود
Sardelle; ماهى ِ کولى
Sardine; سَماریس، ساردین
Sarg; (pl.)  (تابوت (تَوابیت
Sarkasmus; بَذله گوئى، طَعنه
sarkastisch; طَعنه آمیز
- sarkastisch sein; شَماتَت کَردَن
- sarkastische Antwort; پاسُخ ِ هَجوآمیزى، جَواب ِ طَعنه آمیز
- sarkastische Bemerkungen; لُغَز خواندَن
Sassaniden; ساسانیان
Satellit; سَفینهٔ فَضاء، ماهواره
Satellitenschüssel; بُشقاب ِ مَهواره
Satellitenstaat; دولَت ِ تابِعه
Satin; دَبیت
Satire; هَجو
satt; سیر
- sie essen s. satt; آنها سیر مى خورَند
- das habe ich satt; مَن از این چیز بیزار شُدَم
- s. am Anblick von ... satt sehen; از دیدَن ِ چیزى سیر شُدَن
Sattel; زین
- Sattel & Zaumzeug ; زین و بَرگ
- Fahrradsattel; زین ِ دو چَرخه
satteln; زین کَردَن
Satteltasche; خورجین
sättigen; سیر کَردَن
- sättigen (chemische Lösung); اِشباع کَردَن
sättigend (Essen); مُغَذا
Sättigung; اِشباع
Sättigungsdruck; فِشار ِ گاز ِ اِشباع شُده
Sattler; سَراج
Saturn; زُحَل
Satz; جُمله
- Satzfüllungen, Worthülsen; حَشو ِ زائِد
Satzbau; تَرکیب ِ جُمله، جُمله بَندى
Satzteil; جُزو ِ جُمله
Satzung; آئین نامه، اَساس نامه
- Parteisatzung; اساسنامهٔ حِزب، مَرامنامهٔ حِزب
Sau; خوک ِ ماده
sauber; پاکیزه، تَمیز
- bleib sauber; دَر ِ دیزى باز است حَیاى ِ گُربه کُجا رَفته است
Sauberkeit; تَمیزى، نِظافَت
Saubermann; نِظافَتچى
säubern; تَمیز کَردَن
Säuberung; تَصفیه
- politische Säuberung; تَصفیهٔ سیاسى
Sauce; سُس، آب ِ گوشت
- Gemüsesauce; خورِش
Saudiarabien; عَرَبِستان ِ سُعودى
sauer; تُرش
- er war echt sauer; حِسابى عَصَبانى بود، او دَمَغ شُد
- er war auf jem. sauer; او از کِسى دِلگیر بود، - قَهرِش گِرِفت، ـ لَجِش گِرِفت، اوقاتَش بابَت ِ ... تَلخ شُد
- eine saure Miene machen; .رو تُرش کَردَن، چِهره عَبوس ک
- mit saurer Miene; مِثل ِ بُرج ِ زَهر ِ مار
- jem. saures geben; اگَر ... با مُشت حال ِ کِسی را جا آوَردَن
Sauerampfer; تُرشَک، حُماض
säuerlich; تُرش مَزه
- säuerlicher Geruch; بوی ِ تُرشیده
Sauerstoff; اُکسیژِن
Sauerstoffzelt; چادُر ِ اُکسیژِن
Sauerteig; خَمیر ِ تُرش، مایهٔ خَمیر
Säufer; جام باز، دُرد کِش، شارِب، خَراباتى
saugen; (präs.) مَکیدَن (مى میکَد)، مَص کَردَن
- aufsaugen; نَشف کَردَن
säugen; شیر دادَن
Sauger; پِستانَک
Säugetier; حِیوان ِ پِستاندار
Saugkraft; نیرو با فِشار ِ مَنفى
Säugling; طِفل ِ شیرخواره، شیر خوار
Säuglingsalter; طُفوليَت
Saugnapf; بادکِش، آلَت ِ مَکَنده
Saugpumpe; پُمپ ِ مَکَنده
Saugrohr; لولهٔ مَکِش
Säule; (pl.) جِرز، رُکن (اَرکان)، سُتون
Säulenhalle; دِهلیز
Saum; لَبه، سِجاف
säumen;
- säumen, umnähen; دوخت گِرِفتَن، لَبه دار کَردَن
- säumen, zögern; تأمُل کَردَن، به تأخیر اَنداختَن
- Einsäumen; لَب دوزى
säumig; مُساحِمه کارانه، پُشت ِ گوش اَنداز
- säumiger Schuldner; بِدِهکار ِ بَدبِده
saumselig; کاهِل
Saumseligkeit; اَهمال کارى، پُشت ِ گوش اَندازى
Sauna; سونا، هَمام ِ بُخار
Säure; اَسید
Saus;
- er lebt in Saus & Braus; عِیش و عِشرَت مى کُنَد، زِندِگى اش بى بَند و بار است
sausen;
- von hier nach da sausen; از اینجا به آنجا شِتافتَن
- etwas sausen lassen; از چیزى صَرف ِ نَظَر کَردَن
- lass die Sache sausen; دُور ِ آن کاررا خَط بِکِش
Saxophon; ساکسیفون
Scanner;  (اِسکِنِر، پویِشگَر (وَسیله‌ای بَرای ِ تَصویربَرداری
- Ganzkörperscanner; اسکنر ِ بَدَن نَما
schaben; تَراشیدَن
Schabernack; شوخی
- Schabernack treiben; شوخی کَردَن
schäbig; کُهنه، ژِنده
Schablone; شابلون، اُلگو
Schach; شَطرَنج
- Schach dem König; کیش دادَن
- eine Partie Schach; يِک دَست ِ بازى ِ شَطرَنج
- eine Partie Schach spielen; یِک دَست ِ شَطرَنج بازی کَردَن
schachern; چیزى را با چَک و چانه از کِسى گِرِفتَن
Schachfigur; مُهرهٔ شَطرَنج
- Bauer; پیاده، سَرباز
- Turm; رُخ
- Springer; اَسب
- Läufer; فیل
- Dame; وَِزیر
- König; شاه
schachmatt; کیش و مات
- jem. schachmatt setzen; کِسى را از پاى دَر آوَردَن
Schachtel; جَعبه
Schachtelhalm; دُم ِ اَسبی
schade; دَریغا، حِیف، اَفسوس
- das ist echt schade; حِیف ِ حِیف است
- schade, dass ...; حِیف که
- wo du es schade findest, dass ...; که حِیفَت مى آيَد که
Schädel; جَمجَمه، کاسهٔ سَر، آهیانه
- jem. den Schädel einschlagen; دَک و دَندهٔ کِسی را خُرد کَردَن
- Dickschädel; کَله شَق
schaden;
- jem. schaden; ضَرَر رِسانیدَن به
- blinder Eifer kann nur schaden; کوشِش  ِ حَریصانه زیان بَخش است
- es schadet nicht; زیان نَدارَد، ضَرَر نَدارَد
Schaden (m); ضَرَر، خِسارَت
- Schaden erleiden; .ضَرَر کِشیدَن، آسیب دیدَن، صَدَمه د
- Schaden an Menschen & Material zufügen; ضَرَر ِ جانى و مالى رِساندَن، زیانى به ... رِسیدَن، لَطمه زَدَن
- aus Schaden wird man klug; بَعد از مُردَن ِ سُهراب نوش ِ دارو
- Schäden, die den Menschen die Freiheit vorenthalten; مَضار که آزادى از مَردُم دَریغ مى دارَند
- körperliche Schäden; ضايِعات ِ جِسمى، گَزَند ِ جِسمى
Schadenersatz; غَرامَت، تاوان، تَلافى، جُبران ِ خِسارَت، رَفع ِ خِسارَت
- jem. muss Schadenersatz leisten; کِسى بايَد جُبران ِ خِسارَت کَردَن، غَرامَت پَرداختَن
Schadenfreude; شَماتَت، زَهرخَند
schadenfroh;
- schadenfroh sein; بَغَلَک زَدَن، حَقود بودَن
Schadensdeckung; جُبران ِ خِسارَت
Schadenversicherung; بیمهٔ ضايِعات
schadhaft; ناقِص
schädigen; به کِسى ضَرَر زَدَن
Schädigung; آسیب، ضَرَر
schädlich; ضَرَر دار، مُضِر
- schädliche Auswirkungen; اَثَرات ِ زیان بار، اَثَرات ِ زیان بَخش
- schädlicher Dunst; بُخار ِ رَدیه
Schädling; آفَت
Schädlingsbefall; آفَت زَدِگی
Schädlingsbekämpfung; دَفع ِ آفات
Schadstoff; مادهٔ مُضِر، مادهٔ صَمى
Schaf; گوسفَند، میش
- er ist das schwarze Schaf in der Familie; او گاو ِ پیشانى ِ سِفید دَر فامیلِش است
- Schäfchen zählen (beim Einschlafen); اَختَر شُمُردَن
Schäfer; چوپان، شَبان
Schäferhund; سَگ ِ گُرگى
schaffen; ایجاد کَردَن، خَلق ک.، آفَریدَن
- was hat er mit ... zu schaffen?; او چه حِساب خورده اى با ... دارَد؟
- mit dir habe ich nichts zu schaffen; اَگَر پُشت ِ گوشَت را دیدى مَرا هم مى بینى
- das macht ihm zu schaffen; چیزى را کَلافه اش مى کُنَد
- diese Idee machte mir zu schaffen; این ایده مَرا رَنج مى داد
- was ihm am meisten zu schaffen machte, war ...; آنچه بیشتَر از هَمه قَند تو دِلَش آب مى کَرد این بود که
- er schafft es nicht; از او ساخته نیست، مُوَفَق نِمى شَوَد
- ich habe meine Arbeit nicht geschafft; مَن ماندَم
- aus dem Nichts etwas schaffen; چیزى را از عَدَم بِوُجود آوَردَن، چیزى را از نیستى به هَستى آوَردَن
- wir schafften es nicht, alle Bestellungen auszuführen; از عُهدهٔ اَنجام ِ آنهَمهٔ سِفارِش بَر نِمى آمَدیم
- geschaffen sein; آفرین بوده، خِلقَت شُده
Schaffner; مُباشِر ِ قَطار
Schafsbock; قوچ، گوسفَند ِ نَر
Schaft; ساق، ساقه، تَنه
- Schwertschaft; مُؤَخَر ِ نِیزه
Schakal; شُغال
schal;
- schal, abgestanden; بی مَزه
- schales Bier; آبجوی ِ بی مَزه
Schal (m); شال
Schale; جَمجَمه، کاسه
- Kupferschale; طَشت
- Waagschale; کَفهٔ تَرازو
schälen; پوست کَندَن
Schalk; بَذله گو
Schall; صِدا، صوت، طَنین
- sein Vermögen in Schall & Rauch aufgehen lassen; دارائى ِ خودرا آتَش زَدَن
Schalldämpfer; صِدا خَفِه کُن
schalldicht; ضِد ِ صوت
Schallgeschwindigkeit; سُرعَت ِ صوت
Schallmauer; دیوار ِ صوتى
- die Schallmauer durchbrechen; دیوار ِ صوتی را شِکَستَن
Schallplatte; صَفحهٔ گرامافون
Schallquelle; مولِد ِ صوت
schallschluckend; میرائى صوت
Schalmei; سُرنا
Schaltbild; نَقشهٔ سیم کِشى
schalten;
- schalten & walten bei ...; دَر يِک جائى کیا بیائى کَردَن
- Schalten & Walten; اَمر و نَهى کَردَن
- in den 3. Gang schalten; به دَندهٔ سه زَدَن
Schalter;
- Fahrkartenschalter; باجهٔ فُروش ِ بِلیط، گیشهٔ فُروش ِ بِلیط
- Lichtschalter; کِلید ِ بَرق
Schalthebel; دَستهٔ دَنده
Schaltjahr; سال ِ کَبیسه
Schalttag; اَندَرگاه
Schaltung; اِتِصال
- Parallelschaltung; اِتِصال ِ مُوازى
Scham; شَرم، خِجالَت
schämen (s. -); عار داشتَن، شَرمسار شُدَن، خِجالَت کِشیدَن، مُنفَعِل بودَن
- er schämt s.; اورا عار آيَد، او خِجالَت مى کِشَد
- ich schäme mich; مَن رو سیاه هَستَم
- der schämt s. überhaupt nicht mehr; شَرم و حَیا که نَدارَد، حَیا از چِشمهايَش رَفته
- schäme dich nicht ihm gegenüber, weil ...;   چیزی نَداری؟ خِجالَت ِ اورا نَبین
- s. wegen etwas schämen; از چیزى شَرمَنده و مَنفَعِل بودَن
Schamgefühl; حِس ِ شَرمزَدِگى
- ohne Schamgefühl sein; بی شَرم  بودَن
Schamgegend; جاى ِ عانى، شَرمگاه
schamhaft; شَرمَنده، خَجول
Schamhaftigkeit; چِشم و رو، شَرمَندِگی
Schamhügel; زُهار
schamlos; وَقیح، بى شَرم
Schande; رُسوا، اِفتِضاح، بى آبرو، نَنگ
- Gefühl der Schande; اِحساس ِ خِفَتى
- das ist eine Schande; اِفتِضاح است، قَباحَت دارَد
- zu seiner Schande; بَراى ِ نَنگ آوَردَن ِ او
schänden;  .هَتاکى کَردَن، حَتک ِ ناموس ک
- das Grab schänden; به نَبش ِ قَبر دَست زَدَن
Schänder; هَتاک، مُتَخلِف
schändlich; قَبیح، فَجیع، مَذموم
- schändliches Verbrechen; جِنايَت ِ ناجَوانمَردانه
Schandtat; شَرارَت، رجاسَت، قَباحَت
- Schandtat begehen; .شَرارَت بِعَمَل آوَردَن، رجاسَت بِعَمَل آ.، قَباحَت بِعَمَل آ
Schändung; هَتک
Schanze; سَکوی ِ پَرِش
- Skischanze; سَکوى ِ پَرِش ِ اِسکى بازى
Schar;
- eine Schar Kinder; يِک گُروه ِ بَچه ها
scharf;
- ein scharf gemachtes Schwert; شَمشیر تیز و صِیقَلى شُده
- scharfer Ton; شَدید اُللَحن
- scharfes Essen; غَذاى ِ تُند
- ein scharfer Hund; سَگ ِ دَرَنده
- er hat eine scharfe Zunge; زَبانَش تُند و تیز است
- er ist scharf auf diese Arbeit; او وَسواس ِ کاررا دارَد
- er ist ganz scharf auf Geld; او عاشِق ِ پول است
- er war scharf auf ... (z.B.: auf ein Mädchen);  که او بَرايَش دَندان تیز کَرده بود
- warum bist du so scharf darauf?; چِرا دَر این باره این هَمه اِصرار مى وَرزى؟
- haarscharf entging ich dem Unfall; حِس می کُنَم تَصادُف از بیخ ِ گوشَم گُذَشت
Scharfblick; ژَرف بینى، تیزبینى، بَصیرَت، فَطانَت
- mit Scharfblick erfassen; به فَراسَت دَر یافتَن
Schärfe;
- mit der Schärfe des Schwertes; به ضَرب ِ شَمشیر، از دَم ِ تیغ
- die Schärfe des Zornes; حِدَت ِ خَشم
schärfen; تیز کَردَن
scharfkantig; لَبه تیز
Scharfmacher; تُندرو
Scharfsinn; قُدرَت ِ دَراکه، تیز هوشى
scharfsinnig; صاحِبِنَظَر، زیرَک، فَطِن
Scharlach; مَخمَلَک
Scharlatan; شَیاد
Scharlatanerie; شَیادى
Scharmützel; زَد و خورد ِ مُختَصِر، دَرگیرى
Scharnier; لولا
Schärpe; شال ِ گردن ِ نِظامى، حَمايِل
Scharte; کَنگَره، تورَفتِگى
schartig; دَنده دَنده
scharwenzeln; پُشت ِ کِسی کَردَن
- sie scharwenzelt hinter ... her; او  بَرای ِ ... پَس ِ کون تِلو می دَهَد
Schaschlik; کَباب ِ سیخى، سیخ کَباب
Schatten; سایه
- in den Schatten gestellt von ...; تَحت اُلشُعاع شُده از
- der Baum spendet Schatten; دِرَخت سایه گُستَر است
- Grosse Ereignisse werfen ihren Schatten voraus; سالى که نیکوست از بَهارَش پِیداست
- Schatten werfen über ...; بَر چیزى سایه اَفکَندَن
schattieren; سایه اَنداختَن
schattig; سایه دار
Schatz; گَنج
- Ungenutzte Schätze; آب دَر کوزه و ما تِشنه لَبان می گَردیم
schätzen;
- etwas zu schätzen wissen; بَر چیزى اَرج نَهادَن، بَراى ِ چیزى اَرزش قائِل بودَن
- das Gute lernt man erst zu schätzen, wenn man es nicht hat; آب ِ خوش بی تِشنِگی ناخوش است
- die Bücher schätzen (Preis); کِتابهارا مَظَنه بِزَنَد، کِتابهارا قِیمَت گُذاری کَردَن
- ich schätze ihn sehr; از او حِساب مى بَرَم، اورا اَرج مى گُذارَم
- einschätzen; تَخمین زَدَن
- etwas wertschätzen; چیزى را قَدردانى کَردَن، قَدر ِ چیزى را دانِستَن
Schätzer; اَرزیاب
- Schätzer bei Schadensfällen; اَرزیاب ِ خِسارَت
Schatzkammer; خَزانه، بِیت اُلمال
Schatzmeister; خَزانه دار، صَندوق دار
Schätzung; تَخمین
schätzungsweise; تَخمیناً، تَقریباً
Schau; تَظاهُر
- etwas zur Schau tragen; چیزى را به خَرج دادَن، ـ به نَمايِش گُذاشتَن، ـ به رُخ کِشیدَن
- gute Schau abziehen; مَعَرِکه کَردَن
- das ist alles nur Schau; کُلی هَم اِفاده داره
- mach nicht so eine Schau; اینطور اَطوار نَیا
- du hast eine gute Schau abgezogen; تو که خوب مَعَرِکه کردى
Schauder; تَرس و لَرز
- Kälteschauder; چِندِش
schauderlich;
- schauderlicher Schrei; فَریاد ِ هَراس آور
schaudern;
- es schaudert ihn; او از چیزى چِندِش مى شَوَد
- schaudernde Kälte; سَرمای ِ چِندِش آوَر
- er schauderte vor Kälte; چِندِشِش شُد، از سَرما مى لَرزَد
schauen; (präs.) نِگَرِستَن (مى نِگرَد)، نِگاه کَردَن
- nach etwas schauen; هَواى ِ چیزى را داشتَن، دُنبال ِ چیزى نِگاه کَردَن، سُراغ ِ چیزى را گِرِفتَن، مُراقِب ِ چیزى بودَن
- Warum schaust du mich so von der Seite an?; چِرا چَپ چَپ به مَن نِگاه مى کُنى؟
- kurz bei dir reinschauen; يِک تِک ِ پا هَم مى آيَم به مَنزِلِت، يِک سَری به تو می زَنَم
- bei jem. vorbeischauen; سَر از کِسى دَر آوَردَن
Schauen (n); نِگاه
Schauer; اِرتِعاش
- ein Schauer läuft mir über den Rücken; لَرزه اى به پُشتَم دَوید، پُشتَم لَرزید
- Regenschauer; رَگبار
Schaufel; شِن کِش، خاک اَنداز
Schaufenster; ویترین
Schaukel; تاب، بانوج
- Schiffschaukel; چَرخ و فَلَک
Schaukelbewegung; تَکانهاى ِ گَهواره مانَند
schaukeln;
- sie schaukeln auf der Schaukel; آنها تاب بازی می کُنَند
- jem. auf der Schaukel schaukeln;  جُنباندَن، تاب دادَن
- Wiege schaukeln; گَهواره را جُنباندَن
- zwischen 2 Extremen hin- u. herschaukeln; بِین ِ دو حالَت ِ اِفراط و تَفریط نَوَسان کَردَن
- ins Schaukeln kommen (z.B. im Bus); تاب خوردَن
Schaukelpolitik; سیاسَت ِ نَوَسانى، سیاسَت ِ اَلاکُلَنگى
Schaukelstuhl; صَندَلى ِ راحَتى ِ تَکان خور
Schaum; کَف
- der Strand ist voller Schaum; ساحِل کَف آلود است
- dem Pferd steht der Schaum auf dem Maul; لیزابهٔ کَف ِ سِفید از دَهَن ِ اَسب جارى است
schäumen; کَف کَردَن، کَفیدَن
schäumend; کَف دار
Schaumgummi; اَبر
Schaumgummimatratze; تُشَک ِ اَبرى
Schaumkelle; کَف گیر، کَفچَک
Schaumschlägerei; خالى بَندى
schaurig;
- ein schauriges Lachen; خَندهٔ چِندِش آوَر
Schauspiel; نَمايِش، بازى
Schauspieler; بازى گَر، آکتُر، هُنَر پیشه
- Schauspieler (bei Mysterienspiel); شَبیه خوان
Scheck; چِک ِ بانکى
- Scheck in Bargeld umtauschen; چِک را نَقد کَردَن
Scheckfälschung; جَعل ِ چِک
scheckig; اَبلَق
scheibchenweise; مُتَوَرِق
Scheibe; دیسک، صَفحه، قُرص، پولَک
- eine Scheibe Brot; يِک قُرص ِ نان
- die Frucht in Scheiben schneiden; میوه را قاچ کَردَن
Scheibenbremse; تُرمُز ِ دیسکى
Scheibenwischer; بَرف پاک کُن
Scheich; شِیخ
Scheide;
- Scheide, Vagina; فَرج، مَهبَل
- Scheide, Hülle; غِلاف
- das Schwert in die Scheide stecken; شَمشیر غِلاف کَردَن
scheiden (s. -); طَلاق دادَن
- geschieden; مُطَلَق، طَلاق گِرِفته
- geschiedene Frau; زَن ِ مُطَلِقه
- geschieden werden; طَلاق گِرِفتَن
Scheidewand; جِداری
- innerhalb der Scheidewand; داخِل ِ جِدارى
Scheideweg; سَر ِ دو راهى
Scheidung; اِطلاق، طَلاق
- die Scheidung einreichen; طَلاق دادَن
