Haar; مو
Halbkugel; نیمِکُره
Halbleiter; نیمه هادى
halbmast;
- Fahne auf halbmast setzen; پَرچَم را نیمه بَر اَفراشتَن
Halbmond; هِلال
- Roter Halbmond; هِلال ِ اَخمَر
halbmondförmig; هِلالى، هِلال وار
halbroh; نیم پَز
Halbstarker; چُهره
Halbvers; مِصراع
Halbwertzeit; مُدَت ِ زَمانى که مِقدار ِ هَسته ها به نِصف تَجزیه شَوَد
Halbzeit;
- Halbzeit beim Sport; نیمه بازى
- erste Halbzeit (z.B. beim Fussball); نیم ِ اَوَل 
- in der Halbzeit (beim Sport); دَر بِین ِ دو نیمه
Hälfte; نِصف، نیم
- sie schrumpfen auf die Hälfte; آنها به نیمچه میرِسَند
Halfter; خِطام، عِنان، لِگام، مَهار، قیاد
Halle; تالار
- selbsttragende Halle; سوله
Halluzinose; تَوَهُم زَدِگى
Halm; ساقه
- Strohhalm; کاه
Hals; گَردَن، گَلو
- s. Hals über Kopf in jem. verlieben; دِلباختهٔ کِسى شُدَن
- sie wollen s. ... vom Halse schaffen; آنها از پَذیرُفتَن ِ آن سَر باز مى زَنَند
- den Hals nicht voll kriegen; دو قورت و نیمِش هَم باقی بودَن
- im Hals stecken bleiben; توی ِ دَهَن ِ کِسی ماندَن
- das beste ist, wenn wir ihn uns vom Halse schaffen (*: loswerden); چاره این است که سَرَش را از سَرِمون واکُنیم
- das schnürt einem den Hals zu (wo man eigentlich weinen möchte); بُغض کَردَن
Halsabschneider;
- er ist ein Halsabschneider (*: Betrüger); جِنسِش را به قِیمَت ِ خون ِ آدَمى زاد مى فُروشَد
Halsband; گَردن بَند
- Hundehalsband; قِلادهٔ سَگ
halsbrecherisch;
- halsbrecherischer Weg; راه ِ صَعب اُلعُبور
Halsschlagader; سُرخرَگ ِ سُبات، شاهرَگ
Halsschmuck; سینه ریز
halsstarrig; گَردَن کِش، یِک دَنده
Halsstarrigkeit; سَر سَختى
Halstuch; لَچَک، گَردن بَند، شال
halt;
- etwas ist halt so geworden (popul.); چیزى به این گونه شُد، این دیگه اینطورى شُد
Halt (m);
- Halt, Stop; تَوَقُف، اِستُپ
- Halt, Stütze; تِکیه گاه، مَلجاء
- Halt! (beim Militär); وایسا
- Halt! (bei Tieren); ایس!، ایست!، هُش
- die Krankheit kommt zum Halt; بیمارى مُتَوَقِف مى شَوَد
haltbar;
- haltbar bis ...; قابِل ِ مَصرَف تا
- haltbare Tasche; کیف ِ مُداوِم، ـ مُحکَم
- haltbarer Stoff, fester Stoff; پارچهٔ  هٔ قُرص
Haltbarkeit; نِگَهدارى، دَوام
Haltbarkeitsdatum; زَمان ِ مَصرَف
halten; تَوَقُف کَردَن، ایستادَن
- s. an .. halten; چیزى را مُراعات کَردَن
- Gelübde halten; نَذر وَفا کَردَن
- kann man für ..  halten; میتَوان آنرا .. پِنداشت
- zu jem. halten; جانِب ِ کِسى را گِرِفتَن
- kaum an s. halten können; بِسَختى خودرا بِجا آوَردَن
- sie halten nicht viel von ihm; آنها از او زیر پاکِشى مى کِشَند
- er hält s. für was besonderes; او خیال می کُنَد از دَماغ فیل اُفتاده
- was hältst du von ...?; نَظَرَت دَر مورِد ِ ... چیست؟
- an s. halten; خوددار، خودداری کَردَن
- sie halten den Ofen am Brennen; اُجاق را دایِر نِگَه دارَند
- der Zug hält in ...; قَطار تَوَقُف مى کُنَد دَر
Halten (n); تَوَقف، وَقفه، ایست
- Halten, Ergreifen; تَمَلُک
- es gab kein Halten (für mich); اَما اِبایی نَداشتَم
Haltestelle; موقِف، ایستگاه
Halteverbot; تَوَقُف مَمنوع
Haltezeichen; عَلامَت ِ ایست
haltig;
- eisenhaltig; حاوى ِ آهن
haltlos;
- haltlos, aus der Luft gegriffen; بى پَر و پا
- haltloser Mensch; آدَم ِ بی پایه
haltmachen; آرامیدن، اِستِراحَت کَردَن
Haltung;
- seine Haltung "X" gegenüber; رَفتارِش دَر مُقابِل ِ
- er nimmt eine gleichgültige Haltung ein; حالَت ِ بى تَفاوُتى به خود مى گیرَد
- er versuchte, Haltung zu bewahren; او سَعى کَرد مَتانَتَش را حِفظ کُند
- Fehlhaltung; رَفتار ِ غَلَط
Hämatom; خون ِ مُردِگى
Häme; فُهش
Hammel; گوسفَند ِ اَخته شُده
- Leithammel; نُخراز
Hammer; چَکُش
- Maurerhammer; تیشهٔ بَنائى
- Schmiedehammer; پُتک
hämmern; چَکُش زَدَن
Hammerwerfen; پَرتاب ِ چَکُش
Hämorrhoiden; بَواسیر
Hand; دَست
- , ... das er in der Hand hatte; که دَستَش اُفتاده بود
- rechte Hand, Arbeitshand; یَمین، یُمنى، دَست ِ راست
- 2 linke Hände haben; دَست و پا چُلُفته، بى عُرضه بودَن
- aus 2. Hand; دَست ِ دُوُم
- den Lohn bar auf die Hand zahlen; مُزد را گُذاشتَن کَف ِ دَست
- auf die Hand legen; کَف ِ دَست گُذاشتَن
- jem. in die Hände fallen; گیر ِ کِسى اُفتادَن
- .. geht nicht alleine von der Hand; چیزى به مِیل ِ خود دَست بِدَست نِمى شَوَد
- gut von der Hand gehen; دَست ِ کِسی رَوان شُدَن
- mit Händen gemacht; دَست ساز
- die Hand in den Schoss legen; سوداهاى ِ خام پُختَن
- mir sind die Hände gebunden; دَستَم بَسته است
- er fasste s. mit beiden Händen ans Herz; دو دَستى دِلِش را گِرِفت
- sie beabsichtigen, Hand an sie zu legen; دَر صَدَد ِ دَست ِ دِرازى به آنها بَر مى آیَند
- da muß noch jem. die Hand anlegen (i.S.: Korrektur); دَستکاری می خواهَد
- er hält seine Hand schützend über die Augen; او دَستَش را سایه بان ِ صورَتَش کَرد
- die rechte Hand sein von jem.; دَست ِ راست ِ کِسی بودَن
- soll ich dich mit leeren Händen auf das Fest schicken?;سَر و کون ِ بِرَحنه بِبَرَمِت جَشن
- mit leeren Händen zurückkommen; اُردَک رَفتَن غاز آمَدَن، دَست از پا دِِرازتَر بَرگَشتَن
- mit leeren Händen dastehen; دَست ِ کِسی بی نَمَک بودَن
Handarbeit; دَستکارى، دَست آفَرینه
handbearbeitet; دَستکار، کارِدَستى
Handbreite; وَجَب، یِک کَف ِ دَست
Handbremse; تُرمُز ِ دَستى
Handbuch; رَوال ِ کارگَردان، طَرز ِ عَمَل ـ، راهنَماى ِ اِستِفاده  
Händedruck; دادَن ِ دَست
- Händedruck austauschen (z.B. Boxer); مُصافِحِه
Handel; داد و سِتَد، بازَرگانى، تِجارَت، مُعامِله، بِیع ِ مُتَقابِل، بِیع و شِراء
- Handel treiben; مُعامِله کَردَن، داد و سِتَد ک
- der Handel ist noch nicht perfekt; یَخَش چَندان نَگِرِفته است
- ihre Wirtschaft hängt vom Handel ab; اِقتِصاد ِ آنها به داد و سِتَد بَستِگى دارد
- Grosshandel; بُنَکدارى، عُمده فُروشى
- Einzelhandel; خرده فُروشى، تَکفُروشى
Händel; زَد و خورد
handeln; چانه زَدَن
- er bezahlte, ohne zu handeln; او بی چَک و چانه ... را پَرداخت
- handeln mit, umgehen mit; عَمَل کَردَن با، رَفتار کَردَن با، عامِل بودَن
- s. dabei handeln um; دایِر بَر اینکه، و حال ِ آنکه
- als sie verstanden, dass die Geschichte von ihnen handelte, ...; وَقتیکه مُتَوَجه شُدَند که مَنظور ِ حِکایَت خود ِ آنهاست ...
- wir müssen handeln (i.S. etwas tun); ما بایَد دَست به کار شَویم
- schnell handeln, nicht lange zögern; مُعَطَلِش نَکَردَن
- sie handeln unüberlegt; مَغزِشان تو دَستِشان است
Handelnder; فَعال
Handelsabkommen; قَرار داد ِ بازَرگانى
Handelshaus; سودا خانه
Handelsreisender; نِمایَنده
Handelszone;
- Freihandelszone; مَنطَقهٔ بازَرگانى ِ آزاد
handfertig; ماهِر، زِبَردَست
Handfläche; کَف ِ دَست
Handgelenk; سَر دَست، مُچ
handgemacht;
- handgemachter Teppich; فَرش ِ دَستباف
Handgemenge; دِه و دار، گیر و دار، دَست به یَخه
Handgranate; نارَنجَک ِ دَستى
handgreiflich;
- mit ihm handgreiflich werden; با او گَلاویز شُدَن
Handhabe; مُستَمسِک، دَلیل
Handhabung; ضَبط و رَبط، اِستِعمال
händig;
- rechtshändig; راست دَست
Handkuss; دَست بوس
Handlanger; پَرقِیچى، عَمَله، پادو
Händler; تاجِر، بازرَگان، سوداگَر
- fliegender Händler; دوره گَرد
Handlung; عَمَل
- die Handlung der Geschichte; رَوَند ِ داستان، جَریان ِ حِکایَت
Handlungsfähigkeit; صَلاحیَت، اَهَلیَت، قُدرَت ِ عَمَل
Handlungsweise; عَمَلکِرد
Handpauke; تُنبَک ِ دَف
Handrücken; پُشت ِ دَست
Handschellen; دَست بَند
- jem. Handschellen anlegen; به کِسى دَست بَند زَدَن
Handschrift; دَستنِویسى، دَستخَط
- er hat eine schöne Handschrift; دَستخَطَش زیبا است
- Handschriften, Manuskripte; مَخطوطات، دَستخَطها
handschriftlich; قَلَمی
Handschuh; دَست کِش
- Fausthandschuh; پُشت دَستى
Handschuhfach; داشبُرد، داشبورد
Handtasche; کیف ِ دَستى
Handtuch; حوله
- das Handtuch werfen, aufgeben; جِلوى ِ کِسى (یا کار) لُنگ اَنداختن، از چیزى جا زَدَن، جا خالى کَردَن
Handtuchrolle; لولهٔ حوله گَردان
Handumdrehen;
- im Handumdrehen; دَر یِک لَحظه، دَر یِک چِشم به هَم زَدَن
Handvoll;
- eine Handvoll ..; یِک مُشت ِ
- eine Handvoll Gewehre; دو قَبضه تُفَنگ
Handwagen; یِک گارى دَستى
Handwaschung (rituelle -); دَست نَماز
Handwerk; حِرفه، کاسِبى
- eigenes Handwerk; پیشهٔ خود
Handwerker; پیشه وَر، کاسِب
Handwerkzeug; اَبزار
Handy; تِلِفُن ِ دَستى، ـ سَیار، هَمراه
Handzettel; تراکت ِ دَستی
Hanf; شاه دانه، کَنَف
- Hanf rauchen; بَنگ کِشیدَن
hanfen; کَنَفى
Hang;
- Hang, Abhang; نِشیب، دامَنه
- Hang, Neigung; تَمایُل، گِرایِش
Hängebrücke; پُل ِ مُعَلَق
Hängelampe; قِندیل
Hängematte; بانوج، نَنو
hängen;
- jem. hängen; کِسی را بَر دار آویختَن، - به دار کِشیدَن
- jem. hängt in der Luft; وَضعیَت ِ کِسى مُعَلَق است، ـ بِلا تَکلیف ـ
- der Duft hängt in der Luft; بو دَر هَوا مى پیچید
- mit dem Herzen an etwas hängen; به چیزى دِلبَسته بودَن
- mein Herz hängt an ...; دِلَم پیش ِ ... گیره
- an jem. Lippen hängen; چِشم به دَهَن ِ کِسی دوختَن
- er hängt fest an moralischen Grundsätzen; او سَخت پایبَند ِ اُصول ِ اَخلاقى است
- ein Bild hängt an der Wand; تَصویر به دیوار آویزان است
- die Kleinen hängt man, die Grossen lässt man laufen; آفتابه دُزدرا مى گیرَند، با شاه دُزد کارى نَدارَند
- mit hängendem Kopf; با سَر ِ اَفکَنده
hängen bleiben;
- bleib nicht hängen unterwegs; داداش پَنچَر نَشو
- wir sind hier hängen geblieben; ما اینجا ماندِگار شُدیم
- mit der Hose an ... hängen bleiben; با شَلوار به ... گیر کَردَن
- an dem Text bin ich hängen geblieben; این موضوع تَوَجه اَم را بِسیار جَلب کَرد، فَراتَر نَرَفتَم
hängen lassen;
- jem. hängen lassen, warten lassen; کِسى را مُعطَل کَردَن، ـ دَر مُعَطَل نِگَه داشتَن، ـ قال گُذاشتَن
hänseln; کِسی را دَست انداختَن، - خواب ِ خَر گوشی دادَن
Hanswurst;
- er spielt den Hanswurst (*: recht machen); او می خواهَد کِرم ِ دِرَختی یِکی باشَد
Hantel; دُمبیل
hanteln; دُمبیل زَدَن
Happen; لُقمه
happig;
- ein happiger Preis; قِیمَتَش خِیلى زیاد است
Hardware; اَبزار ِ سَخت، سِفت اَبزار
Harem; حَرامسَرا
Haremswächter; پَرده دار
Harfe; چَنگ، بَربَط
Harfenspieler; چَنگ زَن
harmlos; بى آسیب، بى ضَرَر
- etwas als harmlos darstellen; چیزى را بى اَهَمیَت جِلوه دادَن، ـ دَست کَم گِرِفتَن
- harmloser Riese; غول ِ بى شاخ و دُم
Harmonie; اِنسِجام، هَمسازى، اِنتِظام
- in Harmonie leben; دَر هَماهَنگى و صَفا زِندِگى کَردَن
harmonieren;
- nur ein Teil würde damit harmonieren; فَقَط قِسمَتى از این به آن تَعریف مى خورَد
harmonisieren; مُنَظَم کَردَن، جور ک.، هَماهَنگ ک
Harmonisierung; هَماهَنگى
Harnblase; مَثانه
Harnsäure; اَسید ِ اوریک
Harnwege; مُجارى ِ اِدرار، میزه ناى
Harpune; تَشبیل
hart; سِفت
- hart, grob; زُمُخت
- sie sind .. gegenüber hart; آنها نِسبَت به .. سَخت گیر هَستَند، ـ سَنگدِل هَستَند
- das Wasser ist hart; آب داراى ِ آهَک و اِملاح است
- das war keine harte Arbeit; کار سُتُرگ نَبود، کار کَمَر شِکَن نَبود، ـ سَخت نَبود
- harter Kurs; خَط ِ مَشى ِ سَخت گیرانه
- harter Stein; سَنگ ِ خارا، - سِفت
Härte;
- Härte, Strenge; تَشدُد، سَخت گیرى، مُتانَت
- Härte (einer Klinge); آب ِ تیغ
- Härte (des Wassers); سَنگینى ِ آب
- mit Härte, mit Gewalt; با صَلابَت
härten;
- Stahl härten; فولاد آب دیده کَردَن
hartherzig; قَسى اُلقلب، مُرده دِل، سَنگدِل
Hartherzigkeit; قَساوَت، سَنگدِلى
hartnäckig; مُقاوِم، مُصِرانه، یِک دَنده، سِمِج
- hartnäckig sein;  .مُصِر بودَن، سِمِج ب
- hartnäckiger Widerstand; مُخالِفَت ِ سَرسَختانه
- der Fleck ist hartnäckig; لَکه پاک نِمى شَوَد
- hartnäckig sein, nicht aufgeben; دَست بَردار نَبودَن
- hartnäckig hinterher sein; مُصِرانه دُنبال ِ چیزى شُدَن
Hartnäckigkeit; یِکدَندِگی
Harz; صَمغ
harzen; صَمغ زَدَن
- harzender Baum; دِرَخت ِ صَمغ دار
Hase; خَرگوش
Haselnuss; فَندُق
Hass; عُدوان، بُغض، نِفرَت
hassen;  .نِفرَت داشتَن، مَبغوض د.، مُنزَجِر بودَن، مُتَنَفِر ب
- Mensch, der hasst; مُبغِض
hassenswert; مَبغوض
hässlich; زِشت، زَنَده
Hast; تَعجیل
hätscheln; نَوازش ِ کَردَن، ناز ک
Hatz; تازیابی
Haube; روپوش، سَرپوش، کُلاهَک
- seine Tochter unter die Haube bringen; دُختَرَش را شوهَر دادَن
- Motorhaube; کاپوت ِ ماشین
Hauch; نَفخه، دَم
- beim geringsten Hauch; به اَندَک ِ نَسیمى
hauchen;
- auf etwas hauchen; روى ِ چیزى مِه کَردَن، ـ دَمیدَن
Haudegen; شیرمَرد، یَل
hauen;
- in Stein hauen; بَر سَنگ حَک کَردَن
- in Stein gehauen; بَر سَنگ حَک شُده
häufen;
- die Verletzungen häufen s.; مَجروحات روز اَفزون مى شَوَند، ـ زیادتَر مى شَوَند
Haufen;
- Haufen machen, aufhäufen; تَل کَردَن
- bunter Haufen; مَجلِس ِ بِلبِشو
- sie kamen in Haufen; مِثل ِ مور و مَلَخ هُجوم آوَردَند
- er hat einen Haufen Geld; او کومه پول دارَد
- ein Haufen Sägemehl; کُپهٔ خاک ِ اَره
häufig; کَثیر اُلوُقوع، غالِباً
- häufig muss man ...; به کَرات مَجبوریم
Häufigkeit; کِثرَت ِ دَفعِات
- Häufigkeit der vorkommenden Begriffe; واژه نَما و بَسآمَد نِویسى
Häuflein;
- das letzte aufrechte Häuflein, die s. der .. verpflichten; تَنها بازماندِگان ِ مُلتَزِمین به
Haupt; سَر
Hauptanschluss; اِتِصال ِ اَصلى
Hauptaugenmerk;
- das Hauptaugenmerk von .. lag auf ..; رُئوس ِ تَوَجُه ِ فِلان دَر این بود
Hauptmann; سَروان
Hauptpunkt;
- Hauptpunkt (z.B. beim Aufsatz); (pl.) (ro´us)  (رَأس ِ مَطلَب (رُئوس ِ مَطالِب
Hauptsache; اَصل
- Hauptsache & Nebensache; اُصول و فُروع
hauptsächlich; عُمده، اَصلى
Hauptstadt; پایتَخت
Hauptthema; (pl.) (ro´us) رَأس ِ مَطلَب (رُئوس ِ مَطالِب)، لُب ِ مَطلَب
Haus; خانه
- Haus & Hof; خانه و کاشانه
- von Haus & Hof vertreiben; از سَر ِآب و مِلک بیرون کَردَن
- sie haben Haus & Hof verloren; آنها بى خانِمان شُدَند
- er ist aus gutem Hause; او از خانِوادهٔ نَجیبى است، او شَریف زاده است
- er ist nicht aus gutem Hause; یارو اُستُخواندار نیست، پُشتِش گَرم نیست، بى حَسَب و نَسَب است
- ist Herr X zu Hause?; آقاى ِ فِلان تَشریف دارَند؟
- er ist Herr über sein Haus & Gesinde; او صاحِب ِ خَدَم و حَشَم است
- Mehrfamilienhaus; خانهٔ هَمسایه داری
Hausaufgabe; تَکلیف
Hausbesetzer; اِشغالگَر ِ خانه
Hausbesitzer; صاحِب ِ خانه
Häuschen;
- sie geraten völlig aus dem Häuschen; آنها حالى به حالى میشَوَند
Hausflur; راه رو
Hausfrau; زن ِ خانه دار
Hausfriedensbruch; تَجاوُز به مَصونیَت ِ مَسکَن
hausgemacht;
- hausgemachtes Brot; نان ِ خانِگى، ـ خانه پَزى
Haushalt; خانه دارى
- Haushalt auflösen; با بار و بُنه رَفتَن
Haushaltsführung; خانه دارى
Haushaltsgeld; خَرج ِ خانه
Haushaltsplan; بَرنامهٔ بودجه
Hausherrin; خاتون، بى بى
haushoch;
- haushoch verlieren; کِسى تا حَد ِ شِش دَر چَهار کوچک مى شَوَد
- haushohe Wellen; اَمواج ِ غول هِیکَلى
hausieren; دوره فُروشی کَردَن
- mit einer Sache hausieren gehen (alleg.); با یِک چیزى پیله کَردَن
Hausierer; فُروشَندهٔ دوره گَرد، دَست فُروش، خُرده پا
häuslich; خانِوادِگى
Hausmeister; سَرایدار 
Hausputz; خانه تَکانی
Hausrat; لَوازِم ِ خانه
- Hausrat zusammenpacken; بار و بُنه بَندَن، لَوازِم ِ مَنزِل ـ
Hausschuh; دَم پائی
Haustier; حِیوان ِ پَروَرده، ـ اَهلى، ـ خانِگى
Hauswirtschafterin; مَسئول ِ اِدارهٔ خانه دارى
Haut; پوست
- Haut (auf Flüssigkeit); سَر جوش
- durchscheinende, zarte Haut; آب می خورَد توی ِ گَلویَش پِیداست
- mit heiler Haut davonkommen; جان ِ سالِم بِدَر بُردَن
- mit Haut & Haaren; با اُستُخوان و خون
- Schleimhaut; بافت ِ مُخاطى
Hautabschürfung (- erleiden);  (پوست مال (- شُدَن
häuten; سَلخ کَردَن، پوست کَندَن
- s. häuten (z.B. Schlange); پوست اَنداختَن
Hautfetzen; پاره اى پوست
Havarie; عَواریه
Hebamme; ماما، قابِله
Hebebock; جَک ِ بالابُر
Hebebühne; بار بَردار، قِرقِره، صَفحهٔ بالابُر
Hebel; اَهرُم
- Hebel, Griff; دَسته
- Schalthebel; دَستهٔ دَنده
Hebelgesetz; قانون ِ اَهرُمها
heben; .بُلَند کَردَن، بالا ک
- heben Sie Ihre Hände; دَستهاى ِ شُمارا بُلَند کُنید
- er hebt seinen Kopf und ...; سَرَش را بَر دارَد و
- das Wasser hebt s.; آب بُلَند میشَوَد
hechelnd; هِن هِن کُنان
Hecht; اُردَک ماهى
Hecke; پَرچین
- dornige Hecke; خاربَست
Heckklappe; دَر ِ عَقَب
Heckmotor; موتور ِ عَقَب
Heer; اَرتِش، لَشکَر
- ein Heer von Dienern; جوجهٔ خَدَمه
Hefe;
- Hefe (für Brot, Sauerteig);  خَمیر مایه، بوزَک
- Bierhefe; مُخَمِر
Heft; دَفتَرچه
heften; چَسب کَردَن
- Zettel heften; وَرَقهارا مَنگَنه کَردَن
- Kleidersaum heften; پای ِ لِباس را کوک زَدَن
- zusammenheften; مَنگَنه زَدَن
Hefter; مَنگَنه
heftig; با شَرزِگى، شور انگیز، شَدید، جانانه، آبدار
- ... der äußerst heftig ist; که آن سَرَش ناپِیدا است...
- heftiger Schlag; ضَربهٔ جاناه
- ich gab ihm ein paar heftige Ohrfeigen; یِک جُفت ِ سیلی ِ آبدار به گوشِش می زَدَم
Heftklammer; گیرهٔ کاغَذ
Heftzwecke; پونِِز
Hegemonialrechte; حَق ِ سُلطه
hegen;
- Wunschtraum hegen; آرِزو پَروَراندَن
- jem. hegen & pflegen;  .از کِسى مُواظِبَت کَردَن، ـ پَرَستارى ک
Hehl;
- daraus mache ich kein Hehl; رو راست مى گویَم
Hehler; خَریدار و فُروشَندهٔ اَموال ِ مَسروقه، شَریک ِ دُزد
hehr;
- was für hehre Worte; چه سُخَنان ِ والائى
Heide;
- Heide, Wiese; چِراگاه، عَلَفزار
- Heide, Polytheist; مُشرِک، کافَر
heikel;
- in dieser Sache war er sehr heikel; دَر این مورِد خِیلى مُقَیِد و پا بَند بود
- eine heikle Angelegenheit; قَضیه مُشکِل پَسَند است، ـ خیلى حَساس است
- im Essen ist er sehr heikel; در مورِد ِ غَذا خِیلی وَسواسی است
heil; سالِم
- mit heiler Haut davonkommen; ریش را از زیر قِیچى ِ این ماجَرا پَس کِشیدَن، جان سالِم بِدَر بُردَن
Heil (n); نِجات
- sein Heil in ... finden; نِجات یافتَن دَر
Heilbad; حَمام ِ طِبى
heilbar; قابِل ِ مُعالِجه، عِلاج پَذیر
- schwer heilbar; عَسیر اُلعِلاج، صَعب ـ
heilen; شَفا دادَن، مُعالِجه کَردَن
- geheilt werden; مُعالِجه یافتَن، شَفا یافتَن
heilig; مُقَدَس
