Jacke; کُت
Jahwe (Name Gottes aus dem Alten Testament); يَهُوَه
jähzornig;
- jähzornig sein; بَرآشُفته بودَن، تُند طَبع ب.، تُندى کَردَن
- meine jähzornige Phase; دوران ِ آتَش پارِگی ِ مَن
Jalousie; کِرکِره
Jammer;
- das ist ein Jammer; این رِقَت اَنگیز است
jämmerlich;
- jämmerlicher Zustand; حالَت ِ رِقَت اَنگیز، حالَت ِ زار، ـ زَبون
jammern; ناله کَردَن، زار زار ک.، زارى ک.، فُغان بَر آوَردَن، شیوَن زدن
- jammer nicht rum!; زِر ِ زیادی نَزَن، زار نَزَن
- anfangen, zu jammern; دَست گُذاشتَن به آه و ناله
- Jammern auf hohem Niveau; آب دَر کوزه و ما تِشنه لَبان می گَردیم
- jammernd, klagend; (schakwe) شَکوه کَنان
- jammervoll; (schakwe) شَکوه کَنان
Januar; ژانویه
Janus; ژانوس
- Janusgesichtig; هَم از توبره می خوره هَم از آخور
Jargon; زَبان ِ عامیانه
Jasmin; یاسمین
Jauche; کود ِ اِدرار
jaulen; عو عو کَردَن، زوزه کِشیدَن
- jaul nicht rum!; زِر ِ زیادی نَزَن
Jazz; جاز
Jäger; شِکار چى، نَخچیروان
jäh; ناگِهان
jährlich; سال به سال، سالانه، هَر سال
Jähzorn; تُند طَبعى، تُندى، حِدَت ِ مِزاج
jäten; وِجین کَردَن
Jäten (n); وِجین
je;
- je Person 5 Euro; بَراى ِ هَر نَفَر ۵ یورو
- je schneller, desto besser; هَرچه زودتَر بِهتَر
- 3 Reihen zu je 15 Stück; سِه رَدیف ۱۵ تائى
- eine Treppe mit je 5 Stufen; نَردِبان فى ۵ پِله
jede;
- für jede Mahlzeit; بَراى ِ هَر وَعدهٔ غَذا
- für jede einzelne Vorführung; بَراى ِ يِک بار نَمايِش
- jeden Tag; هَر روز
- jeder für sich; فَرداً فَرد، هَر کس بَراى ِ خودِش
- an jeder Ecke; دَر سَر ِ هَر گُذَر
jedoch; با وُجود ِ این
Jeep; جیپ
jeglich;
- ohne jegliche Warnung; بى هیچ اِخطار
jeher;
- seit jeher; از دیر باز، از خِیلى وَقت پیش
jemals;
- kannst du jemals pünktlich sein?; آیا نِمى تَوانى هیچ وَقت سَر ِ ساعَت بِرِسى؟
jemand; کِسى، شَخص
- das gehört jemandem; این مال ِ کِسى است
jene;
- jene Strasse; آن يِکى خیابان
- in jenen Tagen; دَر آن روز ِگار
- über dies & jenes reden; از هَر دَرى صُحبَت کَردَن
- er tut jenes & ich dieses; او چِنان میکَنَد و مَن چِنین
jenseits;
- jenseits der Strasse; آنطَرَف ِ خیابان
- von jenseits der ...; ِ از فَراى
- sie befanden s. jenseits seines Horizonts; آنها دَر فَراسوى ِ اُفُق ِ دید ِ وِى بودَند
Jenseits (n); دُنیاى ِ نامَرعى، بَعد از مَرگ، آخَرَت
- jem. ins Jenseits befördern; کِسى را کُشتن، کِسى را به دَیار ِ عَدَم فِرِستادَن، ـ دَیار ِ نیستى ـ
Jerusalem; اورشَلیم، شَهر ِ قُدس
Jesuit; يِسوعى
Jesus Christus; عیسى مَسیح
Jet; هَواپیماى ِ جِت
jetzig; حالیه، کُنونى
- die jetzige Zeit; مُعاصِرَت
- zum jetzigen Zeitpunkt; دَر حال ِ حاضِر
jetzt; کُنونى، اَکنون، اَلان، اَلحال، حالا
- ab jetzt; از این پَس
- von jetzt ab in 3-Monatsabständen; از این پَس دَر فَواصِل ِ سه ماهه
- jetzt (und auf unbestimmte Zeit); حالا حالاها
- wenn ... nicht kommt, bleib ich jetzt hier sitzen; اگَر ... نِمی آيَد حالا حالاها می مانَم
- gerade jetzt; اینَک، هَمین اَلان
- jetzt oder nie; حالا نَه و کِى
- ich habe gerade jetzt erst gelesen; مَن هَمین اَلان خواندَم، مَن جَخ خواندَم، جَخ کِتاب خواندَم
Jobvermittlung; دَفتَر ِ کاریابی
Joch; یوغ، خاموت
Jockey; اَسب سَوار، سَوار کار
Jod; يُد
jodeln; چَه چَه زَدَن
Joghurt; دوغ، ماست
Johannesbeere; تِمِشک ِ فَرَنگى
Joint-Venture; مَضاربه، مُعامِلهٔ مُعاوِضه
Journalismus; روزنامه نِگارى
Journalist; روزنامه نِگار
Journalistik; عِلم ِ روزنامه نِگارى
jovial; خِپِل
Joystick; جوى اِستیک، دَستهٔ کامپوتِر
Jubel; بَهجَت
- in Jubel ausbrechen; هَلهَله کَردَن
Jubeljahre;
- alle Jubeljahre; هَر چَند سال
Jubiläum; بُزُرگ داشت
jucken; خاراندَن
- Augen jucken; چِشمها می خارَند
- die Hand juckt mich; دَستَم مى خارَد
- das juckt mich nicht; این مَربوط بِمَن نیست، دَر مَن تأثیر نِمیکُنَد، کَکَم هَم نِمی گَزَد، مُتأثِرَم نِمی کُنَد
Jucken (n); خارِش
Jude; يَهود
- hier gehts zu wie in einer Judenschule; جَهود بازی دَر آوَردَن
Judo; جودو
Jugend; صَباوَت، جَوانى، نوباوِگان
Jugendamt; اِدارهٔ اُمور ِ خُرد سالان
Jugendkriminalität; جَرايِم ِ خُرد سالان
Jugendlicher; جَوان
Juli; ژویه، ژوییه
jung; جَوان
- alt & jung; خُرد و کَلان، پیر و جَوان
- junger Mensch; جَوانه
- junge Pflanze; گیاه ِ نو رَسته
- ich bin der jüngste von allen; مَن از هَمِگان کِهتَرین هَستَم، ـ جَوانترَم
Junge; پِسَر
- ein paar Jungens sind eingestiegen; دو سه تا جاهِلان سَوار شُدَند
Jungfernrede; اَوَلین سُخَنرانى
Jungfrau; باکِره، بَتول
- (männliche) Jungfrau; پِسَرَگی
Jungfräulichkeit; بِکارَت، باکَرِگى، دُختََرِگی
Junggeselle; مَرد ِ مُجَرَد
Juni; ژوئِن
Junta; خونتا
- Militärjunta; خونتاى ِ نِظامى
Jupiter; مُشتَرى
Jura; عِلم ِ حُقوق
Jurastudium; رِشتهٔ حُقوق
Jurisdiktion; قُوهٔ عَدلیه، ـ قَضائیه
Jurist; حُقوقدان
juristisch; حُقوقى، قانونى، قَضائى
Jury; ژورى، هَیئت ِ داوَران
just;
- just in dem Augenblick; دُرُست دَر هَمان دَم
- just in dem Moment habe ich ...; مَن جَخ ِ ... را کَردَم
justieren; تَنظیم کَردَن
Justierschraube; پیچ ِ تَنظیم
Justiz; دادگُستَرى، نِصفَت، عَدلیه، اُمور ِ قَضائى
Justizhoheit; قَلَمروى ِ قَضائى
Justizirrtum; اِشتِباه ِ قَضائى
- Justizirrtum (Der Eisenschmied in Balch macht den Fehler, der Kupferschmied in Schusch wird bestraft); گُناه کَرد دَر بَلخِ آهَنگَرى، به شوش زَدَند گَردَن ِ مِسگَرى
Justizministerium; عَدلیهٔ وِزارَت، وِزارَت ِ داد گُستَرى
Jute; کَنَف
Juwel; (pl.) (جوهَر (جَواهِر
- Thronjuwelen; جَواهِر ِ سَلطَنَتى
juwelenbesetzt; مُرَصَع
Juwelier; مُرَصَعکار، زَرگَر، جَواهِر ساز
jüdisch; يَهودى
Jünger; (pl.) شاگِرد، حَوارى (حَواریون)، پویايَنده، طَرَفدار
Jüngerschaft; شاگِرد سازى
jüngst; قَریب اُلعَصر
